MinEpLen,Regret/t,TimestepsSoFar,IWMin,IWMean,TimeElapsed,Iteration,IWFirstEpisode,LQGsigma_higher,BoundMISE,DenMISELogLast,ReturnStepMax,ReturnMax,NumTrajectories,GridSize,ReturnLastEpisode,Delta,LQGmu1_higher,LQGmu1_actor,Bound,BoundBonus,AvgEpLen,DenMISELogFirst,ReturnAbsMax,IWMax,IWLastEpisode,DenMISEMeanLog,Regret,ReturnMean,ReturnMin,NumTrainableParams
20,1.9023132,20,,2.746308e-38,0.028345823287963867,1,2.746308e-38,0.14999999,8.5072017e-38,0.9619692,3.1695018,3.0976868,1,1,3.0976868,0.060792707,-1.0,-0.892906,inf,inf,20.0,0.9619692,3.0976868,2.746308e-38,2.746308e-38,0.9619692,1.9023132,3.0976868,,1
20,-5.643121,40,,1.0,0.17588233947753906,2,5.492608e-38,0.14999999,14.337092,0.030164823,19.978165,18.188555,2,2,18.188555,0.010132118,-1.0,-0.9697506,82.4501,68.113014,20.0,0.26882198,18.188555,2.0,2.0,0.1494934,-11.286242,10.643121,,
20,-8.159203,60,,0.9999998,0.2053368091583252,3,2.9999995,0.14999999,2.4417453,0.55238247,19.981525,18.191364,3,2,18.191364,0.004503164,1.0,0.8733205,76.33598,73.89424,20.0,-0.13664311,18.191364,2.9999995,5.4938237e-38,0.24452876,-24.477608,13.159203,,
20,-6.237235,80,,1.0,0.22447681427001953,4,5.492608e-38,0.14999999,18.18996,-0.07158094,19.981525,18.191364,4,2,5.471335,0.0025330295,-1.0,-1.0596561,73.15283,54.962868,20.0,0.26882195,18.191364,2.0,3.867195e-34,0.123026565,-24.94894,11.237235,,
20,-7.626978,100,,4.047928e-08,0.24059700965881348,5,1.8548268e-09,0.14999999,3.3480626e-07,0.38827014,19.981525,18.191364,5,3,18.185951,0.0012158542,,0.060676835,164905320000.0,164905320000.0,20.0,0.045678392,18.191364,1.5563776e-07,2.6265011e-11,0.15974648,-38.13489,12.626978,,
20,-8.367928,120,,1.0,0.2652120590209961,6,2.2257922e-09,0.14999999,13.457498,-0.89539313,19.981525,18.191364,6,3,17.07267,0.0008443432,,-0.11171015,98.02767,84.570175,20.0,-0.13664316,18.191364,6.0,6.0,-0.16804475,-50.207565,13.367928,,
20,-9.052725,140,,1.0,0.28426194190979004,7,2.5967608e-09,0.14999999,17.617088,-0.55189604,19.981525,18.191364,7,3,18.161509,0.0006203337,,-0.069090165,78.70592,61.08883,20.0,-0.29079384,18.191364,3.5000002,3.4999995,-0.25598878,-63.369072,14.052725,,
20,-9.561046,160,,0.99999994,0.3023340702056885,8,1.09852e-37,0.14999999,18.188623,-0.108724445,19.981525,18.191364,8,3,18.119293,0.00047494302,-1.0,-1.0390296,68.96128,50.77266,20.0,-0.42432523,18.191364,2.6666665,1.2839761e-08,-0.25305444,-76.488365,14.561046,,
20,-9.964442,180,,1.0,0.324373722076416,9,3.3386915e-09,0.14999999,17.78449,0.13339989,19.981665,18.191614,9,3,18.191614,0.00037526365,,0.21131484,69.33342,51.548927,20.0,-0.5421083,18.191614,3.0,8.868374e-11,-0.21891707,-89.67998,14.964442,,
20,-10.149549,200,,0.5492035,0.3427083492279053,10,0.0005717546,0.14999999,9.250644,-0.9304183,19.981665,18.191614,10,4,16.815495,0.00024317083,0.33333334,0.22755635,550.88916,541.6385,20.0,-0.6474688,18.191614,4.844014,4.844014,-0.29858702,-101.49548,15.149549,,
20,-9.943842,220,,0.17836894,0.3839230537414551,11,1.8973977e-16,0.14999999,3.224864,-0.70406455,19.981665,18.191614,11,4,12.886798,0.00020096762,-0.33333334,-0.36215714,551.03156,547.8067,20.0,-0.7427218,18.191614,1.2133608,0.0049478337,-0.38041523,-109.38226,14.943842,,
20,-10.214902,240,,0.9828169,0.40253663063049316,12,2.0698923e-16,0.14999999,17.108318,-1.3251529,19.98662,18.196562,12,4,18.196562,0.00016886865,-0.33333334,-0.36175132,109.51433,92.40601,20.0,-0.8297332,18.196562,9.824427,9.824427,-0.52465206,-122.57883,15.214902,,
20,-10.444136,260,,0.76669544,0.42739105224609375,13,0.0007432385,0.14999999,11.408462,-0.8059591,19.98662,18.196562,13,4,18.194927,0.00014388807,0.33333334,0.18340036,104.66208,93.25362,20.0,-0.90977585,18.196562,4.9518514,0.00012943045,-0.56201494,-135.77376,15.444136,,
20,-10.466088,280,,1.0517689,0.45227503776550293,14,2.41473e-16,0.14999999,19.117575,-0.52523327,19.98662,18.196562,14,4,15.751474,0.00012406673,-0.33333334,-0.33169177,86.076096,66.95852,20.0,-0.9838267,18.196562,6.302141,0.01191181,-0.58080655,-146.52524,15.466088,,
