BoundMISE,MountainCar_mu1_higher,MinEpLen,DenMISELogFirst,BoundBonus,NumTrajectories,DenMISEMeanLog,IWMean,IWLastEpisode,Delta,Bound,AvgEpLen,ReturnMean,DenMISELogLast,ReturnMin,NumTrainableParams,GridSize,ReturnStepMax,IWMax,Regret,ReturnMax,MountainCar_std1_higher,Regret/t,MountainCar_std0_higher,IWFirstEpisode,ActionIn1,ReturnAbsMax,Iteration,IWMin,MountainCar_mu0_higher,ReturnLastEpisode,TimestepsSoFar,TimeElapsed
-422.15695,10.0,999,-7.9037623,3978.2258,1,-7.9037623,0.5265387,0.5265387,0.0030396353,3556.0688,999.0,-801.7586,-7.9037623,-801.7586,2,400,8105.3604,0.5265387,806.7586,,16.0,806.7586,16.0,0.5265387,-47.141743,801.7586,1,,-1.0,-801.7586,999,0.36999058723449707
-816.71277,-10.0,999,-8.173906,4115.052,2,-9.31782,3.5964293,5.595149,0.0007599088,3298.3389,999.0,-502.87964,-10.461734,-801.7586,,400,8105.3604,5.595149,1015.7593,,16.0,507.87964,16.0,1.5977097,-15.419413,801.7586,2,,-1.0,-204.00066,1998,1.6825625896453857
