Iteration,TimestepsSoFar,MountainCar_std0_higher,NumTrainableParams,MountainCar_mu1_higher,TimeElapsed,AvgEpLen,ReturnMean,ActionIn1,MountainCar_mu0_higher,MinEpLen,NumTrajectories,MountainCar_std1_higher
113,25387,0.14999999,,20.0,7.685575246810913,224.6637168141593,92.61503,19.886192,-0.5,113,113,1.5
114,25681,0.14999999,,20.0,7.767671585083008,225.2719298245614,92.590065,21.388487,-0.5,113,114,1.5
115,25875,0.14999999,,20.0,7.835673570632935,225.0,92.53806,18.060505,-0.5,113,115,1.5
116,26093,0.14999999,,20.0,7.928945302963257,224.93965517241378,92.54108,19.246752,-0.5,113,116,1.5
117,26278,0.14999999,,20.0,8.011462450027466,224.5982905982906,92.55215,19.053673,-0.5,113,117,1.5
118,26534,0.14999999,,20.0,8.094033241271973,224.864406779661,92.55166,22.152998,-0.5,113,118,1.5
119,26753,0.14999999,,20.0,8.16533350944519,224.81512605042016,92.56641,22.468678,-0.5,113,119,1.5
120,27039,0.14999999,,20.0,8.304686307907104,225.325,92.53763,19.085342,-0.5,113,120,1.5
121,27224,0.14999999,,20.0,8.386642932891846,224.9917355371901,92.56394,17.70367,-0.5,113,121,1.5
122,27408,0.14999999,,20.0,8.46674370765686,224.65573770491804,92.5889,21.168941,-0.5,113,122,1.5
123,27628,0.14999999,,20.0,8.557597398757935,224.6178861788618,92.5858,20.583395,-0.5,113,123,1.5
124,27808,0.14999999,,20.0,8.62534499168396,224.25806451612902,92.57396,16.63782,-0.5,113,124,1.5
125,28095,0.14999999,,20.0,8.705662488937378,224.76,92.57543,19.012066,-0.5,113,125,1.5
126,28325,0.14999999,,20.0,8.770742654800415,224.8015873015873,92.55346,19.846277,-0.5,113,126,1.5
127,28511,0.14999999,,20.0,8.823876857757568,224.49606299212599,92.566315,19.451551,-0.5,113,127,1.5
128,28906,0.14999999,,20.0,8.932450294494629,225.828125,92.57541,21.603567,-0.5,113,128,1.5
129,29087,0.14999999,,20.0,8.985291481018066,225.48062015503876,92.565956,21.946331,-0.5,113,129,1.5
130,29199,0.14999999,,20.0,9.01872181892395,224.6076923076923,92.58607,18.78218,-0.5,112,130,1.5
131,29381,0.14999999,,20.0,9.072367668151855,224.2824427480916,92.6005,19.389814,-0.5,112,131,1.5
132,29499,0.14999999,,20.0,9.106214046478271,223.47727272727272,92.630516,17.38361,-0.5,112,132,1.5
133,29749,0.14999999,,20.0,9.176379680633545,223.6766917293233,92.616425,18.49398,-0.5,112,133,1.5
134,29937,0.14999999,,20.0,9.230671882629395,223.41044776119404,92.60264,16.331123,-0.5,112,134,1.5
135,30123,0.14999999,,20.0,9.283388137817383,223.13333333333333,92.62436,20.577925,-0.5,112,135,1.5
136,30511,0.14999999,,20.0,9.39042615890503,224.34558823529412,92.58087,19.351212,-0.5,112,136,1.5
137,30696,0.14999999,,20.0,9.443342685699463,224.05839416058393,92.56345,18.357382,-0.5,112,137,1.5
