InvPendulum_mu2_higher,TimeElapsed,NumTrajectories,InvPendulum_mu3_higher,Iteration,InvPendulum_std3_higher,ActionIn1,InvPendulum_mu0_higher,ReturnMean,NumTrainableParams,InvPendulum_std1_higher,InvPendulum_std0_higher,InvPendulum_std2_higher,InvPendulum_mu1_higher,TimestepsSoFar,MinEpLen,AvgEpLen
0.0034825685,7.045010089874268,27,-0.10712334,27,1.00000064e-10,-0.40035093,-0.18568558,66.14532,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,13500,500,500.0
0.0034825685,7.3004865646362305,28,-0.10712334,28,1.00000064e-10,-0.40035093,-0.18568558,66.22835,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,14000,500,500.0
0.0034825685,7.5559046268463135,29,-0.10712334,29,1.00000064e-10,-0.40035093,-0.18568558,66.49321,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,14500,500,500.0
0.0034825685,7.813675165176392,30,-0.10712334,30,1.00000064e-10,-0.40035093,-0.18568558,66.24651,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,15000,500,500.0
0.0034825685,8.067823648452759,31,-0.10712334,31,1.00000064e-10,-0.40035093,-0.18568558,66.2747,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,15500,500,500.0
0.0034825685,8.323558807373047,32,-0.10712334,32,1.00000064e-10,-0.40035093,-0.18568558,66.019394,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,16000,500,500.0
0.0034825685,8.578650951385498,33,-0.10712334,33,1.00000064e-10,-0.40035093,-0.18568558,64.983696,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,16500,500,500.0
0.0034825685,8.834221124649048,34,-0.10712334,34,1.00000064e-10,-0.40035093,-0.18568558,65.76252,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,17000,500,500.0
0.0034825685,9.09221863746643,35,-0.10712334,35,1.00000064e-10,-0.40035093,-0.18568558,65.624794,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,17500,500,500.0
0.0034825685,9.347634077072144,36,-0.10712334,36,1.00000064e-10,-0.40035093,-0.18568558,65.19222,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,18000,500,500.0
0.0034825685,9.604364395141602,37,-0.10712334,37,1.00000064e-10,-0.40035093,-0.18568558,65.83836,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,18500,500,500.0
0.0034825685,9.860795021057129,38,-0.10712334,38,1.00000064e-10,-0.40035093,-0.18568558,65.353455,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,19000,500,500.0
0.0034825685,10.115846872329712,39,-0.10712334,39,1.00000064e-10,-0.40035093,-0.18568558,64.550674,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,19500,500,500.0
0.0034825685,10.371540546417236,40,-0.10712334,40,1.00000064e-10,-0.40035093,-0.18568558,65.02684,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,20000,500,500.0
0.0034825685,10.62540316581726,41,-0.10712334,41,1.00000064e-10,-0.40035093,-0.18568558,65.74486,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,20500,500,500.0
0.0034825685,10.87997841835022,42,-0.10712334,42,1.00000064e-10,-0.40035093,-0.18568558,65.42137,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,21000,500,500.0
0.0034825685,11.133801221847534,43,-0.10712334,43,1.00000064e-10,-0.40035093,-0.18568558,65.652,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,21500,500,500.0
0.0034825685,11.390922784805298,44,-0.10712334,44,1.00000064e-10,-0.40035093,-0.18568558,65.74738,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,22000,500,500.0
0.0034825685,11.646572589874268,45,-0.10712334,45,1.00000064e-10,-0.40035093,-0.18568558,66.35433,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,22500,500,500.0
0.0034825685,11.908891916275024,46,-0.10712334,46,1.00000064e-10,-0.40035093,-0.18568558,66.757126,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,23000,500,500.0
0.0034825685,12.199173212051392,47,-0.10712334,47,1.00000064e-10,-0.40035093,-0.18568558,66.274956,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,23500,500,500.0
0.0034825685,12.457091331481934,48,-0.10712334,48,1.00000064e-10,-0.40035093,-0.18568558,65.77243,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,24000,500,500.0
0.0034825685,12.716180324554443,49,-0.10712334,49,1.00000064e-10,-0.40035093,-0.18568558,66.32414,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,24500,500,500.0
0.0034825685,12.973031044006348,50,-0.10712334,50,1.00000064e-10,-0.40035093,-0.18568558,66.481735,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,25000,500,500.0
0.0034825685,13.227033853530884,51,-0.10712334,51,1.00000064e-10,-0.40035093,-0.18568558,66.545,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,25500,500,500.0
0.0034825685,13.482160568237305,52,-0.10712334,52,1.00000064e-10,-0.40035093,-0.18568558,67.07581,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,26000,500,500.0
0.0034825685,13.772735357284546,53,-0.10712334,53,1.00000064e-10,-0.40035093,-0.18568558,67.18912,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,26500,500,500.0
0.0034825685,14.028997421264648,54,-0.10712334,54,1.00000064e-10,-0.40035093,-0.18568558,66.92359,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,27000,500,500.0
0.0034825685,14.30141544342041,55,-0.10712334,55,1.00000064e-10,-0.40035093,-0.18568558,67.016174,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,27500,500,500.0
0.0034825685,14.557275295257568,56,-0.10712334,56,1.00000064e-10,-0.40035093,-0.18568558,67.491875,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,28000,500,500.0
0.0034825685,14.812248706817627,57,-0.10712334,57,1.00000064e-10,-0.40035093,-0.18568558,67.358795,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,28500,500,500.0
0.0034825685,15.12343955039978,58,-0.10712334,58,1.00000064e-10,-0.40035093,-0.18568558,67.66585,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,29000,500,500.0
0.0034825685,15.38294267654419,59,-0.10712334,59,1.00000064e-10,-0.40035093,-0.18568558,67.65101,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,29500,500,500.0
0.0034825685,15.638296365737915,60,-0.10712334,60,1.00000064e-10,-0.40035093,-0.18568558,67.72483,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,30000,500,500.0
0.0034825685,15.895970821380615,61,-0.10712334,61,1.00000064e-10,-0.40035093,-0.18568558,68.183266,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,30500,500,500.0
0.0034825685,16.153632164001465,62,-0.10712334,62,1.00000064e-10,-0.40035093,-0.18568558,68.54307,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,31000,500,500.0
0.0034825685,16.436166286468506,63,-0.10712334,63,1.00000064e-10,-0.40035093,-0.18568558,68.9902,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,31500,500,500.0
0.0034825685,16.716821670532227,64,-0.10712334,64,1.00000064e-10,-0.40035093,-0.18568558,69.12285,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,32000,500,500.0
0.0034825685,16.98806071281433,65,-0.10712334,65,1.00000064e-10,-0.40035093,-0.18568558,69.446396,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,32500,500,500.0
0.0034825685,17.253809690475464,66,-0.10712334,66,1.00000064e-10,-0.40035093,-0.18568558,69.44005,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,33000,500,500.0
0.0034825685,17.513749599456787,67,-0.10712334,67,1.00000064e-10,-0.40035093,-0.18568558,69.696,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,33500,500,500.0
0.0034825685,17.773070096969604,68,-0.10712334,68,1.00000064e-10,-0.40035093,-0.18568558,70.0007,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,34000,500,500.0
0.0034825685,18.028852224349976,69,-0.10712334,69,1.00000064e-10,-0.40035093,-0.18568558,69.603134,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,34500,500,500.0
0.0034825685,18.284117698669434,70,-0.10712334,70,1.00000064e-10,-0.40035093,-0.18568558,69.56104,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,35000,500,500.0
0.0034825685,18.542410612106323,71,-0.10712334,71,1.00000064e-10,-0.40035093,-0.18568558,70.02923,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,35500,500,500.0
0.0034825685,18.8079731464386,72,-0.10712334,72,1.00000064e-10,-0.40035093,-0.18568558,70.37422,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,36000,500,500.0
0.0034825685,19.065303087234497,73,-0.10712334,73,1.00000064e-10,-0.40035093,-0.18568558,70.40682,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,36500,500,500.0
