GridSize,TimestepsSoFar,Iteration,IWLastEpisode,IWMax,ReturnAbsMax,BoundMISE,TimeElapsed,ReturnMean,Bound,NumTrainableParams,ReturnMax,Regret/t,LQGsigma_higher,DenMISELogLast,ReturnMin,Delta,IWFirstEpisode,LQGmu1_higher,ReturnLastEpisode,DenMISELogFirst,LQGmu1_actor,IWMean,MinEpLen,BoundBonus,Regret,NumTrajectories,DenMISEMeanLog,AvgEpLen,IWMin,ReturnStepMax
20,360,18,1.5871902,1.8093342,18.19639,17.595774,4.8799214363098145,14.144789,50.987717,,18.19639,-9.144789,1.0,-1.4038626,,9.381591e-06,0.35968983,-1.0,18.187569,-1.552501,0.11785805,1.0472318,20,33.39194,-164.6062,18,-1.5058732,20.0,,19.986576
20,380,19,1.0130264,2.663698,18.19639,8.530162,5.1710381507873535,14.272011,50.389534,,18.19639,-9.272011,1.0,-1.3209679,,8.420043e-06,1.9186689,1.0,16.562027,-1.5867825,2.4229288,0.89367956,20,41.85937,-176.16821,19,-1.4942116,20.0,,19.986576
20,400,20,0.4940504,1.5113405,18.19639,13.963736,5.401015996932983,13.646678,48.991608,,18.19639,-8.646678,1.0,-3.0229754,,7.5990883e-06,1.3889658,0.05263158,1.7653465,-1.5418727,0.18703961,1.0574172,20,35.027874,-172.93356,20,-1.5764781,20.0,,19.986576
20,420,21,0.73209953,1.8804744,18.19639,16.48654,5.69120192527771,13.675908,48.336445,,18.19639,-8.675908,1.0,-1.3116313,,6.892597e-06,0.3494153,-1.0,14.260508,-1.52352,-0.24924749,0.985158,20,31.849905,-182.19406,21,-1.5614502,20.0,,19.986576
20,440,22,1.3269215,1.501435,18.19687,14.616622,5.942633867263794,13.881406,47.73293,,18.19687,-8.881406,1.0,-1.2473656,,6.2802383e-06,1.4052635,0.05263158,18.19687,-1.5535381,0.32223737,1.0862861,20,33.116306,-195.39093,22,-1.5481719,20.0,,19.986885
20,460,23,1.2104515,3.2612062,18.19687,8.866649,6.207225322723389,13.791029,46.58607,,18.19687,-8.791029,1.0,-1.3396131,,5.7460034e-06,1.8237969,1.0,11.802716,-1.5360713,1.3871593,0.97853273,20,37.71942,-202.19366,23,-1.53567,20.0,,19.986885
20,480,24,0.14559948,1.9376122,18.19687,15.7390785,6.458497047424316,13.319534,46.255676,,18.19687,-8.319534,1.0,-1.8413075,,5.277145e-06,0.3420865,-1.0,2.475149,-1.5023224,-0.8913609,0.94756204,20,30.5166,-199.66882,24,-1.5498565,20.0,,19.986885
20,500,25,1.0342231,1.4393282,18.19687,14.782049,6.707870960235596,13.514285,45.482063,,18.19687,-8.514285,1.0,-1.3043225,,4.8634165e-06,1.2578069,-0.05263158,18.188322,-1.5289915,-0.3315895,1.0854512,20,30.700012,-212.85712,25,-1.542335,20.0,,19.986885
20,520,26,1.0920972,1.9069915,18.19687,16.096386,6.945268154144287,13.69392,45.29545,,18.19687,-8.69392,1.0,-1.2304246,,4.4965022e-06,0.34788287,-1.0,18.1848,-1.5191246,-1.5795026,0.96173656,20,29.199064,-226.04193,26,-1.5272655,20.0,,19.986885
20,540,27,1.7305951,1.8450135,18.19687,16.450926,7.194631576538086,13.858407,44.78528,,18.19687,-8.858407,1.0,-1.6353155,,4.1695957e-06,0.35649306,-1.0,18.13505,-1.5435736,-0.4245845,0.97997856,20,28.334352,-239.177,27,-1.532855,20.0,,19.986885
