Delta,Iteration,GridSize,IWMean,Regret,DenMISELogFirst,ReturnAbsMax,MinEpLen,ReturnMax,ReturnMean,AvgEpLen,MountainCar_mu1_higher,BoundBonus,ReturnStepMax,IWLastEpisode,MountainCar_std1_higher,Bound,IWMin,ReturnMin,MountainCar_mu0_higher,NumTrainableParams,ActionIn1,TimeElapsed,IWMax,IWFirstEpisode,NumTrajectories,TimestepsSoFar,MountainCar_std0_higher,DenMISEMeanLog,BoundMISE,Regret/t,DenMISELogLast,ReturnLastEpisode
0.060792707,1,1,2.8830496e-24,5.875895,-1.5600768,0.8758952,999,,-0.8758952,999.0,-10.0,inf,8.742649,2.8830496e-24,3.0,inf,,-0.8758952,-1.0,2,-19.119667,0.5706677436828613,2.8830496e-24,2.8830496e-24,1,999,0.14999999,-1.5600768,-2.5252493e-24,5.875895,-1.5600768,-0.8758952
0.0060792705,2,4,4.3150853e-18,13.206352,-2.253224,2.330457,999,,-1.6031761,999.0,10.0,41187488000.0,23.062408,8.6301705e-18,3.0,41187488000.0,,-2.330457,-1.0,,7.0185003,1.2734005451202393,8.6301705e-18,3.421093e-25,2,1998,0.14999999,-3.9458401,-1.0056121e-17,6.603176,-5.6384563,-2.330457
0.0027018983,3,4,0.000111017995,19.487387,-2.658689,2.330457,529,,-1.4957954,842.3333333333334,-10.0,22002286.0,87.905495,,3.0,22002286.0,,-2.330457,1.0,,-6.399949,1.615701675415039,0.000333054,0.000333054,3,2527,0.14999999,-3.7180336,-9.7240125e-05,6.4957952,-2.4514902,-1.281034
0.0015198176,4,4,6.6702237e-06,28.038054,-2.9462602,3.5506673,529,,-2.0095134,881.5,10.0,4582218.0,87.905495,3.365317e-07,3.0,4582218.0,,-3.5506673,1.0,,11.644443,2.196725845336914,2.6344364e-05,2.6344364e-05,4,3526,0.14999999,-3.7361248,-6.0674533e-06,7.0095134,-2.9274633,-3.5506673
0.0009726833,5,4,0.9999999,41.731564,-3.169397,8.69351,529,,-3.3463128,905.0,10.0,40.009342,98.71424,,3.0,38.99957,,-8.69351,-1.0,,10.201288,2.812612295150757,4.9999995,8.551718e-25,5,4525,0.14999999,-3.897721,-1.0097725,8.3463125,-3.6515393,-8.69351
0.0006754746,6,4,1.0,46.781086,-3.3517187,8.69351,386,,-2.7968476,818.5,-10.0,41.047646,98.71424,4.354653e-11,3.0,39.210667,,-8.69351,-1.0,,-14.384443,3.058706760406494,6.0,1.7296252e-23,6,4911,0.14999999,-3.6579294,-1.836978,7.7968473,-2.2405093,-0.04952138
0.00049626693,7,4,1.0000387,54.108868,-3.5058694,8.69351,386,,-2.7298381,844.2857142857143,-10.0,41.905457,98.71424,,3.0,39.106552,,-8.69351,1.0,,-8.082328,3.6442527770996094,6.999494,0.0007770343,7,5910,0.14999999,-3.6503205,-2.7989037,7.7298384,-3.3729112,-2.3277817
0.0003799544,8,4,1.0000066,64.69862,-3.6392899,8.69351,386,,-3.087328,863.625,10.0,42.63458,98.71424,5.417857e-09,3.0,35.78193,,-8.69351,1.0,,10.729962,4.262422800064087,8.0,5.268252e-05,8,6909,0.14999999,-3.5635657,-6.852648,8.087328,-2.7147827,-5.5897565
0.00015010545,9,9,8.0079684e-05,74.28659,-3.7570662,8.69351,386,,-3.254066,878.6666666666666,-10.0,1189293.9,98.71424,1.589433e-18,3.0,1189293.9,,-8.69351,,,-5.1278234,4.8940956592559814,0.0007206955,0.0007206955,9,7908,0.14999999,-3.4807978,-7.014786e-05,8.254066,-2.5695446,-4.587971
0.00012158541,10,9,9.481466e-06,79.41796,-3.8623466,8.69351,386,,-2.9417958,890.7,10.0,157037.42,98.71424,4.7286136e-05,3.0,157037.42,,-8.69351,,,9.122389,5.635453939437866,4.750699e-05,4.750699e-05,10,8907,0.14999999,-3.7443023,-4.7865537e-06,7.941796,-5.167681,-0.13136576
0.00010048381,11,9,0.019238956,83.22809,-3.957652,8.69351,386,1.1898721,-2.5661898,849.0909090909091,,5961.6313,98.71424,1.9024124e-13,3.0,5961.6074,,-8.69351,-1.0,,1.2466558,6.023045301437378,0.2056207,1.997536e-21,11,9340,0.14999999,-3.8330765,-0.024094826,7.56619,-3.7677212,1.1898721
8.443432e-05,12,9,0.05298085,89.94229,-4.0446634,8.69351,386,1.1898721,-2.4951906,861.5833333333334,,6012.4946,98.71424,4.78866e-36,3.0,6012.3066,,-8.69351,1.0,,3.5280132,6.755734443664551,0.45017448,0.08391195,12,10339,0.14999999,-3.9068565,-0.18787009,7.4951906,-3.7803802,-1.7141994
7.1944036e-05,13,9,0.4788359,99.24126,-4.117738,8.69351,386,1.1898721,-2.6339428,872.1538461538462,,1694.7893,98.71424,1.6413379e-08,3.0,1694.7379,,-8.69351,,,0.7060889,7.490003824234009,6.009598,0.06512957,13,11338,0.14999999,-3.97485,-0.05137349,7.6339426,-3.8825135,-4.2989674
6.203337e-05,14,9,0.98956996,104.26288,-4.186848,8.69351,386,1.1898721,-2.4473484,881.2142857142857,10.0,47.28618,98.71424,0.09420545,3.0,48.223934,,-8.69351,,,12.471195,8.397397518157959,13.759663,6.571833e-05,14,12337,0.14999999,-3.9979198,0.9377573,7.4473486,-3.7308986,-0.021621985
5.403797e-05,15,9,0.46366453,99.71122,-4.2558365,9.55166,230,9.55166,-1.6474147,837.8,-10.0,52.32255,98.71424,6.3209156e-12,3.0,52.26177,,-8.69351,,,-13.460333,8.627652883529663,6.928489,0.0011867656,15,12567,0.14999999,-3.9789946,-0.060783513,6.6474147,-3.4393811,9.55166
