ReturnAbsMax,ActionIn1,NumTrajectories,TimeElapsed,IWMin,IWMean,ReturnMax,InvPendulum_std1_higher,DenMISEMeanLog,Regret/t,InvPendulum_mu2_higher,ReturnMin,DenMISELogLast,GridSize,IWLastEpisode,InvPendulum_mu3_higher,Regret,Delta,MinEpLen,InvPendulum_std2_higher,Iteration,NumTrainableParams,InvPendulum_std3_higher,AvgEpLen,DenMISELogFirst,IWMax,ReturnStepMax,IWFirstEpisode,BoundMISE,InvPendulum_std0_higher,TimestepsSoFar,ReturnLastEpisode,BoundBonus,ReturnMean,InvPendulum_mu1_higher,InvPendulum_mu0_higher,Bound
109.68108,-3.971731,1,0.02663874626159668,,,,0.01,10.7408495,114.68108,-1.0,-109.68108,10.7408495,1,,-1.0,114.68108,0.060792707,15,0.01,1,4,0.01,15.0,10.7408495,,109.68108,,,0.01,15,-109.68108,inf,-109.68108,-1.0,-1.0,inf
112.28198,-2.0258608,2,0.1815481185913086,,,,0.01,10.440804,115.98154,-1.0,-112.28198,10.833905,16,,1.0,231.96307,0.001788021,15,0.01,2,,0.01,33.5,10.047702,,112.28198,,,0.01,67,-112.28198,inf,-110.98154,-1.0,-1.0,inf
124.15334,-2.0137002,3,0.24290180206298828,,,,0.01,10.394271,120.37213,1.0,-124.15334,11.112136,16,,-1.0,361.1164,0.000794676,15,0.01,3,,0.01,31.666666666666668,9.642237,,124.15334,,,0.01,95,-124.15334,inf,-115.37213,-1.0,-1.0,inf
124.15334,0.00411582,4,0.30243802070617676,,,,0.01,9.751617,120.115585,1.0,-124.15334,8.686706,16,,1.0,480.46234,0.00044700524,15,0.01,4,,0.01,38.25,9.354555,,124.15334,,,0.01,153,-114.34594,inf,-115.115585,-1.0,-1.0,inf
124.15334,-1.9964089,5,0.34545445442199707,,,,0.01,8.977369,121.679054,-1.0,-124.15334,6.772953,16,,-1.0,608.39526,0.00028608335,15,0.01,5,,0.01,36.0,9.131412,,124.15334,,,0.01,180,-122.9329,inf,-116.679054,-1.0,1.0,inf
124.15334,0.01699549,6,0.38277482986450195,,,,0.01,9.344684,119.79008,-1.0,-124.15334,12.092859,16,,1.0,718.7405,0.000198669,15,0.01,6,,0.01,33.0,8.94909,,124.15334,,,0.01,198,-105.34522,inf,-114.79008,-1.0,1.0,inf
124.15334,0.0060794353,7,0.42241358757019043,,,,0.01,9.570949,120.21966,1.0,-124.15334,11.853454,16,,-1.0,841.5376,0.00014596088,15,0.01,7,,0.01,31.285714285714285,8.794939,,124.15334,,,0.01,219,-117.79714,inf,-115.21966,-1.0,1.0,inf
124.15334,2.0003672,8,0.4696798324584961,,,,0.01,9.380112,117.71599,1.0,-124.15334,8.978953,16,,1.0,941.7279,0.00011175131,15,0.01,8,,0.01,31.375,8.661407,,124.15334,,,0.01,251,-95.190285,inf,-112.71599,-1.0,1.0,inf
124.615524,-2.0155492,9,0.516312837600708,,,,0.01,9.540859,119.038155,-1.0,-124.615524,11.769111,16,,-1.0,1071.3434,8.829733e-05,15,0.01,9,,0.01,31.11111111111111,8.543625,,124.615524,,,0.01,280,-124.615524,inf,-114.038155,1.0,-1.0,inf
124.615524,0.025981903,10,0.55476975440979,,,,0.01,9.470469,118.59874,-1.0,-124.615524,9.785208,16,,1.0,1185.9874,7.152084e-05,14,0.01,10,,0.01,29.4,8.438265,,124.615524,,,0.01,294,-109.64401,inf,-113.59874,1.0,-1.0,inf
124.615524,0.01648736,11,0.5916597843170166,,,,0.01,9.4653845,117.60949,1.0,-124.615524,10.367632,16,,-1.0,1293.7043,5.9108123e-05,11,0.01,11,,0.01,27.727272727272727,8.342955,,124.615524,,,0.01,305,-102.71698,inf,-112.60949,1.0,-1.0,inf
124.615524,2.0132062,12,0.633594274520874,,,,0.01,9.517983,117.2822,1.0,-124.615524,11.053713,16,,1.0,1407.3865,4.966725e-05,11,0.01,12,,0.01,27.166666666666668,8.255942,,124.615524,,,0.01,326,-108.682076,inf,-112.2822,1.0,-1.0,inf
124.615524,-0.0055384636,13,0.673978328704834,,,,0.01,9.624547,116.89395,-1.0,-124.615524,11.863812,16,,-1.0,1519.6213,4.232002e-05,11,0.01,13,,0.01,26.076923076923077,8.1759,,124.615524,,,0.01,339,-107.234795,inf,-111.89395,1.0,1.0,inf
124.615524,1.9967418,14,0.7162446975708008,,,,0.01,9.639566,116.675156,-1.0,-124.615524,10.798222,16,,1.0,1633.4521,3.649022e-05,11,0.01,14,,0.01,25.785714285714285,8.101792,,124.615524,,,0.01,361,-108.830864,inf,-111.675156,1.0,1.0,inf
124.615524,2.0049272,15,0.7606351375579834,,,,0.01,9.63109,116.53164,1.0,-124.615524,10.478314,16,,-1.0,1747.9746,3.178704e-05,11,0.01,15,,0.01,25.333333333333332,8.0328,,124.615524,,,0.01,380,-109.52243,inf,-111.53164,1.0,1.0,inf
124.615524,4.01651,16,0.8007826805114746,,,,0.01,9.584425,116.156876,1.0,-124.615524,9.852524,16,,1.0,1858.51,2.7937827e-05,11,0.01,16,,0.01,24.5625,7.968261,,124.615524,,,0.01,393,-105.53552,inf,-111.156876,1.0,1.0,inf
124.615524,0.0077855587,17,0.8420372009277344,,1.0000005,,0.01,9.545981,116.053856,1.0,-124.615524,9.900879,16,,-1.0,1972.9155,2.4747693e-05,11,0.01,17,,0.01,24.0,7.907636,17.000008,124.615524,,-75.033554,0.01,408,-109.40544,709.2392,-111.053856,-1.0,1.0,634.2056
124.615524,0.0033134818,18,0.8852889537811279,,0.9999996,,0.01,9.669967,115.66911,-1.0,-124.615524,12.05626,16,,1.0,2082.044,2.2074333e-05,11,0.01,18,,0.01,23.61111111111111,7.8504777,17.999992,124.615524,,-80.96646,0.01,425,-104.12846,713.05096,-110.66911,1.0,-1.0,632.0845
124.615524,-1.9848568,19,0.9279351234436035,,1.0,,0.01,9.786083,115.45558,-1.0,-124.615524,12.15624,16,,-1.0,2193.656,1.9811867e-05,11,0.01,19,,0.01,23.210526315789473,7.7964106,19.0,124.615524,,-83.03816,0.01,441,-106.611916,716.6379,-110.45558,-1.0,1.0,633.59973
