InvPendulum_mu3_higher,InvPendulum_mu1_higher,NumTrainableParams,TimeElapsed,InvPendulum_std1_higher,InvPendulum_mu2_higher,InvPendulum_std2_higher,MinEpLen,InvPendulum_std3_higher,Iteration,ReturnMean,AvgEpLen,NumTrajectories,ActionIn1,InvPendulum_std0_higher,InvPendulum_mu0_higher,TimestepsSoFar
-0.10712334,-0.11102458,,2.035616874694824,0.14999999,0.0034825685,0.14999999,14,0.14999999,30,-160.66632,121.73333333333333,30,-0.59283936,0.14999999,-0.18568558,3652
-0.10712334,-0.11102458,,2.2950963973999023,0.14999999,0.0034825685,0.14999999,14,0.14999999,31,-170.82437,133.93548387096774,31,-0.59570765,0.14999999,-0.18568558,4152
-0.10712334,-0.11102458,,2.3282270431518555,0.14999999,0.0034825685,0.14999999,14,0.14999999,32,-168.95233,131.5,32,-0.6151988,0.14999999,-0.18568558,4208
-0.10712334,-0.11102458,,2.3842859268188477,0.14999999,0.0034825685,0.14999999,14,0.14999999,33,-167.2936,130.54545454545453,33,-0.55662394,0.14999999,-0.18568558,4308
-0.10712334,-0.11102458,,2.5565757751464844,0.14999999,0.0034825685,0.14999999,14,0.14999999,34,-164.73433,136.2058823529412,34,-0.3469348,0.14999999,-0.18568558,4631
-0.10712334,-0.11102458,,2.56740665435791,0.14999999,0.0034825685,0.14999999,14,0.14999999,35,-163.03854,132.77142857142857,35,-0.590576,0.14999999,-0.18568558,4647
-0.10712334,-0.11102458,,2.585611343383789,0.14999999,0.0034825685,0.14999999,14,0.14999999,36,-161.15147,129.88888888888889,36,-0.42556462,0.14999999,-0.18568558,4676
-0.10712334,-0.11102458,,2.5975053310394287,0.14999999,0.0034825685,0.14999999,14,0.14999999,37,-159.79431,126.83783783783784,37,-1.0551723,0.14999999,-0.18568558,4693
-0.10712334,-0.11102458,,2.626535654067993,0.14999999,0.0034825685,0.14999999,14,0.14999999,38,-158.89453,124.78947368421052,38,-0.78062665,0.14999999,-0.18568558,4742
-0.10712334,-0.11102458,,2.6458494663238525,0.14999999,0.0034825685,0.14999999,14,0.14999999,39,-157.28719,122.43589743589743,39,-1.120908,0.14999999,-0.18568558,4775
-0.10712334,-0.11102458,,2.6838529109954834,0.14999999,0.0034825685,0.14999999,14,0.14999999,40,-155.7959,120.975,40,-0.5778633,0.14999999,-0.18568558,4839
