TimeElapsed,IWMean,ReturnMean,Regret/t,BoundMISE,LQGmu1_higher,LQGmu1_actor,DenMISELogLast,NumTrainableParams,Iteration,IWFirstEpisode,TimestepsSoFar,Delta,GridSize,NumTrajectories,IWMax,ReturnLastEpisode,IWLastEpisode,ReturnStepMax,ReturnMax,BoundBonus,ReturnMin,DenMISELogFirst,DenMISEMeanLog,AvgEpLen,LQGsigma_higher,IWMin,Bound,ReturnAbsMax,Regret,MinEpLen
5.443705081939697,1.0945657,5.82638,-0.8263798,10.790255,0.5263158,0.20488995,-3.148158,,17,6.301831,340,1.0517769e-05,20,17,6.301831,1.080838,0.007646549,19.984623,18.194736,79.81814,,-3.174454,-3.215652,20.0,1.5,,90.60839,18.194736,-14.048454,20
5.7097554206848145,0.9727738,6.3724685,-1.3724685,1.2662342,4.736842,6.4136295,-2.8950253,,18,0.13861954,360,9.381591e-06,20,18,6.7556257,15.6559725,0.05011125,19.984623,18.194736,87.880005,,-2.9162936,-3.1974347,20.0,1.5,,89.14624,18.194736,-24.70443,20
6.033857345581055,1.1482271,6.090651,-1.090651,8.075264,-6.8421054,-4.707712,-3.0521605,,19,1.50689275e-05,380,8.420043e-06,20,19,5.6848073,1.0179429,6.1968097e-17,19.984623,18.194736,78.55767,,-2.9626894,-3.1953034,20.0,1.5,,86.632935,18.194736,-20.722374,20
6.350177526473999,0.88195956,6.1559143,-1.1559143,9.879481,-2.631579,-2.429967,-3.1094544,,20,0.43980366,400,7.5990883e-06,20,20,5.0418186,7.3959093,2.2869058,19.984623,18.194736,76.336426,,-3.0139818,-3.1881714,20.0,1.5,,86.215904,18.194736,-23.118286,20
6.631916761398315,0.80836725,6.2824426,-1.2824426,5.4217687,-8.947369,-7.82124,-2.9479234,,21,5.0981943e-09,420,6.892597e-06,20,21,6.6899595,8.813008,0.00040334908,19.984623,18.194736,75.407974,,-3.0410202,-3.184032,20.0,1.5,,80.82974,18.194736,-26.93129,20
6.92780876159668,1.0965117,6.290747,-1.2907472,14.684283,-0.5263158,-0.121907115,-2.953903,,22,4.1060185,440,6.2802383e-06,20,22,5.239872,6.4651394,3.7309615e-05,19.984623,18.194736,64.96498,,-3.0875401,-3.1849136,20.0,1.5,,79.64926,18.194736,-28.396439,20
7.225758075714111,0.8346856,6.8077497,-1.8077497,0.55807245,8.947369,9.528108,-2.8581684,,23,1.5620751e-06,460,5.7460034e-06,20,23,6.5996785,18.181805,5.3456063e-08,19.984623,18.194736,78.39373,,-2.9608684,-3.169581,20.0,1.5,,78.951805,18.194736,-41.578247,20
7.513401746749878,1.2459413,6.547535,-1.547535,9.286365,-4.736842,-4.5738835,-3.2114053,,24,0.006997932,480,5.277145e-06,20,24,6.352291,0.5625979,1.5164733e-19,19.984623,18.194736,68.968605,,-3.003428,-3.1805418,20.0,1.5,,78.25497,18.194736,-37.14084,20
7.809203386306763,0.8827986,6.5760036,-1.5760036,3.6433516,2.631579,2.2131422,-2.9786441,,25,2.4990537,500,4.8634165e-06,20,25,7.1233845,7.2592416,5.102237e-05,19.984623,18.194736,74.426285,,-3.0439584,-3.166289,20.0,1.5,,78.06963,18.194736,-39.400085,20
8.132060050964355,0.7651498,6.385473,-1.3854728,5.0357647,-10.0,-10.869254,-3.0708847,,26,4.0850635e-11,520,4.4965022e-06,20,26,10.374045,1.6222141,2.306713e-14,19.984623,18.194736,66.982086,,-2.9879034,-3.1693182,20.0,1.5,,72.01785,18.194736,-36.022293,20
8.438636779785156,1.1355306,6.410205,-1.4102049,12.790356,0.5263158,1.3894391,-3.4660397,,27,5.430494,540,4.1695957e-06,20,27,5.430494,7.0532327,2.497029e-12,19.984623,18.194736,59.131252,,-3.0256438,-3.1914775,20.0,1.5,,71.92161,18.194736,-38.07553,20
8.73162293434143,0.98690236,6.2668633,-1.2668633,1.0693387,5.7894735,5.3213663,-2.9390342,,28,0.016012432,560,3.8770854e-06,20,28,7.5461793,2.3966422,0.068040036,19.984623,18.194736,70.456856,,-2.8787491,-3.1796894,20.0,1.5,,71.52619,18.194736,-35.472168,20
9.064334154129028,1.0874507,6.090895,-1.0908952,8.935285,-3.6842105,-4.080984,-3.1421032,,29,0.064506456,580,3.6143113e-06,20,29,6.058036,1.1637741,9.171199e-08,19.984623,18.194736,62.492916,,-2.9132688,-3.181461,20.0,1.5,,71.4282,18.194736,-31.635956,20
9.437756776809692,0.98144656,6.130484,-1.1304841,6.8558154,-6.8421054,-6.2434273,-2.9763763,,30,1.4803944e-05,600,3.377373e-06,20,30,5.1604834,7.27857,0.9586752,19.984623,18.194736,62.919147,,-2.9449484,-3.1735682,20.0,1.5,,69.77496,18.194736,-33.91452,20
9.852515697479248,1.044692,6.1611505,-1.1611505,0.5684033,10.0,13.518727,-2.9992065,,31,2.6575213e-08,620,3.162992e-06,20,31,11.731918,7.0811443,1.8336956e-25,19.984623,18.194736,68.069046,,-2.9777377,-3.169859,20.0,1.5,,68.63745,18.194736,-35.995667,20
10.180493354797363,0.895542,5.984091,-0.9840908,11.558325,-1.5789474,1.3569258,-6.3892846,,32,1.6494939,640,2.9683938e-06,20,32,4.9136696,0.4952345,1.5893224e-20,19.984623,18.194736,57.06512,,-3.0094864,-3.2727008,20.0,1.5,,68.62344,18.194736,-31.490906,20
10.476362466812134,0.7663495,5.875441,-0.8754411,0.65426576,7.894737,9.788019,-3.0710042,,33,5.8753052e-05,660,2.7912172e-06,20,33,7.0466247,2.3986542,0.00042995167,19.984623,18.194736,66.40757,,-2.989996,-3.2706027,20.0,1.5,,67.06184,18.194736,-28.889557,20
10.78500247001648,1.244281,5.7184772,-0.71847725,6.897385,1.5789474,3.2973504,-3.254821,,34,4.6424704,680,2.6294422e-06,20,34,6.0189357,0.5386727,2.1611143e-06,19.984623,18.194736,58.764103,,-3.0198472,-3.277872,20.0,1.5,,65.66149,18.194736,-24.428223,20
11.111838340759277,1.1929024,5.593471,-0.59347105,8.547888,-5.7894735,-7.32438,-3.2169254,,35,0.00039033993,700,2.481335e-06,20,35,5.9651265,1.3432753,7.1294295e-08,19.984623,18.194736,57.235207,,-2.9208434,-3.2710183,20.0,1.5,,65.7831,18.194736,-20.771484,20
11.398232460021973,0.86224484,5.6361117,-0.63611174,5.8205786,-10.0,-9.424313,-3.0695562,,36,3.9292042e-11,720,2.3453977e-06,20,36,10.225159,7.1285377,1.1668134,19.984623,18.194736,58.83017,,-2.949003,-3.2616034,20.0,1.5,,64.65075,18.194736,-22.900024,20
11.742239236831665,1.0240338,5.6532006,-0.6532006,1.8456274,3.6842105,7.012163,-3.14031,,37,0.7500994,740,2.2203328e-06,20,37,6.78581,6.268388,1.6033129e-16,19.984623,18.194736,62.870033,,-2.976402,-3.2637708,20.0,1.5,,64.71566,18.194736,-24.168427,20
12.082318782806396,0.9913061,5.5285935,-0.52859354,6.762822,-7.894737,-5.729475,-3.2617455,,38,3.4793567e-07,760,2.1050107e-06,20,38,5.994113,0.91812146,2.485234e-21,19.984623,18.194736,56.24075,,-2.983,-3.264183,20.0,1.5,,63.00357,18.194736,-20.086548,20
