Iteration,InvPendulum_std2_higher,InvPendulum_mu1_higher,NumTrajectories,NumTrainableParams,InvPendulum_mu2_higher,InvPendulum_mu0_higher,InvPendulum_std3_higher,TimestepsSoFar,MinEpLen,InvPendulum_mu3_higher,InvPendulum_std0_higher,ActionIn1,InvPendulum_std1_higher,TimeElapsed,AvgEpLen,ReturnMean
1,0.01,-0.11102458,1,4,0.0034825685,-0.18568558,0.01,500,500,-0.10712334,0.01,-0.37208194,0.01,0.3926081657409668,500.0,15.145735
2,0.01,-0.11102458,2,,0.0034825685,-0.18568558,0.01,812,312,-0.10712334,0.01,-0.4262117,0.01,0.5976102352142334,406.0,-26.285637
3,0.01,-0.11102458,3,,0.0034825685,-0.18568558,0.01,987,175,-0.10712334,0.01,-0.41405118,0.01,0.6935579776763916,329.0,-57.489227
4,0.01,-0.11102458,4,,0.0034825685,-0.18568558,0.01,1055,68,-0.10712334,0.01,-0.3962352,0.01,0.7351958751678467,263.75,-67.17213
5,0.01,-0.11102458,5,,0.0034825685,-0.18568558,0.01,1442,68,-0.10712334,0.01,-0.39675993,0.01,1.0842196941375732,288.4,-64.74443
6,0.01,-0.11102458,6,,0.0034825685,-0.18568558,0.01,1942,68,-0.10712334,0.01,-0.38335535,0.01,1.4162242412567139,323.6666666666667,-45.551548
7,0.01,-0.11102458,7,,0.0034825685,-0.18568558,0.01,2414,68,-0.10712334,0.01,-0.3942715,0.01,1.7060043811798096,344.85714285714283,-43.88473
8,0.01,-0.11102458,8,,0.0034825685,-0.18568558,0.01,2914,68,-0.10712334,0.01,-0.39998388,0.01,2.158909797668457,364.25,-28.976961
9,0.01,-0.11102458,9,,0.0034825685,-0.18568558,0.01,3414,68,-0.10712334,0.01,-0.41590023,0.01,2.523188591003418,379.3333333333333,-17.947165
10,0.01,-0.11102458,10,,0.0034825685,-0.18568558,0.01,3914,68,-0.10712334,0.01,-0.37436908,0.01,2.8253300189971924,391.4,-14.942514
11,0.01,-0.11102458,11,,0.0034825685,-0.18568558,0.01,4414,68,-0.10712334,0.01,-0.38386354,0.01,3.084043025970459,401.27272727272725,-13.382776
12,0.01,-0.11102458,12,,0.0034825685,-0.18568558,0.01,4914,68,-0.10712334,0.01,-0.38714457,0.01,3.348536252975464,409.5,-8.167231
13,0.01,-0.11102458,13,,0.0034825685,-0.18568558,0.01,5414,68,-0.10712334,0.01,-0.40588936,0.01,3.697528839111328,416.46153846153845,0.5836874
14,0.01,-0.11102458,14,,0.0034825685,-0.18568558,0.01,5803,68,-0.10712334,0.01,-0.403609,0.01,3.918567180633545,414.5,-0.58579093
15,0.01,-0.11102458,15,,0.0034825685,-0.18568558,0.01,6303,68,-0.10712334,0.01,-0.39542377,0.01,4.212244987487793,420.2,3.2870722
16,0.01,-0.11102458,16,,0.0034825685,-0.18568558,0.01,6443,68,-0.10712334,0.01,-0.38384095,0.01,4.306513547897339,402.6875,-3.5142555
17,0.01,-0.11102458,17,,0.0034825685,-0.18568558,0.01,6943,68,-0.10712334,0.01,-0.3925653,0.01,4.595491886138916,408.4117647058824,-0.16003418
