LQGmu1_higher,Iteration,LQGmu1_actor,ReturnMean,TimeElapsed,NumTrajectories,TimestepsSoFar,NumTrainableParams,AvgEpLen,MinEpLen,LQGsigma_higher
-0.67,1,-0.562906,0.04584367,0.027631282806396484,1,20,1,20.0,20,0.14999999
-0.67,2,-0.6397506,0.045848828,0.07857847213745117,2,40,,20.0,20,0.14999999
-0.67,3,-0.7966795,0.04584879,0.0861821174621582,3,60,,20.0,20,0.14999999
-0.67,4,-0.72965616,0.045850176,0.09407162666320801,4,80,,20.0,20,0.14999999
-0.67,5,-0.6093232,0.045849588,0.10348796844482422,5,100,,20.0,20,0.14999999
-0.67,6,-0.78171015,0.045845736,0.11740541458129883,6,120,,20.0,20,0.14999999
-0.67,7,-0.7390902,0.045843806,0.1271517276763916,7,140,,20.0,20,0.14999999
-0.67,8,-0.70902956,0.045843244,0.13784170150756836,8,160,,20.0,20,0.14999999
-0.67,9,-0.45868516,0.04584436,0.146010160446167,9,180,,20.0,20,0.14999999
-0.67,10,-0.775777,0.04583137,0.15352582931518555,10,200,,20.0,20,0.14999999
-0.67,11,-0.6988238,0.045832455,0.16420745849609375,11,220,,20.0,20,0.14999999
-0.67,12,-0.69841796,0.045833558,0.1747121810913086,12,240,,20.0,20,0.14999999
-0.67,13,-0.819933,0.045834832,0.18401885032653809,13,260,,20.0,20,0.14999999
-0.67,14,-0.66835845,0.045831222,0.19346976280212402,14,280,,20.0,20,0.14999999
-0.67,15,-0.5633894,0.04583264,0.20334649085998535,15,300,,20.0,20,0.14999999
-0.67,16,-0.7526013,0.04583397,0.2117314338684082,16,320,,20.0,20,0.14999999
-0.67,17,-0.7021426,0.045832377,0.22064638137817383,17,340,,20.0,20,0.14999999
-0.67,18,-0.5023213,0.04583341,0.2308351993560791,18,360,,20.0,20,0.14999999
-0.67,19,-0.4565607,0.045834273,0.2399137020111084,19,380,,20.0,20,0.14999999
-0.67,20,-0.6498388,0.04583182,0.24756693840026855,20,400,,20.0,20,0.14999999
-0.67,21,-0.5573872,0.045827895,0.25849270820617676,21,420,,20.0,20,0.14999999
-0.67,22,-0.62955916,0.045828875,0.27446627616882324,22,440,,20.0,20,0.14999999
-0.67,23,-0.61192614,0.045829907,0.2829160690307617,23,460,,20.0,20,0.14999999
-0.67,24,-0.65370417,0.045830246,0.2935476303100586,24,480,,20.0,20,0.14999999
-0.67,25,-0.7118437,0.045830965,0.30229902267456055,25,500,,20.0,20,0.14999999
-0.67,26,-0.7569254,0.045828946,0.3133409023284912,26,520,,20.0,20,0.14999999
-0.67,27,-0.5836877,0.045829874,0.3257176876068115,27,540,,20.0,20,0.14999999
-0.67,28,-0.7168107,0.045829277,0.33573436737060547,28,560,,20.0,20,0.14999999
-0.67,29,-0.7096774,0.045829453,0.34468555450439453,29,580,,20.0,20,0.14999999
-0.67,30,-0.6101322,0.045830097,0.35329127311706543,30,600,,20.0,20,0.14999999
-0.67,31,-0.31812733,0.0458303,0.36096763610839844,31,620,,20.0,20,0.14999999
-0.67,32,-0.37641272,0.04582963,0.3686211109161377,32,640,,20.0,20,0.14999999
-0.67,33,-0.48067182,0.04582914,0.37773752212524414,33,660,,20.0,20,0.14999999
-0.67,34,-0.4981597,0.04582903,0.38613128662109375,34,680,,20.0,20,0.14999999
-0.67,35,-0.8234906,0.045829322,0.3989677429199219,35,700,,20.0,20,0.14999999
-0.67,36,-0.6124313,0.0458299,0.4086039066314697,36,720,,20.0,20,0.14999999
-0.67,37,-0.33720478,0.045829803,0.41830015182495117,37,740,,20.0,20,0.14999999
-0.67,38,-0.45347387,0.0458297,0.4279811382293701,38,760,,20.0,20,0.14999999
-0.67,39,-0.6249142,0.045829576,0.4378046989440918,39,780,,20.0,20,0.14999999
-0.67,40,-0.6221943,0.045829546,0.44749021530151367,40,800,,20.0,20,0.14999999
-0.67,41,-0.64771754,0.045830157,0.45653676986694336,41,820,,20.0,20,0.14999999
-0.67,42,-0.62993544,0.04583066,0.4645071029663086,42,840,,20.0,20,0.14999999
-0.67,43,-0.6010442,0.045831144,0.47493672370910645,43,860,,20.0,20,0.14999999
-0.67,44,-0.6823446,0.045830082,0.4840834140777588,44,880,,20.0,20,0.14999999
-0.67,45,-0.8763249,0.045830492,0.49194860458374023,45,900,,20.0,20,0.14999999
-0.67,46,-0.52500856,0.045831013,0.5013613700866699,46,920,,20.0,20,0.14999999
-0.67,47,-0.5333271,0.045831334,0.5108325481414795,47,940,,20.0,20,0.14999999
-0.67,48,-0.7989425,0.0458317,0.5202932357788086,48,960,,20.0,20,0.14999999
-0.67,49,-0.94344246,0.045832068,0.5321931838989258,49,980,,20.0,20,0.14999999
-0.67,50,-0.7758614,0.045832396,0.5404551029205322,50,1000,,20.0,20,0.14999999
-0.67,51,-0.59454054,0.04583283,0.5503778457641602,51,1020,,20.0,20,0.14999999
-0.67,52,-0.59599096,0.045832552,0.5601165294647217,52,1040,,20.0,20,0.14999999
-0.67,53,-0.66740453,0.04583283,0.573289155960083,53,1060,,20.0,20,0.14999999
-0.67,54,-0.70485455,0.04583321,0.5840320587158203,54,1080,,20.0,20,0.14999999
-0.67,55,-0.49135712,0.04583337,0.5958495140075684,55,1100,,20.0,20,0.14999999
-0.67,56,-0.9281936,0.04583352,0.6048538684844971,56,1120,,20.0,20,0.14999999
-0.67,57,-0.46611315,0.045833815,0.6150472164154053,57,1140,,20.0,20,0.14999999
-0.67,58,-0.60975486,0.045834053,0.6241168975830078,58,1160,,20.0,20,0.14999999
-0.67,59,-0.46713507,0.045834187,0.632251501083374,59,1180,,20.0,20,0.14999999
-0.67,60,-0.63318825,0.04583439,0.6398582458496094,60,1200,,20.0,20,0.14999999
-0.67,61,-0.3961203,0.045834497,0.6477146148681641,61,1220,,20.0,20,0.14999999
-0.67,62,-0.8111237,0.045834333,0.6604607105255127,62,1240,,20.0,20,0.14999999
-0.67,63,-0.54203737,0.04583455,0.6682512760162354,63,1260,,20.0,20,0.14999999
-0.67,64,-0.616184,0.045834754,0.6759905815124512,64,1280,,20.0,20,0.14999999
-0.67,65,-0.6266604,0.04583408,0.6855742931365967,65,1300,,20.0,20,0.14999999
-0.67,66,-0.82153267,0.0458338,0.6934635639190674,66,1320,,20.0,20,0.14999999
-0.67,67,-0.40475586,0.045833603,0.7048425674438477,67,1340,,20.0,20,0.14999999
-0.67,68,-0.47707745,0.045833144,0.7152688503265381,68,1360,,20.0,20,0.14999999
-0.67,69,-0.47770238,0.045833427,0.7233693599700928,69,1380,,20.0,20,0.14999999
-0.67,70,-0.6908291,0.045833647,0.7328779697418213,70,1400,,20.0,20,0.14999999
-0.67,71,-0.56563485,0.04583248,0.7411925792694092,71,1420,,20.0,20,0.14999999
-0.67,72,-0.7255546,0.045832403,0.751558780670166,72,1440,,20.0,20,0.14999999
-0.67,73,-0.6491356,0.045831986,0.762847900390625,73,1460,,20.0,20,0.14999999
-0.67,74,-0.46640375,0.045832258,0.7733516693115234,74,1480,,20.0,20,0.14999999
-0.67,75,-0.6218087,0.045832403,0.7830212116241455,75,1500,,20.0,20,0.14999999
