MinEpLen,Iteration,AvgEpLen,LQGmu1_higher,ReturnMean,NumTrajectories,TimestepsSoFar,LQGsigma_higher,TimeElapsed,LQGmu1_actor,NumTrainableParams
20,1,20.0,-0.67,0.04584367,1,20,0.14999999,0.028847217559814453,-0.562906,1
20,2,20.0,-0.67,0.045848828,2,40,0.14999999,0.07673764228820801,-0.6397506,
20,3,20.0,-0.67,0.04584879,3,60,0.14999999,0.08705401420593262,-0.7966795,
20,4,20.0,-0.67,0.045850176,4,80,0.14999999,0.10067510604858398,-0.72965616,
20,5,20.0,-0.67,0.045849588,5,100,0.14999999,0.11108279228210449,-0.6093232,
20,6,20.0,-0.67,0.045845736,6,120,0.14999999,0.12086939811706543,-0.78171015,
20,7,20.0,-0.67,0.045843806,7,140,0.14999999,0.13117313385009766,-0.7390902,
20,8,20.0,-0.67,0.045843244,8,160,0.14999999,0.14229059219360352,-0.70902956,
20,9,20.0,-0.67,0.04584436,9,180,0.14999999,0.15083813667297363,-0.45868516,
20,10,20.0,-0.67,0.04583137,10,200,0.14999999,0.15932965278625488,-0.775777,
20,11,20.0,-0.67,0.045832455,11,220,0.14999999,0.17105507850646973,-0.6988238,
20,12,20.0,-0.67,0.045833558,12,240,0.14999999,0.18154263496398926,-0.69841796,
20,13,20.0,-0.67,0.045834832,13,260,0.14999999,0.19303274154663086,-0.819933,
20,14,20.0,-0.67,0.045831222,14,280,0.14999999,0.20218324661254883,-0.66835845,
20,15,20.0,-0.67,0.04583264,15,300,0.14999999,0.21212196350097656,-0.5633894,
20,16,20.0,-0.67,0.04583397,16,320,0.14999999,0.22649264335632324,-0.7526013,
20,17,20.0,-0.67,0.045832377,17,340,0.14999999,0.23624372482299805,-0.7021426,
20,18,20.0,-0.67,0.04583341,18,360,0.14999999,0.24625515937805176,-0.5023213,
20,19,20.0,-0.67,0.045834273,19,380,0.14999999,0.25731945037841797,-0.4565607,
20,20,20.0,-0.67,0.04583182,20,400,0.14999999,0.26655006408691406,-0.6498388,
20,21,20.0,-0.67,0.045827895,21,420,0.14999999,0.27611708641052246,-0.5573872,
20,22,20.0,-0.67,0.045828875,22,440,0.14999999,0.28678226470947266,-0.62955916,
20,23,20.0,-0.67,0.045829907,23,460,0.14999999,0.29637980461120605,-0.61192614,
20,24,20.0,-0.67,0.045830246,24,480,0.14999999,0.30600881576538086,-0.65370417,
20,25,20.0,-0.67,0.045830965,25,500,0.14999999,0.3175513744354248,-0.7118437,
20,26,20.0,-0.67,0.045828946,26,520,0.14999999,0.32736635208129883,-0.7569254,
20,27,20.0,-0.67,0.045829874,27,540,0.14999999,0.3421485424041748,-0.5836877,
20,28,20.0,-0.67,0.045829277,28,560,0.14999999,0.35321044921875,-0.7168107,
20,29,20.0,-0.67,0.045829453,29,580,0.14999999,0.36146998405456543,-0.7096774,
20,30,20.0,-0.67,0.045830097,30,600,0.14999999,0.371478796005249,-0.6101322,
20,31,20.0,-0.67,0.0458303,31,620,0.14999999,0.3833925724029541,-0.31812733,
20,32,20.0,-0.67,0.04582963,32,640,0.14999999,0.3973371982574463,-0.37641272,
20,33,20.0,-0.67,0.04582914,33,660,0.14999999,0.40967798233032227,-0.48067182,
20,34,20.0,-0.67,0.04582903,34,680,0.14999999,0.41848230361938477,-0.4981597,
20,35,20.0,-0.67,0.045829322,35,700,0.14999999,0.4267919063568115,-0.8234906,
20,36,20.0,-0.67,0.0458299,36,720,0.14999999,0.43805766105651855,-0.6124313,
20,37,20.0,-0.67,0.045829803,37,740,0.14999999,0.44907546043395996,-0.33720478,
20,38,20.0,-0.67,0.0458297,38,760,0.14999999,0.45823073387145996,-0.45347387,
20,39,20.0,-0.67,0.045829576,39,780,0.14999999,0.4686770439147949,-0.6249142,
20,40,20.0,-0.67,0.045829546,40,800,0.14999999,0.47776293754577637,-0.6221943,
20,41,20.0,-0.67,0.045830157,41,820,0.14999999,0.48643994331359863,-0.64771754,
20,42,20.0,-0.67,0.04583066,42,840,0.14999999,0.4977436065673828,-0.62993544,
20,43,20.0,-0.67,0.045831144,43,860,0.14999999,0.5075516700744629,-0.6010442,
20,44,20.0,-0.67,0.045830082,44,880,0.14999999,0.5166001319885254,-0.6823446,
20,45,20.0,-0.67,0.045830492,45,900,0.14999999,0.5272188186645508,-0.8763249,
20,46,20.0,-0.67,0.045831013,46,920,0.14999999,0.5376596450805664,-0.52500856,
20,47,20.0,-0.67,0.045831334,47,940,0.14999999,0.5474786758422852,-0.5333271,
20,48,20.0,-0.67,0.0458317,48,960,0.14999999,0.5618331432342529,-0.7989425,
20,49,20.0,-0.67,0.045832068,49,980,0.14999999,0.5710363388061523,-0.94344246,
20,50,20.0,-0.67,0.045832396,50,1000,0.14999999,0.5793061256408691,-0.7758614,
20,51,20.0,-0.67,0.04583283,51,1020,0.14999999,0.5890183448791504,-0.59454054,
20,52,20.0,-0.67,0.045832552,52,1040,0.14999999,0.5999071598052979,-0.59599096,
20,53,20.0,-0.67,0.04583283,53,1060,0.14999999,0.6090655326843262,-0.66740453,
20,54,20.0,-0.67,0.04583321,54,1080,0.14999999,0.6206188201904297,-0.70485455,
20,55,20.0,-0.67,0.04583337,55,1100,0.14999999,0.6299991607666016,-0.49135712,
20,56,20.0,-0.67,0.04583352,56,1120,0.14999999,0.6392180919647217,-0.9281936,
20,57,20.0,-0.67,0.045833815,57,1140,0.14999999,0.6514427661895752,-0.46611315,
20,58,20.0,-0.67,0.045834053,58,1160,0.14999999,0.6606528759002686,-0.60975486,
20,59,20.0,-0.67,0.045834187,59,1180,0.14999999,0.6706223487854004,-0.46713507,
20,60,20.0,-0.67,0.04583439,60,1200,0.14999999,0.6834652423858643,-0.63318825,
20,61,20.0,-0.67,0.045834497,61,1220,0.14999999,0.6934497356414795,-0.3961203,
20,62,20.0,-0.67,0.045834333,62,1240,0.14999999,0.702552318572998,-0.8111237,
20,63,20.0,-0.67,0.04583455,63,1260,0.14999999,0.7182118892669678,-0.54203737,
20,64,20.0,-0.67,0.045834754,64,1280,0.14999999,0.7267105579376221,-0.616184,
20,65,20.0,-0.67,0.04583408,65,1300,0.14999999,0.7368521690368652,-0.6266604,
20,66,20.0,-0.67,0.0458338,66,1320,0.14999999,0.746849775314331,-0.82153267,
20,67,20.0,-0.67,0.045833603,67,1340,0.14999999,0.7552719116210938,-0.40475586,
20,68,20.0,-0.67,0.045833144,68,1360,0.14999999,0.765744686126709,-0.47707745,
20,69,20.0,-0.67,0.045833427,69,1380,0.14999999,0.7758626937866211,-0.47770238,
20,70,20.0,-0.67,0.045833647,70,1400,0.14999999,0.791205883026123,-0.6908291,
20,71,20.0,-0.67,0.04583248,71,1420,0.14999999,0.8022799491882324,-0.56563485,
20,72,20.0,-0.67,0.045832403,72,1440,0.14999999,0.8119392395019531,-0.7255546,
20,73,20.0,-0.67,0.045831986,73,1460,0.14999999,0.8203516006469727,-0.6491356,
20,74,20.0,-0.67,0.045832258,74,1480,0.14999999,0.8327505588531494,-0.46640375,
20,75,20.0,-0.67,0.045832403,75,1500,0.14999999,0.8425092697143555,-0.6218087,
20,76,20.0,-0.67,0.045832694,76,1520,0.14999999,0.852484941482544,-0.63877267,
20,77,20.0,-0.67,0.04583295,77,1540,0.14999999,0.8627023696899414,-0.78621036,
20,78,20.0,-0.67,0.045833223,78,1560,0.14999999,0.8716995716094971,-0.6404219,
20,79,20.0,-0.67,0.045833424,79,1580,0.14999999,0.8814458847045898,-0.5997664,
20,80,20.0,-0.67,0.0458335,80,1600,0.14999999,0.8933727741241455,-0.98534155,
20,81,20.0,-0.67,0.045833644,81,1620,0.14999999,0.9021081924438477,-0.7305852,
20,82,20.0,-0.67,0.045833606,82,1640,0.14999999,0.9119079113006592,-0.4648354,
20,83,20.0,-0.67,0.045833692,83,1660,0.14999999,0.9214046001434326,-0.91442317,
20,84,20.0,-0.67,0.045833655,84,1680,0.14999999,0.9320073127746582,-0.55438995,
20,85,20.0,-0.67,0.045833807,85,1700,0.14999999,0.9415435791015625,-0.73937273,
20,86,20.0,-0.67,0.04583396,86,1720,0.14999999,0.9528882503509521,-0.7527066,
20,87,20.0,-0.67,0.0458342,87,1740,0.14999999,0.963019609451294,-0.7859879,
20,88,20.0,-0.67,0.045834314,88,1760,0.14999999,0.9724304676055908,-0.8301068,
20,89,20.0,-0.67,0.04583454,89,1780,0.14999999,0.9831521511077881,-0.8005824,
20,90,20.0,-0.67,0.045834754,90,1800,0.14999999,0.9981436729431152,-0.4346016,
20,91,20.0,-0.67,0.045834545,91,1820,0.14999999,1.0067100524902344,-0.59147114,
20,92,20.0,-0.67,0.045834105,92,1840,0.14999999,1.017932415008545,-0.6356965,
20,93,20.0,-0.67,0.04583432,93,1860,0.14999999,1.0278990268707275,-0.4098019,
20,94,20.0,-0.67,0.045834433,94,1880,0.14999999,1.037421464920044,-0.5973687,
20,95,20.0,-0.67,0.0458345,95,1900,0.14999999,1.0505433082580566,-0.77383864,
20,96,20.0,-0.67,0.04583469,96,1920,0.14999999,1.0608916282653809,-0.5104426,
20,97,20.0,-0.67,0.045834836,97,1940,0.14999999,1.0715301036834717,-0.6079071,
20,98,20.0,-0.67,0.0458343,98,1960,0.14999999,1.0811126232147217,-0.7762071,
20,99,20.0,-0.67,0.04583415,99,1980,0.14999999,1.091442584991455,-0.56605744,
20,100,20.0,-0.67,0.04583386,100,2000,0.14999999,1.1022875308990479,-0.8503109,
20,101,20.0,-0.67,0.04583394,101,2020,0.14999999,1.1128816604614258,-0.88262683,
20,102,20.0,-0.67,0.045833934,102,2040,0.14999999,1.1222872734069824,-0.42937917,
20,103,20.0,-0.67,0.045834117,103,2060,0.14999999,1.135568380355835,-0.65024185,
20,104,20.0,-0.67,0.045833927,104,2080,0.14999999,1.1451153755187988,-0.8571346,
20,105,20.0,-0.67,0.045833543,105,2100,0.14999999,1.1568949222564697,-0.8733418,
20,106,20.0,-0.67,0.045833692,106,2120,0.14999999,1.1688268184661865,-0.77451336,
20,107,20.0,-0.67,0.045833837,107,2140,0.14999999,1.1842575073242188,-0.8623798,
20,108,20.0,-0.67,0.04583345,108,2160,0.14999999,1.1962273120880127,-0.70123947,
20,109,20.0,-0.67,0.045833446,109,2180,0.14999999,1.2060391902923584,-0.78006095,
20,110,20.0,-0.67,0.0458336,110,2200,0.14999999,1.2180263996124268,-0.7673776,
20,111,20.0,-0.67,0.045833774,111,2220,0.14999999,1.2284595966339111,-0.6611482,
20,112,20.0,-0.67,0.04583395,112,2240,0.14999999,1.239060401916504,-0.712446,
20,113,20.0,-0.67,0.045833934,113,2260,0.14999999,1.2497851848602295,-0.61140186,
