NumTrainableParams,Iteration,TimestepsSoFar,NumTrajectories,InvPendulum_std0_higher,InvPendulum_std2_higher,TimeElapsed,InvPendulum_mu2_higher,InvPendulum_mu0_higher,AvgEpLen,InvPendulum_std3_higher,InvPendulum_std1_higher,ActionIn1,InvPendulum_mu1_higher,InvPendulum_mu3_higher,ReturnMean,MinEpLen
4,1,500,1,0.14999999,0.14999999,0.31302380561828613,0.0034825685,-0.18568558,500.0,0.14999999,0.14999999,0.023683488,-0.11102458,-0.10712334,-63.133675,500
,2,521,2,0.14999999,0.14999999,0.35135316848754883,0.0034825685,-0.18568558,260.5,0.14999999,0.14999999,-0.78826326,-0.11102458,-0.10712334,-80.36996,21
,3,559,3,0.14999999,0.14999999,0.3746974468231201,0.0034825685,-0.18568558,186.33333333333334,0.14999999,0.14999999,-0.6058546,-0.11102458,-0.10712334,-80.28772,21
,4,592,4,0.14999999,0.14999999,0.39418840408325195,0.0034825685,-0.18568558,148.0,0.14999999,0.14999999,-0.3386151,-0.11102458,-0.10712334,-79.07341,21
,5,606,5,0.14999999,0.14999999,0.40514683723449707,0.0034825685,-0.18568558,121.2,0.14999999,0.14999999,-0.34648594,-0.11102458,-0.10712334,-81.81708,14
,6,626,6,0.14999999,0.14999999,0.41799497604370117,0.0034825685,-0.18568558,104.33333333333333,0.14999999,0.14999999,-0.14541759,-0.11102458,-0.10712334,-83.05687,14
,7,642,7,0.14999999,0.14999999,0.4288313388824463,0.0034825685,-0.18568558,91.71428571428571,0.14999999,0.14999999,-0.3091595,-0.11102458,-0.10712334,-84.03679,14
,8,788,8,0.14999999,0.14999999,0.508089542388916,0.0034825685,-0.18568558,98.5,0.14999999,0.14999999,-0.39484546,-0.11102458,-0.10712334,-77.54106,14
,9,1288,9,0.14999999,0.14999999,0.7679274082183838,0.0034825685,-0.18568558,143.11111111111111,0.14999999,0.14999999,-0.63359064,-0.11102458,-0.10712334,-76.17402,14
,10,1788,10,0.14999999,0.14999999,1.0220460891723633,0.0034825685,-0.18568558,178.8,0.14999999,0.14999999,-0.010623373,-0.11102458,-0.10712334,-78.481346,14
,11,1818,11,0.14999999,0.14999999,1.0406975746154785,0.0034825685,-0.18568558,165.27272727272728,0.14999999,0.14999999,-0.15304014,-0.11102458,-0.10712334,-80.37856,14
,12,1856,12,0.14999999,0.14999999,1.0645256042480469,0.0034825685,-0.18568558,154.66666666666666,0.14999999,0.14999999,-0.20225549,-0.11102458,-0.10712334,-81.741875,14
