NumTrainableParams,ReturnStepMax,NumTrajectories,ReturnMax,DenMISELogLast,LQGmu1_actor,ReturnMean,BoundMISE,TimestepsSoFar,BoundBonus,IWMean,ReturnMin,ReturnLastEpisode,Regret/t,GridSize,Regret,ReturnAbsMax,Delta,DenMISEMeanLog,IWLastEpisode,DenMISELogFirst,IWMax,Iteration,TimeElapsed,LQGmu1_higher,LQGsigma_higher,IWMin,AvgEpLen,IWFirstEpisode,MinEpLen,Bound
1,12.327121,1,11.420933,-2.3214452,-7.1441603,11.420933,0.42715234,20,2108.0034,0.037400827,,11.420933,-6.420933,20,-6.420933,11.420933,0.0030396353,-2.3214452,0.037400827,-2.3214452,0.037400827,1,0.03474068641662598,-10.0,4.0,,20.0,0.037400827,20,2108.4307
,12.327121,2,11.420933,-3.102786,10.80665,9.29797,0.58492213,40,672.3114,0.05125724,,7.175007,-4.29797,20,-8.59594,11.420933,0.0007599088,-3.04033,0.00022769172,-2.977874,0.10228679,2,0.7182271480560303,10.0,4.0,,20.0,0.10228679,20,672.8963
,12.327121,3,11.420933,-3.3748734,-8.114963,6.363725,11.493093,60,102.19163,1.3510889,,0.4952345,-1.3637252,20,-4.091175,11.420933,0.0003377373,-3.4054902,0.0015332513,-3.3334606,2.7782044,3,1.049903154373169,-4.736842,4.0,,20.0,1.2735286,20,113.68472
,12.327121,4,11.420933,-3.1789887,4.1986423,6.333082,3.1438446,80,77.4094,0.700042,,6.2411547,-1.3330822,20,-5.332329,11.420933,0.0001899772,-3.3121717,0.005696453,-3.2673151,1.7685937,4,1.3048529624938965,5.7894735,4.0,,20.0,1.0135067,20,80.553246
,12.327121,5,11.420933,-3.1804004,-1.0135299,5.321027,8.358149,100,53.768333,1.0523734,,1.2728044,-0.3210268,20,-1.605133,11.420933,0.00012158541,-3.345035,0.55838585,-3.2646174,2.0027456,5,1.543306589126587,-2.631579,4.0,,20.0,2.0027456,20,62.12648
,19.973738,6,18.184313,-3.0712893,-12.978937,7.464908,5.837862,120,88.43292,0.8185384,,18.184313,-2.4649081,20,-14.789448,18.184313,8.443432e-05,-3.2979088,0.17246023,-3.1100745,2.603117,6,1.790954828262329,-10.0,4.0,,20.0,0.08229597,20,94.27078
,19.973738,7,18.184313,-3.7366483,8.157596,7.207192,0.88036096,140,85.55409,0.83592194,,5.6608977,-2.207192,20,-15.450344,18.184313,6.203337e-05,-3.393164,2.853445e-07,-3.2506025,4.6070023,7,2.1796987056732178,10.0,4.0,,20.0,0.13435815,20,86.434456
,19.973738,8,18.184313,-3.3298128,1.5907906,6.403013,8.365824,160,77.799904,1.089241,,0.77376294,-1.4030132,20,-11.224106,18.184313,4.74943e-05,-3.4179678,1.0728332,-3.3651218,2.7771513,8,2.425995111465454,2.631579,4.0,,20.0,2.4279292,20,86.165726
,19.973738,9,18.184313,-3.2102604,-0.15441084,5.922249,8.257176,180,68.42577,0.99554664,,2.076133,-0.92224884,20,-8.30024,18.184313,3.7526363e-05,-3.3918834,0.45063087,-3.2178586,2.7454085,9,2.6587228775024414,-5.7894735,4.0,,20.0,0.78782904,20,76.68295
,19.976288,10,18.187723,-3.2298512,-3.347036,7.148796,13.295896,200,61.724228,1.2565352,,18.187723,-2.148796,20,-21.48796,18.187723,3.0396353e-05,-3.3802285,2.5100336,-3.239304,2.5100336,10,2.9694886207580566,-0.5263158,4.0,,20.0,2.4937007,20,75.02013
,19.976288,11,18.187723,-3.093795,-10.768634,7.207495,5.9255886,220,64.83969,0.89458376,,7.794487,-2.2074952,20,-24.282448,18.187723,2.5120953e-05,-3.3369772,0.5517704,-3.1119747,4.434065,11,3.252930164337158,-10.0,4.0,,20.0,0.08245249,20,70.76528
,19.976288,12,18.187723,-3.4271739,5.031661,7.1605573,3.8732822,240,65.55457,0.97651815,,6.644239,-2.1605573,20,-25.92669,18.187723,2.110858e-05,-3.3582284,0.0005838299,-3.1915183,3.0029082,12,3.5183775424957275,5.7894735,4.0,,20.0,0.9395253,20,69.42786
,19.976288,13,18.187723,-3.2716808,-5.5771604,6.7020435,11.289829,260,53.711094,1.1273477,,1.1998739,-1.7020435,20,-22.126564,18.187723,1.7986009e-05,-3.3561378,0.6708689,-3.196181,2.4055288,13,3.7404916286468506,-1.5789474,4.0,,20.0,2.188004,20,65.00092
