NumTrainableParams,Iteration,ReturnMean,TimeElapsed,MinEpLen,AvgEpLen,NumTrajectories,TimestepsSoFar,LQGmu1_higher,LQGsigma_higher,LQGmu1_actor
,61,0.0015662203,0.6996033191680908,20,20.0,61,1220,1.0,0.14999999,1.2738798
,62,0.0015409586,0.7086267471313477,20,20.0,62,1240,1.0,0.14999999,0.8588763
,63,0.0016119683,0.7205400466918945,20,20.0,63,1260,1.0,0.14999999,1.1279627
,64,0.0015867812,0.7283432483673096,20,20.0,64,1280,1.0,0.14999999,1.053816
,65,0.0015623692,0.7372298240661621,20,20.0,65,1300,1.0,0.14999999,1.0433396
,66,0.0015386969,0.748694658279419,20,20.0,66,1320,1.0,0.14999999,0.84846735
,67,0.0016115824,0.7566959857940674,20,20.0,67,1340,1.0,0.14999999,1.2652441
,68,0.0015878826,0.7644877433776855,20,20.0,68,1360,1.0,0.14999999,1.1929226
,69,0.0015648699,0.7726590633392334,20,20.0,69,1380,1.0,0.14999999,1.1922977
,70,0.0015425145,0.7816019058227539,20,20.0,70,1400,1.0,0.14999999,0.9791709
,71,0.0015341011,0.789832353591919,20,20.0,71,1420,1.0,0.14999999,1.1043652
,72,0.0015127942,0.7993237972259521,20,20.0,72,1440,1.0,0.14999999,0.9444455
,73,0.001525998,0.808722972869873,20,20.0,73,1460,1.0,0.14999999,1.0208645
,74,0.0015053764,0.817284107208252,20,20.0,74,1480,1.0,0.14999999,1.2035962
,75,0.0014853048,0.8269023895263672,20,20.0,75,1500,1.0,0.14999999,1.0481913
,76,0.0014657612,0.8392970561981201,20,20.0,76,1520,1.0,0.14999999,1.0312274
,77,0.0014467253,0.8484523296356201,20,20.0,77,1540,1.0,0.14999999,0.88378966
,78,0.0014925258,0.8592557907104492,20,20.0,78,1560,1.0,0.14999999,1.0295781
,79,0.0014736331,0.8692574501037598,20,20.0,79,1580,1.0,0.14999999,1.0702337
,80,0.0014552127,0.8772628307342529,20,20.0,80,1600,1.0,0.14999999,0.6846585
,81,0.0015876172,0.8865432739257812,20,20.0,81,1620,1.0,0.14999999,0.9394148
,82,0.001601109,0.897662878036499,20,20.0,82,1640,1.0,0.14999999,1.2051647
,83,0.0015818186,0.9071259498596191,20,20.0,83,1660,1.0,0.14999999,0.75557685
,84,0.0016801087,0.9148378372192383,20,20.0,84,1680,1.0,0.14999999,1.11561
,85,0.0016603428,0.9226086139678955,20,20.0,85,1700,1.0,0.14999999,0.9306273
,86,0.0016767426,0.9355635643005371,20,20.0,86,1720,1.0,0.14999999,0.9172934
,87,0.0016992589,0.9464321136474609,20,20.0,87,1740,1.0,0.14999999,0.8840121
,88,0.0017368826,0.9576799869537354,20,20.0,88,1760,1.0,0.14999999,0.8398932
,89,0.0017932536,0.9665048122406006,20,20.0,89,1780,1.0,0.14999999,0.8694176
,90,0.0018355161,0.9746479988098145,20,20.0,90,1800,1.0,0.14999999,1.2353984
,91,0.0018153456,0.9850537776947021,20,20.0,91,1820,1.0,0.14999999,1.0785289
,92,0.0017956136,0.9947848320007324,20,20.0,92,1840,1.0,0.14999999,1.0343035
,93,0.0017763058,1.002295732498169,20,20.0,93,1860,1.0,0.14999999,1.2601981
,94,0.0017574091,1.0105278491973877,20,20.0,94,1880,1.0,0.14999999,1.0726312
,95,0.00173891,1.01963210105896,20,20.0,95,1900,1.0,0.14999999,0.8961614
,96,0.0017678199,1.0282790660858154,20,20.0,96,1920,1.0,0.14999999,1.1595575
,97,0.0017495949,1.036147117614746,20,20.0,97,1940,1.0,0.14999999,1.0620929
,98,0.0017317419,1.0441324710845947,20,20.0,98,1960,1.0,0.14999999,0.89379287
,99,0.0017608302,1.053546667098999,20,20.0,99,1980,1.0,0.14999999,1.1039425
,100,0.0017432219,1.062744379043579,20,20.0,100,2000,1.0,0.14999999,0.81968904
,101,0.0018004442,1.0729866027832031,20,20.0,101,2020,1.0,0.14999999,0.7873732
,102,0.0018682182,1.0840644836425781,20,20.0,102,2040,1.0,0.14999999,1.2406209
,103,0.0018500801,1.0947916507720947,20,20.0,103,2060,1.0,0.14999999,1.0197582
,104,0.0018322909,1.104233980178833,20,20.0,104,2080,1.0,0.14999999,0.81286544
,105,0.0018889176,1.1146106719970703,20,20.0,105,2100,1.0,0.14999999,0.7966582
,106,0.0019501181,1.1224555969238281,20,20.0,106,2120,1.0,0.14999999,0.89548665
,107,0.0019743412,1.1312496662139893,20,20.0,107,2140,1.0,0.14999999,0.8076202
,108,0.0020298841,1.142272710800171,20,20.0,108,2160,1.0,0.14999999,0.96876055
,109,0.0020241982,1.1555237770080566,20,20.0,109,2180,1.0,0.14999999,0.88993907
,110,0.0020491513,1.1650607585906982,20,20.0,110,2200,1.0,0.14999999,0.9026224
,111,0.0020689592,1.178074836730957,20,20.0,111,2220,1.0,0.14999999,1.0088519
,112,0.0020504862,1.195369005203247,20,20.0,112,2240,1.0,0.14999999,0.95755404
,113,0.0020491993,1.2055399417877197,20,20.0,113,2260,1.0,0.14999999,1.0585982
,114,0.0020312238,1.2148582935333252,20,20.0,114,2280,1.0,0.14999999,0.6825519
,115,0.002120048,1.2225606441497803,20,20.0,115,2300,1.0,0.14999999,0.82120657
,116,0.0021661303,1.2352166175842285,20,20.0,116,2320,1.0,0.14999999,1.0641149
,117,0.0021476166,1.2432916164398193,20,20.0,117,2340,1.0,0.14999999,1.0860908
,118,0.0021294164,1.2551062107086182,20,20.0,118,2360,1.0,0.14999999,0.91068566
,119,0.0021444007,1.265442132949829,20,20.0,119,2380,1.0,0.14999999,1.4659511
,120,0.0021265307,1.2732419967651367,20,20.0,120,2400,1.0,0.14999999,1.1129913
,121,0.0021089562,1.2850465774536133,20,20.0,121,2420,1.0,0.14999999,1.1233577
,122,0.0020916697,1.297501564025879,20,20.0,122,2440,1.0,0.14999999,1.145259
,123,0.0020746642,1.3056142330169678,20,20.0,123,2460,1.0,0.14999999,0.8503514
,124,0.0021091318,1.3153104782104492,20,20.0,124,2480,1.0,0.14999999,0.80611324
,125,0.0021564884,1.3238797187805176,20,20.0,125,2500,1.0,0.14999999,0.8903061
,126,0.0021771046,1.3363707065582275,20,20.0,126,2520,1.0,0.14999999,1.0872302
,127,0.002159962,1.3440937995910645,20,20.0,127,2540,1.0,0.14999999,0.8426554
,128,0.0021950197,1.3553719520568848,20,20.0,128,2560,1.0,0.14999999,0.7735339
,129,0.002249389,1.3651814460754395,20,20.0,129,2580,1.0,0.14999999,0.99701244
,130,0.0022331383,1.3742153644561768,20,20.0,130,2600,1.0,0.14999999,1.1084111
,131,0.0022160914,1.384704351425171,20,20.0,131,2620,1.0,0.14999999,0.83548033
,132,0.002251753,1.3989710807800293,20,20.0,132,2640,1.0,0.14999999,0.99789333
,133,0.0022355479,1.4088082313537598,20,20.0,133,2660,1.0,0.14999999,0.7487351
,134,0.0022940454,1.4179091453552246,20,20.0,134,2680,1.0,0.14999999,1.081242
,135,0.0022770525,1.428431510925293,20,20.0,135,2700,1.0,0.14999999,0.9002811
,136,0.002292255,1.4384546279907227,20,20.0,136,2720,1.0,0.14999999,1.0250247
,137,0.002275523,1.4505383968353271,20,20.0,137,2740,1.0,0.14999999,1.0441583
,138,0.0022590337,1.458418369293213,20,20.0,138,2760,1.0,0.14999999,1.080836
,139,0.0022427817,1.4664084911346436,20,20.0,139,2780,1.0,0.14999999,1.2039772
,140,0.0022267618,1.4756479263305664,20,20.0,140,2800,1.0,0.14999999,1.1096121
,141,0.002210969,1.4852936267852783,20,20.0,141,2820,1.0,0.14999999,0.8440577
,142,0.0022418296,1.4935789108276367,20,20.0,142,2840,1.0,0.14999999,1.2613777
,143,0.0022261525,1.5014526844024658,20,20.0,143,2860,1.0,0.14999999,1.0596471
,144,0.002210693,1.5136892795562744,20,20.0,144,2880,1.0,0.14999999,1.12929
,145,0.0021954468,1.524721622467041,20,20.0,145,2900,1.0,0.14999999,0.99113995
,146,0.0021831798,1.534726619720459,20,20.0,146,2920,1.0,0.14999999,0.9373916
,147,0.0021872467,1.5465669631958008,20,20.0,147,2940,1.0,0.14999999,0.9459642
,148,0.0021887578,1.5555779933929443,20,20.0,148,2960,1.0,0.14999999,0.81578195
,149,0.002225539,1.568549633026123,20,20.0,149,2980,1.0,0.14999999,1.054135
,150,0.002210702,1.5820648670196533,20,20.0,150,3000,1.0,0.14999999,0.9759511
,151,0.002203277,1.593740701675415,20,20.0,151,3020,1.0,0.14999999,0.79506075
,152,0.0022442716,1.6058018207550049,20,20.0,152,3040,1.0,0.14999999,0.9014991
,153,0.0022576703,1.6152286529541016,20,20.0,153,3060,1.0,0.14999999,0.89991903
,154,0.0022713188,1.6249840259552002,20,20.0,154,3080,1.0,0.14999999,0.9261693
,155,0.0022777007,1.637296438217163,20,20.0,155,3100,1.0,0.14999999,0.7912519
,156,0.0023180551,1.6518826484680176,20,20.0,156,3120,1.0,0.14999999,1.2370436
,157,0.0023032904,1.660588264465332,20,20.0,157,3140,1.0,0.14999999,1.207134
,158,0.0022887127,1.6701745986938477,20,20.0,158,3160,1.0,0.14999999,1.3205562
,159,0.0022743184,1.6782867908477783,20,20.0,159,3180,1.0,0.14999999,0.73640656
,160,0.002325691,1.6905505657196045,20,20.0,160,3200,1.0,0.14999999,0.99293387
,161,0.0023132511,1.702751636505127,20,20.0,161,3220,1.0,0.14999999,0.9114851
,162,0.0023229173,1.710404872894287,20,20.0,162,3240,1.0,0.14999999,1.0444614
,163,0.0023086662,1.7183613777160645,20,20.0,163,3260,1.0,0.14999999,0.8692912
,164,0.0023287472,1.7273342609405518,20,20.0,164,3280,1.0,0.14999999,0.8742957
,165,0.0023473718,1.7353236675262451,20,20.0,165,3300,1.0,0.14999999,1.0476056
