Bound,IWLastEpisode,DenMISELogLast,InvPendulum_std0_higher,NumTrajectories,Iteration,ReturnMin,ReturnStepMax,MinEpLen,InvPendulum_std3_higher,TimestepsSoFar,ReturnMean,DenMISELogFirst,InvPendulum_mu0_higher,ActionIn1,AvgEpLen,ReturnAbsMax,BoundMISE,NumTrainableParams,IWMean,ReturnLastEpisode,InvPendulum_mu3_higher,IWMax,BoundBonus,IWMin,ReturnMax,InvPendulum_std1_higher,IWFirstEpisode,InvPendulum_mu2_higher,GridSize,Delta,InvPendulum_std2_higher,Regret/t,TimeElapsed,InvPendulum_mu1_higher,Regret,DenMISEMeanLog
inf,,11.863812,0.01,13,13,-124.615524,124.615524,11,0.01,339,-111.89395,8.1759,1.0,-0.0055384636,26.076923076923077,124.615524,,,,-107.234795,-1.0,,inf,,,0.01,,-1.0,16,4.232002e-05,0.01,116.89395,0.7398993968963623,1.0,1519.6213,9.624547
inf,,10.798222,0.01,14,14,-124.615524,124.615524,11,0.01,361,-111.675156,8.101792,1.0,1.9967418,25.785714285714285,124.615524,,,,-108.830864,1.0,,inf,,,0.01,,-1.0,16,3.649022e-05,0.01,116.675156,0.7885012626647949,1.0,1633.4521,9.639566
inf,,10.478314,0.01,15,15,-124.615524,124.615524,11,0.01,380,-111.53164,8.0328,1.0,2.0049272,25.333333333333332,124.615524,,,,-109.52243,-1.0,,inf,,,0.01,,1.0,16,3.178704e-05,0.01,116.53164,0.8351631164550781,1.0,1747.9746,9.63109
inf,,9.852524,0.01,16,16,-124.615524,124.615524,11,0.01,393,-111.156876,7.968261,1.0,4.01651,24.5625,124.615524,,,,-105.53552,1.0,,inf,,,0.01,,1.0,16,2.7937827e-05,0.01,116.156876,0.8790943622589111,1.0,1858.51,9.584425
634.2056,,9.900879,0.01,17,17,-124.615524,124.615524,11,0.01,408,-111.053856,7.907636,1.0,0.0077855587,24.0,124.615524,-75.033554,,1.0000005,-109.40544,-1.0,17.000008,709.2392,,,0.01,,1.0,16,2.4747693e-05,0.01,116.053856,0.924464225769043,-1.0,1972.9155,9.545981
632.0845,,12.05626,0.01,18,18,-124.615524,124.615524,11,0.01,425,-110.66911,7.8504777,-1.0,0.0033134818,23.61111111111111,124.615524,-80.96646,,0.9999996,-104.12846,1.0,17.999992,713.05096,,,0.01,,-1.0,16,2.2074333e-05,0.01,115.66911,0.9717028141021729,1.0,2082.044,9.669967
633.59973,,12.15624,0.01,19,19,-124.615524,124.615524,11,0.01,441,-110.45558,7.7964106,1.0,-1.9848568,23.210526315789473,124.615524,-83.03816,,1.0,-106.611916,-1.0,19.0,716.6379,,,0.01,,-1.0,16,1.9811867e-05,0.01,115.45558,1.0198369026184082,-1.0,2193.656,9.786083
636.8361,,11.84534,0.01,20,20,-124.615524,124.615524,11,0.01,453,-110.191795,7.745117,1.0,1.9675105,22.65,124.615524,-83.18816,,1.0,-105.17995,-1.0,20.0,720.0243,,,0.01,,1.0,16,1.788021e-05,0.01,115.191795,1.0633695125579834,1.0,2303.836,9.874974
638.7031,,10.061491,0.01,21,21,-124.615524,124.615524,11,0.01,473,-109.906456,7.696327,-1.0,2.0096538,22.523809523809526,124.615524,-84.52761,,0.9999998,-104.19975,1.0,20.999996,723.2307,,,0.01,,1.0,16,1.6217875e-05,0.01,114.906456,1.1238532066345215,1.0,2413.0356,9.870397
640.6063,,10.089392,0.01,22,22,-124.615524,124.615524,11,0.01,499,-109.8313,7.649807,-1.0,-0.011484742,22.681818181818183,124.615524,-85.66843,,1.0000001,-108.25288,-1.0,22.000002,726.2748,,,0.01,,1.0,16,1.4777031e-05,0.01,114.8313,1.1907198429107666,1.0,2526.2886,9.867452
