Iteration,NatGradInftyNorm,AvgRet,NatGrad2Norm,VarJ,BatchSize,StepSize,J,AvgEpLen,ReturnMax,ReturnMean
1,0.00079474604,-0.0074127124688094185,0.0011122864,nan,1,0.1,-0.007266301407583182,5.0,-0.007266301407583182,-0.007266301407583182
2,2.5803003e-05,-6.593835815732482e-05,2.706825e-05,nan,1,0.1,-6.45641140547874e-05,5.0,-6.45641140547874e-05,-0.003665432760818985
