AvgEpLen,J,NatGrad2Norm,StepSize,BatchSize,NatGradInftyNorm,Iteration,VarJ,ReturnMean,AvgRet,ReturnMax
5.0,-0.007266301407583182,0.0011122864,0.1,1,0.00079474604,1,nan,-0.007266301407583182,-0.0074127124688094185,-0.007266301407583182
5.0,-6.45641140547874e-05,2.706825e-05,0.1,1,2.5803003e-05,2,nan,-0.003665432760818985,-6.593835815732482e-05,-6.45641140547874e-05
