BatchSize,J,MinEpLen,ReturnMax,AvgEpLen,Iteration,TimestepsSoFar,NumTrajectories,StepSize,AvgRet,NatGradInftyNorm,VarJ,ReturnMean,NatGrad2Norm
100,-94.54316136697969,11,-86.41082107692522,21.59,1,2159,100,0.1,-114.47419054839072,3.043108,0.09496014869210909,-94.54316136697969,3.4446728
100,-96.49069155341348,11,-86.41082107692522,26.755,2,5351,200,0.1,-126.9832061146371,1.9530966,0.0559833960805486,-95.51692646019659,3.0303426
