VarJ,TimestepsSoFar,NatGrad2Norm,StepSize,MountainCar_std1_higher,BatchSize,Iteration,NumTrajectories,MinEpLen,MountainCar_mu1_higher,MountainCar_std0_higher,AvgRet,ReturnMean,J,MountainCar_mu0_higher,ReturnMax,ActionIn1,AvgEpLen,NatGradInftyNorm
0.00027660522207786133,99753,0.024829807,0.1,1.5,100,1,100,852,0.1,0.14999999,-0.12959654536488296,-0.11103445214682729,-0.11103445214682729,0.1,-4.599360069216947e-07,-0.25626656,997.53,0.0211827
0.0003386651452776936,99889,0.055141006,0.1,1.5,100,2,200,988,0.09870458,0.14999999,-0.04029657215790963,-0.10402012054531068,-0.09700578894379407,0.097881734,-4.599360069216947e-07,3.731245,998.89,0.052807637
0.0005100942671371907,99900,0.05374235,0.1,1.5,100,3,300,999,0.09342381,0.14999999,-1.3347287174055669,-0.11189832193754382,-0.12765472472201003,0.09629465,-4.599360069216947e-07,-4.592892,999.0,0.04398866
0.00028347027456139507,99900,0.022970995,0.1,1.5,100,4,400,999,0.089024946,0.14999999,-0.9383543191801273,-0.10665869952399724,-0.09093983228335761,0.093207195,-4.599360069216947e-07,1.7010009,999.0,0.017431686
0.00019698173917720354,99900,0.014573037,0.1,1.5,100,5,500,999,0.09052095,0.14999999,-1.0385652002102594,-0.10495632857629675,-0.09814684478549467,0.09146403,-4.599360069216947e-07,-0.20711733,999.0,0.014557701
0.00031168933604453245,99900,0.033121772,0.1,1.5,100,6,600,999,0.09058779,0.14999999,-1.0746052178176333,-0.10457413330374403,-0.10266315694098038,0.09000826,-4.599360069216947e-07,-0.6764652,999.0,0.02681824
0.00014684024734652043,99900,0.018529054,0.1,1.5,100,7,700,999,0.09326961,0.14999999,-0.9154091405825341,-0.10246321286602467,-0.08979769023970857,0.08806446,-4.599360069216947e-07,1.4052472,999.0,0.0131490575
0.00016414893918714125,99900,0.0366997,0.1,1.5,100,8,800,999,0.0919547,0.14999999,-0.7296131906566954,-0.09834564541975029,-0.06952267329582969,0.08675898,-4.599360069216947e-07,0.69346195,999.0,0.03488625
0.00010627407710785587,99900,0.014200638,0.1,1.5,100,9,900,999,0.08846608,0.14999999,-0.7714272132666323,-0.09575664244370853,-0.07504461863537439,0.085619606,-4.599360069216947e-07,-1.2358078,999.0,0.010530044
0.00016122181646700446,99900,0.015680427,0.1,1.5,100,10,1000,999,0.08951908,0.14999999,-0.8379166612249876,-0.09421093927170177,-0.08029961072364081,0.08466684,-4.599360069216947e-07,-0.4526553,999.0,0.013314865
0.0001865457198610053,99900,0.017875293,0.1,1.5,100,11,1100,999,0.090347275,0.14999999,-0.9623182787802869,-0.09410295591827024,-0.09302312238395517,0.083335355,-4.599360069216947e-07,-1.249879,999.0,0.014563658
