AvgEpLen,BatchSize,MinEpLen,InvPendulum_mu0_higher,InvPendulum_std1_higher,J,InvPendulum_std2_higher,InvPendulum_std0_higher,NatGradInftyNorm,TimestepsSoFar,StepSize,AvgRet,Iteration,NumTrajectories,ReturnMax,ReturnMean,VarJ,InvPendulum_mu3_higher,NatGrad2Norm,InvPendulum_mu2_higher,ActionIn1,InvPendulum_std3_higher,InvPendulum_mu1_higher
70.33,100,22,-0.22476089,0.01,-159.65418683822202,0.01,0.01,0.23142505,7033,0.1,-159.65418683822202,1,100,-111.54714944845783,-159.65418683822202,1.7814225106320816,0.32162514,0.28190935,-0.3480244,-1.1124316,0.01,-0.85142165
68.395,100,22,-0.23488638,0.01,-155.46376919667154,0.01,0.01,0.15205622,13679,0.1,-155.46376919667154,2,200,-111.54714944845783,-157.55897801744678,0.8427745322015572,0.31352627,0.21285136,-0.3711669,-1.156141,0.01,-0.8609629
66.89,100,22,-0.2400537,0.01,-153.59645091722516,0.01,0.01,0.24755396,20067,0.1,-153.59645091722516,3,300,-111.54714944845783,-156.23813565070625,1.008443588197664,0.30921745,0.27419367,-0.3844552,-1.1901319,0.01,-0.87616855
64.895,100,22,-0.22966954,0.01,-148.27015771486452,0.01,0.01,0.24426724,25958,0.1,-148.27015771486452,4,400,-111.54714944845783,-154.24614116674582,0.9550992975231257,0.3054336,0.40608677,-0.4092106,-1.2085202,0.01,-0.8802727
63.34,100,19,-0.21858698,0.01,-145.7418072639517,0.01,0.01,0.36256525,31670,0.1,-145.7418072639517,5,500,-109.4863601132001,-152.545274386187,1.0764754896641586,0.32803544,0.46104693,-0.43363732,-1.2106481,0.01,-0.9007357
62.23166666666667,100,19,-0.22452912,0.01,-144.3683254180417,0.01,0.01,0.37571403,37339,0.1,-144.3683254180417,6,600,-109.4863601132001,-151.1824495581628,0.9130500302576614,0.30050316,0.4455294,-0.4294217,-1.2137085,0.01,-0.8644791
60.785714285714285,100,18,-0.20285268,0.01,-142.73229948872267,0.01,0.01,0.2583336,42550,0.1,-142.73229948872267,7,700,-109.2779647166889,-149.97528526252847,1.0322891457139058,0.3104799,0.39669734,-0.42743403,-1.144521,0.01,-0.8269077
60.43125,100,18,-0.22760285,0.01,-147.44729780446062,0.01,0.01,0.31318063,48345,0.1,-147.44729780446062,8,800,-109.2779647166889,-149.65928683027,0.6088272863503046,0.32645205,0.40038738,-0.43365055,-1.1642566,0.01,-0.85274106
60.21222222222222,100,18,-0.2589209,0.01,-147.11700050881868,0.01,0.01,0.16154401,54191,0.1,-147.11700050881868,9,900,-109.2779647166889,-149.37681057233095,0.7651412072230411,0.3018459,0.19349313,-0.43716007,-1.223969,0.01,-0.8506197
