ReturnMax,NatGrad2Norm,VarJ,TimestepsSoFar,MinEpLen,InvPendulum_mu3_higher,NatGradInftyNorm,InvPendulum_mu0_higher,InvPendulum_std3_higher,NumTrajectories,AvgRet,InvPendulum_std2_higher,BatchSize,J,InvPendulum_std1_higher,ActionIn1,StepSize,Iteration,InvPendulum_mu2_higher,ReturnMean,InvPendulum_mu1_higher,AvgEpLen,InvPendulum_std0_higher
-86.41082107692522,3.4446728,0.09496014869210909,2159,11,-0.06532505,3.043108,0.8060292,0.14999999,100,-114.47419054839072,0.14999999,100,-94.54316136697969,0.14999999,1.7787482,0.1,1,0.41005367,-94.54316136697969,-0.4217885,21.59,0.14999999
-86.41082107692522,3.0303426,0.0559833960805486,5351,11,0.23898575,1.9530966,0.78799045,0.14999999,200,-126.9832061146371,0.14999999,100,-96.49069155341348,0.14999999,0.7101649,0.1,2,0.26461002,-95.51692646019659,-0.4894154,26.755,0.14999999
-86.41082107692522,2.768792,0.026978366185497888,8165,11,0.43429542,2.5187542,0.8868725,0.14999999,300,-123.27916637637581,0.14999999,100,-96.54206696375547,0.14999999,0.6662501,0.1,3,0.45261246,-95.85863996138288,-0.58194286,27.216666666666665,0.14999999
-86.41082107692522,3.2149076,0.014153301956990695,10819,11,0.6861708,2.0320065,0.9547249,0.14999999,400,-121.8766071356802,0.14999999,100,-96.71933140738723,0.14999999,1.630465,0.1,4,0.42895064,-96.07381282288398,-0.4921819,27.0475,0.14999999
-86.41082107692522,3.5422304,0.021087780117942788,14378,11,0.5172796,2.8245974,0.7731834,0.14999999,500,-131.93745342315688,0.14999999,100,-97.6385294391313,0.14999999,0.60674024,0.1,5,0.22574998,-96.38675614613344,-0.51635367,28.756,0.14999999
-86.41082107692522,1.9898769,0.02614200232453223,17004,11,0.59542,1.4988922,0.7955456,0.14999999,600,-121.05075810311773,0.14999999,100,-96.28773190019831,0.14999999,1.1114299,0.1,6,0.42344794,-96.37025210514425,-0.23389393,28.34,0.14999999
-86.41082107692522,1.6886921,0.019012736967672864,19653,11,0.74530923,1.5112405,0.75556844,0.14999999,700,-121.48341187868172,0.14999999,100,-96.41301407409412,0.14999999,1.7837055,0.1,7,0.48525026,-96.37636095785139,-0.34211415,28.075714285714287,0.14999999
-86.41082107692522,1.8431268,0.019700281923246764,22281,11,0.6929829,1.5184227,0.9066925,0.14999999,800,-121.0995551643568,0.14999999,100,-96.2979555699694,0.14999999,2.0090613,0.1,8,0.47458738,-96.36656028436613,-0.28894848,27.85125,0.14999999
-86.41082107692522,2.0065856,0.022141837612188783,25009,11,0.6152538,1.702072,0.8971029,0.14999999,900,-122.64352494271486,0.14999999,100,-96.74416036922271,0.14999999,1.7302394,0.1,9,0.32274508,-96.40851584935021,-0.3580955,27.787777777777777,0.14999999
-86.41082107692522,3.1019194,0.017042516845318392,27759,11,0.67287385,2.4372094,1.0673101,0.14999999,1000,-123.41006178718168,0.14999999,100,-97.223801820428,0.14999999,1.7433126,0.1,10,0.23500326,-96.49004444645797,-0.37466836,27.759,0.14999999
-86.41082107692522,1.7666804,0.01711696845491558,30637,11,0.6212203,1.6943449,0.82358915,0.14999999,1100,-124.18404714183264,0.14999999,100,-96.75981507912853,0.14999999,1.29104,0.1,11,0.40192223,-96.51456904942802,-0.45397222,27.85181818181818,0.14999999
-86.41082107692522,1.4346755,0.02167836695077788,33818,11,0.6497501,1.3194005,0.85450745,0.14999999,1200,-127.6479606244865,0.14999999,100,-97.16398619827754,0.14999999,1.471935,0.1,12,0.4290083,-96.56868714516548,-0.6234067,28.18166666666667,0.14999999
-86.41082107692522,2.6807303,0.030369537272114805,36754,11,0.51781005,1.7254034,0.81054837,0.14999999,1300,-124.93247556179963,0.14999999,100,-96.9240316689238,0.14999999,1.242583,0.1,13,0.44108194,-96.59602133930075,-0.65652144,28.27230769230769,0.14999999
-86.41082107692522,1.7744533,0.01511000921973383,39813,11,0.64290774,1.4353839,0.9076872,0.14999999,1400,-126.91475038826,0.14999999,100,-97.6041819220772,0.14999999,1.2843289,0.1,14,0.26854157,-96.66803280949907,-0.5261082,28.437857142857144,0.14999999
-86.41082107692522,2.7481365,0.021357776854919658,43115,11,0.73978686,1.8389214,0.8691458,0.14999999,1500,-129.50252388181624,0.14999999,100,-97.68973816311467,0.14999999,1.4159307,0.1,15,0.12500317,-96.73614649974012,-0.52256304,28.743333333333332,0.14999999
-86.41082107692522,2.9872098,0.016602957454389312,45820,11,0.91407245,2.8533158,1.053038,0.14999999,1600,-123.7001385350864,0.14999999,100,-97.82596559268677,0.14999999,1.546344,0.1,16,0.019678771,-96.80426019304927,-0.5071515,28.6375,0.14999999
-86.41082107692522,2.915532,0.018925183618486142,48941,11,0.9179885,1.8937904,1.0120369,0.14999999,1700,-127.95906361960334,0.14999999,100,-97.92083509439254,0.14999999,1.022598,0.1,17,-0.05857519,-96.86994106959887,-0.7924831,28.788823529411765,0.14999999
-86.41082107692522,3.4125712,0.024360151301239454,51890,11,0.72860944,2.7626033,1.1255169,0.14999999,1800,-125.4779130485407,0.14999999,100,-97.311352438522,0.14999999,0.9867086,0.1,18,-0.21472153,-96.89446392342795,-0.68349004,28.82777777777778,0.14999999
-86.41082107692522,2.2812622,0.014933664978681607,54347,11,0.65916085,2.0340064,1.1602215,0.14999999,1900,-120.86481499738126,0.14999999,100,-97.55774731822828,0.14999999,1.130364,0.1,19,-0.030034944,-96.92937357578585,-0.4072297,28.603684210526314,0.14999999
-86.41082107692522,1.4462116,0.018366124903435695,57153,11,0.70727926,0.87226504,1.1891205,0.14999999,2000,-124.5940284595978,0.14999999,100,-97.7412583647219,0.14999999,0.99174404,0.1,20,0.056678466,-96.96996781523265,-0.61063033,28.5765,0.14999999
-86.41082107692522,4.4726706,0.018820654129099154,59957,11,0.7945058,3.2431629,1.2624198,0.14999999,2100,-124.47511856887922,0.14999999,100,-97.65890395735332,0.14999999,1.3327584,0.1,21,-0.0025682934,-97.00277429819079,-0.5441182,28.55095238095238,0.14999999
