Iteration,AvgRet,StepSize,NumTrajectories,J,AvgEpLen,VarJ,NatGrad2Norm,NatGradInftyNorm,ReturnMean,BatchSize,TimestepsSoFar,MinEpLen,ReturnMax
1,-114.47419054839072,0.1,100,-94.54316136697969,21.59,0.09496014869210909,3.4446728,3.043108,-94.54316136697969,100,2159,11,-86.41082107692522
2,-126.9832061146371,0.1,200,-96.49069155341348,26.755,0.0559833960805486,3.0303426,1.9530966,-95.51692646019659,100,5351,11,-86.41082107692522
