GridSize,NumTrainableParams,IWMax,ReturnMin,IWLastEpisode,ReturnLastEpisode,DenMISEMeanLog,Iteration,ReturnMax,IWFirstEpisode,Delta,NumTrajectories,ReturnMean,IWMean,AvgEpLen,TimestepsSoFar,Bound,Regret,ReturnAbsMax,Regret/t,LQGsigma_higher,LQGmu1_actor,TimeElapsed,BoundBonus,BoundMISE,LQGmu1_higher,MinEpLen,DenMISELogLast,IWMin,DenMISELogFirst
100,,1.06404735e-16,2.700924,1.06404735e-16,6.911275,0.5283662,19,18.195011,,0.2,19,14.965156,5.6002493e-18,20.0,380,inf,-189.33795,18.195011,-9.965156,0.01,0.8324111,2.491100788116455,inf,3.8704863e-17,0.8181818,20,0.11699239,,0.7255809
100,,1.3035492e-08,2.700924,1.3035492e-08,6.4603357,0.437126,20,18.195011,8.617064e-21,0.2,20,14.539915,6.517746e-10,20.0,400,6099925000000000.0,-190.79831,18.195011,-9.539915,0.01,0.900334,2.614616870880127,6099925000000000.0,4.2106825e-09,0.8989899,20,-0.32186502,,0.6742876
100,,0.18165031,2.700924,,4.659817,0.39997116,21,18.195011,,0.2,21,14.069435,0.008650051,20.0,420,141457.42,-190.45813,18.195011,-9.069435,0.01,-0.83087635,2.7382662296295166,141457.27,0.15738776,-0.83838385,20,0.6326765,,0.6254974
100,,0.0006780019,2.700924,,18.193367,0.3522894,22,18.195011,,0.2,22,14.256886,3.085699e-05,20.0,440,141457.27,-203.65149,18.195011,-9.256886,0.01,0.5582516,2.862863540649414,141457.27,0.0003075457,0.5555556,20,0.31928062,,0.5789774
100,,7.1662165e-05,2.700924,7.531114e-30,9.136162,0.31682387,23,18.195011,,0.2,23,14.034246,3.11863e-06,20.0,460,141457.27,-207.78766,18.195011,-9.034246,0.01,0.68063927,2.9860336780548096,141457.27,2.1559857e-05,0.67676765,20,0.51449025,,0.53452563
100,,2.0291293,2.700924,,7.8434353,0.28094473,24,18.195011,,0.2,24,13.776296,0.08454781,20.0,480,141456.1,-210.6311,18.195011,-8.776296,0.01,-0.15042877,3.111510992050171,141454.56,1.537758,-0.15151516,20,0.43459257,,0.49196604
100,,0.40455785,2.700924,,18.186111,0.25222987,25,18.195011,,0.2,25,13.952688,0.016182318,20.0,500,141455.75,-223.8172,18.195011,-8.952688,0.01,0.1689276,3.2383241653442383,141455.5,0.24454255,0.17171717,20,0.46163854,,0.45114404
100,,0.15027073,2.700924,,15.698334,0.22040774,26,18.195011,,0.2,26,14.019828,0.005779766,20.0,520,141455.61,-234.51553,18.195011,-9.019828,0.01,-0.54114854,3.3632214069366455,141455.5,0.105160244,-0.53535354,20,0.389319,,0.41192332
100,,0.13602287,2.700924,,18.1969,0.1843566,27,18.1969,,0.2,27,14.174535,0.0050381813,20.0,540,141470.25,-247.71243,18.1969,-9.174535,0.01,0.4602996,3.4878697395324707,141470.19,0.055450384,0.45454547,20,0.2225124,,0.374183
100,,0.022847187,2.700924,,10.1633415,0.14961544,28,18.1969,,0.2,28,14.031279,0.00081597164,20.0,560,141470.2,-252.8758,18.1969,-9.031279,0.01,-0.33645406,3.6137051582336426,141470.19,0.0148442965,-0.33333334,20,0.18850467,,0.33781534
100,,0.0028877913,2.700924,1.5401261e-14,18.197317,0.1199246,29,18.197317,,0.2,29,14.174935,9.957901e-05,20.0,580,141473.44,-266.07312,18.197317,-9.174935,0.01,-0.2551704,3.7495062351226807,141473.44,0.0018115586,-0.25252524,20,0.27032232,,0.30272403
