TimestepsSoFar,ReturnMean,Iteration,LQGsigma_higher,LQGmu1_higher,TimeElapsed,LQGmu1_actor
20,0.95602363,1,0.14999999,-0.8,0.07542920112609863,-0.692906
40,0.95601976,2,0.14999999,-0.8,0.1816573143005371,-0.7697506
60,0.9560981,3,0.14999999,-0.8,0.21069693565368652,-0.9266795
80,0.9561204,4,0.14999999,-0.8,0.24193739891052246,-0.85965616
100,0.9560965,5,0.14999999,-0.8,0.27446627616882324,-0.7393232
120,0.9560748,6,0.14999999,-0.8,0.30676889419555664,-0.91171014
140,0.95610064,7,0.14999999,-0.8,0.3399796485900879,-0.8690902
160,0.9560905,8,0.14999999,-0.8,0.37288570404052734,-0.83902955
180,0.95608604,9,0.14999999,-0.8,0.4062952995300293,-0.58868515
200,0.9560812,10,0.14999999,-0.8,0.4366292953491211,-0.905777
220,0.9560909,11,0.14999999,-0.8,0.4634368419647217,-0.8288238
240,0.9561035,12,0.14999999,-0.8,0.4871532917022705,-0.82841796
260,0.9561107,13,0.14999999,-0.8,0.520911693572998,-0.949933
280,0.9560924,14,0.14999999,-0.8,0.5438652038574219,-0.79835844
300,0.9560954,15,0.14999999,-0.8,0.5643191337585449,-0.6933894
320,0.9561037,16,0.14999999,-0.8,0.5965826511383057,-0.8826013
340,0.95609105,17,0.14999999,-0.8,0.631580114364624,-0.8321426
360,0.9560996,18,0.14999999,-0.8,0.664494514465332,-0.6323213
380,0.9561159,19,0.14999999,-0.8,0.6915988922119141,-0.5865607
400,0.9561073,20,0.14999999,-0.8,0.713787317276001,-0.7798388
420,0.9561102,21,0.14999999,-0.8,0.7378394603729248,-0.68738717
440,0.9561142,22,0.14999999,-0.8,0.770308256149292,-0.75955915
460,0.9561215,23,0.14999999,-0.8,0.7987463474273682,-0.74192613
480,0.95611507,24,0.14999999,-0.8,0.8250226974487305,-0.78370416
500,0.9561073,25,0.14999999,-0.8,0.8670573234558105,-0.8418437
520,0.9560993,26,0.14999999,-0.8,0.8900883197784424,-0.8869254
540,0.95609444,27,0.14999999,-0.8,0.9158296585083008,-0.7136877
560,0.95609814,28,0.14999999,-0.8,0.94734787940979,-0.8468107
580,0.95610315,29,0.14999999,-0.8,0.9751763343811035,-0.8396774
600,0.9561064,30,0.14999999,-0.8,1.016596794128418,-0.7401322
620,0.9561082,31,0.14999999,-0.8,1.0471694469451904,-0.44812733
640,0.95611936,32,0.14999999,-0.8,1.071207046508789,-0.50641274
660,0.9561181,33,0.14999999,-0.8,1.1007661819458008,-0.6106718
680,0.9561184,34,0.14999999,-0.8,1.1328234672546387,-0.6281597
700,0.9561094,35,0.14999999,-0.8,1.1577785015106201,-0.9534906
720,0.9561086,36,0.14999999,-0.8,1.188225507736206,-0.7424313
740,0.9561085,37,0.14999999,-0.8,1.215998649597168,-0.46720478
760,0.9561141,38,0.14999999,-0.8,1.2374029159545898,-0.58347386
780,0.9561171,39,0.14999999,-0.8,1.2648992538452148,-0.7549142
800,0.9561216,40,0.14999999,-0.8,1.2923619747161865,-0.7521943
820,0.9561245,41,0.14999999,-0.8,1.3267724514007568,-0.77771753
840,0.9561277,42,0.14999999,-0.8,1.3560757637023926,-0.75993544
860,0.9561228,43,0.14999999,-0.8,1.3874101638793945,-0.7310442
880,0.9561276,44,0.14999999,-0.8,1.4181489944458008,-0.8123446
900,0.9561286,45,0.14999999,-0.8,1.4471046924591064,-1.0063249
920,0.956124,46,0.14999999,-0.8,1.47060227394104,-0.65500855
940,0.95611936,47,0.14999999,-0.8,1.5039176940917969,-0.6633271
960,0.9561148,48,0.14999999,-0.8,1.5365548133850098,-0.9289425
980,0.95611495,49,0.14999999,-0.8,1.5719666481018066,-1.0734425
1000,0.9561169,50,0.14999999,-0.8,1.6053853034973145,-0.9058614
1020,0.9561174,51,0.14999999,-0.8,1.630258560180664,-0.72454053
1040,0.95611864,52,0.14999999,-0.8,1.6546964645385742,-0.72599095
1060,0.95611584,53,0.14999999,-0.8,1.6821997165679932,-0.7974045
1080,0.95612055,54,0.14999999,-0.8,1.7067968845367432,-0.83485454
1100,0.9561221,55,0.14999999,-0.8,1.7391340732574463,-0.6213571
