LQGsigma_higher,ReturnMean,TimeElapsed,LQGmu1_actor,Iteration,LQGmu1_higher,TimestepsSoFar
0.14999999,0.9559804,0.05972576141357422,-0.542906,1,-0.65,20
0.14999999,0.95598793,0.15842986106872559,-0.61975056,2,-0.65,40
0.14999999,0.95611256,0.18572473526000977,-0.77667946,3,-0.65,60
0.14999999,0.9561543,0.20428848266601562,-0.7096561,4,-0.65,80
0.14999999,0.95612895,0.22927474975585938,-0.58932316,5,-0.65,100
0.14999999,0.9561081,0.2539396286010742,-0.7617101,6,-0.65,120
0.14999999,0.95614594,0.2770216464996338,-0.71909016,7,-0.65,140
0.14999999,0.9561371,0.29549145698547363,-0.6890295,8,-0.65,160
0.14999999,0.95612687,0.3125874996185303,-0.43868512,9,-0.65,180
0.14999999,0.95611554,0.3360633850097656,-0.755777,10,-0.65,200
0.14999999,0.95612776,0.356020450592041,-0.67882377,11,-0.65,220
0.14999999,0.95614487,0.3760232925415039,-0.6784179,12,-0.65,240
0.14999999,0.9561552,0.39914679527282715,-0.79993296,13,-0.65,260
0.14999999,0.9561495,0.4167511463165283,-0.6483584,14,-0.65,280
0.14999999,0.9561514,0.4431166648864746,-0.54338944,15,-0.65,300
0.14999999,0.95615435,0.4589848518371582,-0.7326013,16,-0.65,320
0.14999999,0.95614713,0.484452486038208,-0.68214256,17,-0.65,340
0.14999999,0.95615554,0.5039985179901123,-0.48232126,18,-0.65,360
0.14999999,0.9561668,0.5220808982849121,-0.43656066,19,-0.65,380
0.14999999,0.9561548,0.5460803508758545,-0.62983876,20,-0.65,400
0.14999999,0.9561582,0.5677521228790283,-0.53738713,21,-0.65,420
0.14999999,0.9561624,0.5929758548736572,-0.6095591,22,-0.65,440
0.14999999,0.95617086,0.6165590286254883,-0.5919261,23,-0.65,460
0.14999999,0.9561641,0.6344776153564453,-0.6337041,24,-0.65,480
0.14999999,0.9561568,0.6549363136291504,-0.6918436,25,-0.65,500
0.14999999,0.95614743,0.6733078956604004,-0.73692536,26,-0.65,520
0.14999999,0.95614696,0.6981496810913086,-0.5636877,27,-0.65,540
0.14999999,0.9561521,0.7266573905944824,-0.69681066,28,-0.65,560
0.14999999,0.95615757,0.7459812164306641,-0.68967736,29,-0.65,580
0.14999999,0.9561624,0.7677364349365234,-0.5901322,30,-0.65,600
0.14999999,0.95616263,0.7885606288909912,-0.2981273,31,-0.65,620
0.14999999,0.95617175,0.8088083267211914,-0.35641268,32,-0.65,640
0.14999999,0.95616627,0.8296225070953369,-0.46067178,33,-0.65,660
0.14999999,0.9561634,0.8489975929260254,-0.47815967,34,-0.65,680
0.14999999,0.9561529,0.8740017414093018,-0.8034906,35,-0.65,700
0.14999999,0.9561546,0.8963408470153809,-0.59243125,36,-0.65,720
0.14999999,0.9561553,0.9235172271728516,-0.31720474,37,-0.65,740
0.14999999,0.95615786,0.9494874477386475,-0.43347383,38,-0.65,760
0.14999999,0.9561571,0.9838104248046875,-0.6049142,39,-0.65,780
0.14999999,0.9561609,1.002161979675293,-0.60219425,40,-0.65,800
0.14999999,0.9561633,1.0197412967681885,-0.6277175,41,-0.65,820
0.14999999,0.9561662,1.0444302558898926,-0.6099354,42,-0.65,840
0.14999999,0.9561577,1.0630388259887695,-0.58104414,43,-0.65,860
0.14999999,0.9561622,1.0849273204803467,-0.6623446,44,-0.65,880
0.14999999,0.95616555,1.1207175254821777,-0.85632485,45,-0.65,900
0.14999999,0.9561645,1.1478567123413086,-0.5050085,46,-0.65,920
0.14999999,0.95615566,1.1681010723114014,-0.513327,47,-0.65,940
0.14999999,0.95614713,1.2071495056152344,-0.77894247,48,-0.65,960
0.14999999,0.956147,1.2361702919006348,-0.92344236,49,-0.65,980
0.14999999,0.9561508,1.266585111618042,-0.75586134,50,-0.65,1000
0.14999999,0.9561522,1.2869048118591309,-0.5745405,51,-0.65,1020
0.14999999,0.9561536,1.3192040920257568,-0.5759909,52,-0.65,1040
0.14999999,0.9561492,1.3499314785003662,-0.6474045,53,-0.65,1060
0.14999999,0.9561544,1.3767237663269043,-0.6848545,54,-0.65,1080
0.14999999,0.95615625,1.4048700332641602,-0.47135708,55,-0.65,1100
0.14999999,0.9561523,1.433375597000122,-0.9081936,56,-0.65,1120
0.14999999,0.9561524,1.4544618129730225,-0.4461131,57,-0.65,1140
0.14999999,0.9561565,1.4794914722442627,-0.5897548,58,-0.65,1160
0.14999999,0.9561538,1.5106275081634521,-0.44713503,59,-0.65,1180
0.14999999,0.9561558,1.535912275314331,-0.6131882,60,-0.65,1200
0.14999999,0.95615923,1.5626232624053955,-0.37612027,61,-0.65,1220
0.14999999,0.9561598,1.5927951335906982,-0.7911237,62,-0.65,1240
0.14999999,0.9561588,1.6221623420715332,-0.52203727,63,-0.65,1260
0.14999999,0.95615864,1.6474652290344238,-0.596184,64,-0.65,1280
0.14999999,0.9561615,1.666539192199707,-0.60666037,65,-0.65,1300
0.14999999,0.9561653,1.6910557746887207,-0.8015326,66,-0.65,1320
0.14999999,0.9561673,1.711193561553955,-0.38475582,67,-0.65,1340
0.14999999,0.95616204,1.7323451042175293,-0.4570774,68,-0.65,1360
0.14999999,0.95616126,1.7524023056030273,-0.45770234,69,-0.65,1380
0.14999999,0.95615995,1.770787000656128,-0.67082906,70,-0.65,1400
0.14999999,0.956154,1.7994379997253418,-0.5456348,71,-0.65,1420
0.14999999,0.95615536,1.821455955505371,-0.7055545,72,-0.65,1440
0.14999999,0.956154,1.8423242568969727,-0.62913555,73,-0.65,1460
0.14999999,0.9561584,1.8639841079711914,-0.4464037,74,-0.65,1480
0.14999999,0.95615745,1.88553786277771,-0.60180867,75,-0.65,1500
0.14999999,0.9561609,1.9095289707183838,-0.6187726,76,-0.65,1520
0.14999999,0.95615953,1.9282257556915283,-0.7662103,77,-0.65,1540
0.14999999,0.9561617,1.9535222053527832,-0.6204219,78,-0.65,1560
0.14999999,0.9561638,1.9755089282989502,-0.5797663,79,-0.65,1580
0.14999999,0.9561609,2.0095512866973877,-0.96534145,80,-0.65,1600
0.14999999,0.95615727,2.072176694869995,-0.7105852,81,-0.65,1620
0.14999999,0.9561608,2.117036819458008,-0.44483536,82,-0.65,1640
0.14999999,0.95615965,2.1687843799591064,-0.8944231,83,-0.65,1660
0.14999999,0.9561582,2.2014760971069336,-0.5343899,84,-0.65,1680
0.14999999,0.95615566,2.2574572563171387,-0.7193727,85,-0.65,1700
0.14999999,0.9561571,2.3003039360046387,-0.73270655,86,-0.65,1720
0.14999999,0.9561558,2.3512678146362305,-0.7659879,87,-0.65,1740
0.14999999,0.9561535,2.3829634189605713,-0.81010675,88,-0.65,1760
0.14999999,0.9561537,2.455493450164795,-0.78058237,89,-0.65,1780
0.14999999,0.9561522,2.528780221939087,-0.41460156,90,-0.65,1800
0.14999999,0.9561504,2.580084800720215,-0.5714711,91,-0.65,1820
0.14999999,0.95615214,2.683394193649292,-0.61569643,92,-0.65,1840
0.14999999,0.95615447,2.7742197513580322,-0.38980186,93,-0.65,1860
0.14999999,0.9561576,2.820420980453491,-0.5773687,94,-0.65,1880
0.14999999,0.95615923,2.8832907676696777,-0.7538386,95,-0.65,1900
0.14999999,0.95616037,2.949479103088379,-0.49044254,96,-0.65,1920
0.14999999,0.9561617,2.9939522743225098,-0.5879071,97,-0.65,1940
0.14999999,0.956159,3.0265021324157715,-0.7562071,98,-0.65,1960
0.14999999,0.9561583,3.0580034255981445,-0.5460574,99,-0.65,1980
0.14999999,0.95615965,3.090012788772583,-0.83031094,100,-0.65,2000
0.14999999,0.9561597,3.1247398853302,-0.8626268,101,-0.65,2020
0.14999999,0.9561598,3.1688477993011475,-0.40937912,102,-0.65,2040
0.14999999,0.95616233,3.2138233184814453,-0.6302418,103,-0.65,2060
0.14999999,0.9561616,3.252725839614868,-0.83713454,104,-0.65,2080
0.14999999,0.9561604,3.2852916717529297,-0.85334176,105,-0.65,2100
0.14999999,0.95615697,3.3176732063293457,-0.7545133,106,-0.65,2120
0.14999999,0.9561587,3.3549773693084717,-0.84237975,107,-0.65,2140
0.14999999,0.95615625,3.3878464698791504,-0.6812394,108,-0.65,2160
0.14999999,0.95615715,3.4250247478485107,-0.7600609,109,-0.65,2180
0.14999999,0.9561576,3.4893014430999756,-0.7473776,110,-0.65,2200
0.14999999,0.9561584,3.5521984100341797,-0.64114815,111,-0.65,2220
0.14999999,0.95616055,3.6437008380889893,-0.69244593,112,-0.65,2240
0.14999999,0.9561592,3.7266745567321777,-0.5914018,113,-0.65,2260
0.14999999,0.95616084,3.801238775253296,-0.96744806,114,-0.65,2280
0.14999999,0.95616025,3.9162352085113525,-0.8287934,115,-0.65,2300
0.14999999,0.9561617,3.9715065956115723,-0.5858851,116,-0.65,2320
0.14999999,0.9561623,4.0175862312316895,-0.5639091,117,-0.65,2340
0.14999999,0.9561619,4.048447608947754,-0.7393143,118,-0.65,2360
0.14999999,0.95616186,4.079209327697754,-0.18404886,119,-0.65,2380
0.14999999,0.9561578,4.109937906265259,-0.53700864,120,-0.65,2400
0.14999999,0.9561574,4.141104459762573,-0.5266423,121,-0.65,2420
0.14999999,0.9561589,4.171527624130249,-0.50474095,122,-0.65,2440
0.14999999,0.95615864,4.211235523223877,-0.7996486,123,-0.65,2460
