LQGsigma_higher,TimestepsSoFar,ReturnMean,LQGmu1_actor,TimeElapsed,LQGmu1_higher,Iteration
0.14999999,20,0.95602244,-0.712906,0.05121755599975586,-0.82,1
0.14999999,40,0.956018,-0.7897506,0.14072513580322266,-0.82,2
0.14999999,60,0.9560906,-0.9466795,0.16292667388916016,-0.82,3
0.14999999,80,0.95611084,-0.87965614,0.1814565658569336,-0.82,4
0.14999999,100,0.95608723,-0.7593232,0.20011353492736816,-0.82,5
0.14999999,120,0.956065,-0.9317101,0.2216324806213379,-0.82,6
0.14999999,140,0.9560894,-0.8890902,0.24192404747009277,-0.82,7
0.14999999,160,0.9560791,-0.85902953,0.27370572090148926,-0.82,8
0.14999999,180,0.95607555,-0.60868514,0.29816365242004395,-0.82,9
0.14999999,200,0.9560715,-0.92577696,0.31942081451416016,-0.82,10
0.14999999,220,0.956081,-0.8488238,0.3394031524658203,-0.82,11
0.14999999,240,0.956093,-0.84841794,0.36046457290649414,-0.82,12
0.14999999,260,0.95610005,-0.969933,0.3817574977874756,-0.82,13
0.14999999,280,0.95607996,-0.8183584,0.4032125473022461,-0.82,14
0.14999999,300,0.95608294,-0.7133894,0.42745184898376465,-0.82,15
0.14999999,320,0.9560921,-0.9026013,0.45166993141174316,-0.82,16
0.14999999,340,0.9560787,-0.8521426,0.47153568267822266,-0.82,17
0.14999999,360,0.95608735,-0.6523213,0.49132490158081055,-0.82,18
0.14999999,380,0.9561043,-0.6065607,0.5142185688018799,-0.82,19
0.14999999,400,0.95609635,-0.7998388,0.5340652465820312,-0.82,20
0.14999999,420,0.9560991,-0.70738715,0.5693240165710449,-0.82,21
0.14999999,440,0.9561031,-0.77955914,0.6016476154327393,-0.82,22
0.14999999,460,0.9561104,-0.7619261,0.6311521530151367,-0.82,23
0.14999999,480,0.956104,-0.80370414,0.6595168113708496,-0.82,24
0.14999999,500,0.9560962,-0.8618437,0.68880295753479,-0.82,25
0.14999999,520,0.9560883,-0.9069254,0.7242438793182373,-0.82,26
0.14999999,540,0.9560829,-0.7336877,0.7615377902984619,-0.82,27
0.14999999,560,0.9560863,-0.8668107,0.7919206619262695,-0.82,28
0.14999999,580,0.9560914,-0.8596774,0.825359582901001,-0.82,29
0.14999999,600,0.9560945,-0.7601322,0.8527741432189941,-0.82,30
0.14999999,620,0.95609653,-0.4681273,0.8873207569122314,-0.82,31
0.14999999,640,0.956108,-0.5264127,0.9226114749908447,-0.82,32
0.14999999,660,0.95610714,-0.6306718,0.9600656032562256,-0.82,33
0.14999999,680,0.95610785,-0.6481597,0.9944448471069336,-0.82,34
0.14999999,700,0.9560989,-0.9734906,1.0298755168914795,-0.82,35
0.14999999,720,0.95609784,-0.76243126,1.0650994777679443,-0.82,36
0.14999999,740,0.95609766,-0.48720476,1.0940272808074951,-0.82,37
0.14999999,760,0.9561037,-0.60347384,1.1271464824676514,-0.82,38
0.14999999,780,0.95610714,-0.7749142,1.1606717109680176,-0.82,39
0.14999999,800,0.9561117,-0.77219427,1.1921136379241943,-0.82,40
0.14999999,820,0.9561146,-0.7977175,1.2257182598114014,-0.82,41
0.14999999,840,0.9561179,-0.7799354,1.2550015449523926,-0.82,42
0.14999999,860,0.95611334,-0.75104415,1.2904338836669922,-0.82,43
0.14999999,880,0.95611817,-0.8323446,1.322178840637207,-0.82,44
0.14999999,900,0.95611876,-1.0263249,1.3536691665649414,-0.82,45
0.14999999,920,0.95611376,-0.67500854,1.3874378204345703,-0.82,46
0.14999999,940,0.9561096,-0.6833271,1.4207818508148193,-0.82,47
0.14999999,960,0.9561054,-0.9489425,1.458669662475586,-0.82,48
0.14999999,980,0.9561057,-1.0934424,1.491713523864746,-0.82,49
0.14999999,1000,0.9561073,-0.92586136,1.5253558158874512,-0.82,50
0.14999999,1020,0.9561076,-0.7445405,1.558337688446045,-0.82,51
0.14999999,1040,0.956109,-0.74599093,1.595715045928955,-0.82,52
0.14999999,1060,0.9561064,-0.8174045,1.6322333812713623,-0.82,53
0.14999999,1080,0.9561111,-0.8548545,1.6614174842834473,-0.82,54
0.14999999,1100,0.9561127,-0.64135706,1.6899006366729736,-0.82,55
0.14999999,1120,0.9561115,-1.0781937,1.7176780700683594,-0.82,56
0.14999999,1140,0.956111,-0.6161131,1.7450628280639648,-0.82,57
0.14999999,1160,0.95611554,-0.75975484,1.7742111682891846,-0.82,58
