LQGsigma_higher,TimeElapsed,Iteration,LQGmu1_actor,ReturnMean,TimestepsSoFar,LQGmu1_higher
0.14999999,0.05856442451477051,1,-0.61290604,0.9560131,20,-0.72
0.14999999,0.16231417655944824,2,-0.6897506,0.9560137,40,-0.72
0.14999999,0.19050884246826172,3,-0.8466795,0.95611554,60,-0.72
0.14999999,0.2114410400390625,4,-0.7796562,0.95614725,80,-0.72
0.14999999,0.24465394020080566,5,-0.6593232,0.9561224,100,-0.72
0.14999999,0.2746143341064453,6,-0.83171016,0.9561019,120,-0.72
0.14999999,0.30356812477111816,7,-0.7890902,0.95613384,140,-0.72
0.14999999,0.33235764503479004,8,-0.75902957,0.9561243,160,-0.72
0.14999999,0.3611454963684082,9,-0.5086852,0.95611644,180,-0.72
0.14999999,0.39093470573425293,10,-0.82577705,0.9561081,200,-0.72
0.14999999,0.4199793338775635,11,-0.7488238,0.956119,220,-0.72
0.14999999,0.44922947883605957,12,-0.748418,0.95613384,240,-0.72
0.14999999,0.47838354110717773,13,-0.869933,0.9561424,260,-0.72
0.14999999,0.5072400569915771,14,-0.71835846,0.956131,280,-0.72
0.14999999,0.536029577255249,15,-0.6133895,0.9561335,300,-0.72
0.14999999,0.5647842884063721,16,-0.80260134,0.9561388,320,-0.72
0.14999999,0.5936598777770996,17,-0.7521426,0.9561292,340,-0.72
0.14999999,0.6279988288879395,18,-0.5523213,0.95613754,360,-0.72
0.14999999,0.660938024520874,19,-0.5065607,0.9561512,380,-0.72
0.14999999,0.7020142078399658,20,-0.6998388,0.95614064,400,-0.72
0.14999999,0.7286481857299805,21,-0.6073872,0.9561437,420,-0.72
0.14999999,0.751014232635498,22,-0.6795592,0.95614773,440,-0.72
0.14999999,0.7774665355682373,23,-0.66192615,0.95615554,460,-0.72
0.14999999,0.8055856227874756,24,-0.7037042,0.9561491,480,-0.72
0.14999999,0.829005241394043,25,-0.7618437,0.95614153,500,-0.72
0.14999999,0.8580949306488037,26,-0.8069254,0.9561326,520,-0.72
0.14999999,0.8789184093475342,27,-0.63368773,0.95612997,540,-0.72
0.14999999,0.910463809967041,28,-0.7668107,0.9561345,560,-0.72
0.14999999,0.9392244815826416,29,-0.7596774,0.9561397,580,-0.72
0.14999999,0.9734413623809814,30,-0.6601322,0.9561437,600,-0.72
0.14999999,1.0200960636138916,31,-0.36812735,0.9561447,620,-0.72
0.14999999,1.059138298034668,32,-0.42641273,0.9561547,640,-0.72
0.14999999,1.0969364643096924,33,-0.53067183,0.95615137,660,-0.72
0.14999999,1.1244237422943115,34,-0.5481597,0.9561502,680,-0.72
0.14999999,1.1551616191864014,35,-0.87349063,0.95614046,700,-0.72
0.14999999,1.1828131675720215,36,-0.6624313,0.95614094,720,-0.72
0.14999999,1.2170062065124512,37,-0.3872048,0.9561413,740,-0.72
0.14999999,1.2477645874023438,38,-0.5034739,0.95614547,760,-0.72
0.14999999,1.2788894176483154,39,-0.67491424,0.95614666,780,-0.72
0.14999999,1.3098070621490479,40,-0.6721943,0.9561507,800,-0.72
0.14999999,1.341470718383789,41,-0.69771755,0.95615333,820,-0.72
0.14999999,1.3752574920654297,42,-0.67993546,0.95615625,840,-0.72
0.14999999,1.4028072357177734,43,-0.6510442,0.95614964,860,-0.72
0.14999999,1.429636001586914,44,-0.7323446,0.9561542,880,-0.72
0.14999999,1.4680852890014648,45,-0.9263249,0.9561565,900,-0.72
0.14999999,1.4975779056549072,46,-0.5750086,0.9561538,920,-0.72
0.14999999,1.5324630737304688,47,-0.58332705,0.95614713,940,-0.72
0.14999999,1.5584559440612793,48,-0.8489425,0.9561408,960,-0.72
0.14999999,1.5972330570220947,49,-0.9934424,0.9561408,980,-0.72
0.14999999,1.6429336071014404,50,-0.8258614,0.95614374,1000,-0.72
0.14999999,1.6750268936157227,51,-0.64454055,0.9561446,1020,-0.72
0.14999999,1.7044994831085205,52,-0.64599097,0.9561459,1040,-0.72
0.14999999,1.7383685111999512,53,-0.71740454,0.9561423,1060,-0.72
0.14999999,1.7810373306274414,54,-0.75485456,0.95614725,1080,-0.72
0.14999999,1.8159615993499756,55,-0.54135716,0.95614886,1100,-0.72
0.14999999,1.8459463119506836,56,-0.97819364,0.9561463,1120,-0.72
0.14999999,1.872302532196045,57,-0.51611316,0.956146,1140,-0.72
0.14999999,1.9028165340423584,58,-0.6597549,0.9561503,1160,-0.72
0.14999999,1.9329257011413574,59,-0.5171351,0.95614874,1180,-0.72
0.14999999,1.963061809539795,60,-0.68318826,0.9561508,1200,-0.72
0.14999999,1.9899687767028809,61,-0.44612032,0.95615375,1220,-0.72
0.14999999,2.0197348594665527,62,-0.86112374,0.95615536,1240,-0.72
0.14999999,2.0501461029052734,63,-0.5920373,0.9561541,1260,-0.72
0.14999999,2.0918240547180176,64,-0.66618407,0.95615345,1280,-0.72
0.14999999,2.1372158527374268,65,-0.6766604,0.9561561,1300,-0.72
0.14999999,2.1614437103271484,66,-0.8715327,0.9561599,1320,-0.72
0.14999999,2.1881601810455322,67,-0.45475587,0.956161,1340,-0.72
0.14999999,2.2123496532440186,68,-0.52707744,0.9561572,1360,-0.72
0.14999999,2.237504243850708,69,-0.5277024,0.9561572,1380,-0.72
0.14999999,2.269940137863159,70,-0.7408291,0.95615715,1400,-0.72
0.14999999,2.2991905212402344,71,-0.61563486,0.9561509,1420,-0.72
0.14999999,2.326702117919922,72,-0.77555454,0.95615226,1440,-0.72
0.14999999,2.3544394969940186,73,-0.6991356,0.95615053,1460,-0.72
0.14999999,2.3886547088623047,74,-0.5164038,0.9561549,1480,-0.72
0.14999999,2.429333209991455,75,-0.6718087,0.9561544,1500,-0.72
0.14999999,2.482928514480591,76,-0.6887727,0.9561577,1520,-0.72
0.14999999,2.5257418155670166,77,-0.83621037,0.95615613,1540,-0.72
0.14999999,2.577219247817993,78,-0.69042194,0.95615816,1560,-0.72
0.14999999,2.60634446144104,79,-0.6497663,0.9561598,1580,-0.72
0.14999999,2.6353073120117188,80,-1.0353415,0.9561569,1600,-0.72
0.14999999,2.66475248336792,81,-0.7805852,0.9561524,1620,-0.72
0.14999999,2.695169448852539,82,-0.5148354,0.95615524,1640,-0.72
0.14999999,2.7276742458343506,83,-0.9644232,0.9561549,1660,-0.72
0.14999999,2.7534353733062744,84,-0.60438997,0.9561526,1680,-0.72
0.14999999,2.7802300453186035,85,-0.78937274,0.9561507,1700,-0.72
0.14999999,2.8046557903289795,86,-0.8027066,0.9561517,1720,-0.72
0.14999999,2.8322389125823975,87,-0.8359879,0.9561503,1740,-0.72
0.14999999,2.860065460205078,88,-0.8801068,0.95614725,1760,-0.72
0.14999999,2.887951374053955,89,-0.8505824,0.956147,1780,-0.72
0.14999999,2.915067672729492,90,-0.48460162,0.95614517,1800,-0.72
0.14999999,2.9429428577423096,91,-0.64147115,0.9561439,1820,-0.72
0.14999999,2.970510244369507,92,-0.6856965,0.95614576,1840,-0.72
0.14999999,2.997602939605713,93,-0.4598019,0.9561479,1860,-0.72
0.14999999,3.0244503021240234,94,-0.6473687,0.95615125,1880,-0.72
0.14999999,3.0522196292877197,95,-0.82383865,0.95615256,1900,-0.72
0.14999999,3.07963490486145,96,-0.56044257,0.95615315,1920,-0.72
0.14999999,3.1080994606018066,97,-0.6579071,0.9561546,1940,-0.72
0.14999999,3.136403799057007,98,-0.82620716,0.9561524,1960,-0.72
0.14999999,3.189113140106201,99,-0.61605746,0.95615166,1980,-0.72
0.14999999,3.229163408279419,100,-0.900311,0.9561531,2000,-0.72
0.14999999,3.272207498550415,101,-0.93262684,0.9561524,2020,-0.72
0.14999999,3.302351474761963,102,-0.47937918,0.9561524,2040,-0.72
0.14999999,3.3306591510772705,103,-0.70024186,0.956155,2060,-0.72
0.14999999,3.3600029945373535,104,-0.9071346,0.95615447,2080,-0.72
0.14999999,3.3907947540283203,105,-0.9233418,0.9561525,2100,-0.72
0.14999999,3.419246196746826,106,-0.8245134,0.956149,2120,-0.72
0.14999999,3.447068214416504,107,-0.9123798,0.95615035,2140,-0.72
0.14999999,3.472249984741211,108,-0.7512395,0.9561478,2160,-0.72
0.14999999,3.523487091064453,109,-0.83006096,0.9561485,2180,-0.72
0.14999999,3.584618091583252,110,-0.8173776,0.95614845,2200,-0.72
0.14999999,3.621446132659912,111,-0.7111482,0.956149,2220,-0.72
0.14999999,3.6640992164611816,112,-0.762446,0.9561509,2240,-0.72
0.14999999,3.7063381671905518,113,-0.66140187,0.95614964,2260,-0.72
0.14999999,3.7370083332061768,114,-1.0374482,0.9561511,2280,-0.72
0.14999999,3.7660059928894043,115,-0.89879346,0.9561502,2300,-0.72
0.14999999,3.7927279472351074,116,-0.65588516,0.95615125,2320,-0.72
0.14999999,3.8167991638183594,117,-0.63390917,0.9561518,2340,-0.72
0.14999999,3.841629981994629,118,-0.80931437,0.9561515,2360,-0.72
0.14999999,3.8754305839538574,119,-0.2540489,0.95615125,2380,-0.72
0.14999999,3.950782537460327,120,-0.6070087,0.95614916,2400,-0.72
0.14999999,4.002199411392212,121,-0.5966424,0.95614916,2420,-0.72
0.14999999,4.051651477813721,122,-0.574741,0.9561506,2440,-0.72
0.14999999,4.100561857223511,123,-0.86964864,0.9561508,2460,-0.72
0.14999999,4.141380786895752,124,-0.9138868,0.9561492,2480,-0.72
0.14999999,4.1845924854278564,125,-0.8296939,0.9561481,2500,-0.72
0.14999999,4.243279457092285,126,-0.6327699,0.95614636,2520,-0.72
0.14999999,4.287268877029419,127,-0.8773446,0.95614743,2540,-0.72
0.14999999,4.326579570770264,128,-0.94646615,0.95614696,2560,-0.72
0.14999999,4.370877742767334,129,-0.7229876,0.9561467,2580,-0.72
0.14999999,4.454613208770752,130,-0.61158895,0.9561471,2600,-0.72
0.14999999,4.501004219055176,131,-0.8845197,0.9561472,2620,-0.72
0.14999999,4.543264389038086,132,-0.7221067,0.95614576,2640,-0.72
0.14999999,4.60698676109314,133,-0.97126496,0.95614547,2660,-0.72
