LQGmu1_higher,LQGsigma_higher,TimeElapsed,Iteration,ReturnMean,LQGmu1_actor,TimestepsSoFar
-0.7,0.14999999,0.06597304344177246,1,0.95600617,-0.592906,20
-0.7,0.14999999,0.1904740333557129,2,0.95600843,-0.6697506,40
-0.7,0.14999999,0.22498846054077148,3,0.9561165,-0.82667947,60
-0.7,0.14999999,0.2591872215270996,4,0.9561509,-0.75965613,80
-0.7,0.14999999,0.294605016708374,5,0.9561259,-0.6393232,100
-0.7,0.14999999,0.3297145366668701,6,0.95610553,-0.8117101,120
-0.7,0.14999999,0.3599677085876465,7,0.956139,-0.7690902,140
-0.7,0.14999999,0.39098095893859863,8,0.95612967,-0.7390295,160
-0.7,0.14999999,0.4317460060119629,9,0.956121,-0.48868513,180
-0.7,0.14999999,0.4485015869140625,10,0.9561119,-0.80577695,200
-0.7,0.14999999,0.47812628746032715,11,0.9561231,-0.7288238,220
-0.7,0.14999999,0.5053386688232422,12,0.95613855,-0.72841793,240
-0.7,0.14999999,0.5343763828277588,13,0.95614755,-0.84993297,260
-0.7,0.14999999,0.5564205646514893,14,0.9561377,-0.6983584,280
-0.7,0.14999999,0.582033634185791,15,0.95614016,-0.5933894,300
-0.7,0.14999999,0.6089999675750732,16,0.95614475,-0.7826013,320
-0.7,0.14999999,0.6430480480194092,17,0.9561359,-0.73214257,340
-0.7,0.14999999,0.6643648147583008,18,0.9561441,-0.5323213,360
-0.7,0.14999999,0.6862969398498535,19,0.9561571,-0.48656067,380
-0.7,0.14999999,0.7089276313781738,20,0.9561461,-0.6798388,400
-0.7,0.14999999,0.7312817573547363,21,0.9561492,-0.58738714,420
-0.7,0.14999999,0.75229811668396,22,0.95615333,-0.65955913,440
-0.7,0.14999999,0.7785828113555908,23,0.9561613,-0.6419261,460
-0.7,0.14999999,0.8011345863342285,24,0.9561548,-0.68370414,480
-0.7,0.14999999,0.8288052082061768,25,0.9561473,-0.7418437,500
-0.7,0.14999999,0.8639147281646729,26,0.95613825,-0.7869254,520
