LQGmu1_actor,LQGsigma_higher,LQGmu1_higher,TimestepsSoFar,Iteration,TimeElapsed,ReturnMean
-0.392906,0.14999999,-0.5,20,1,0.1676347255706787,0.9558044
-0.4697506,0.14999999,-0.5,40,2,0.43086814880371094,0.95583564
-0.6266795,0.14999999,-0.5,60,3,0.576439380645752,0.95602554
-0.55965614,0.14999999,-0.5,80,4,0.6961841583251953,0.95610124
-0.43932316,0.14999999,-0.5,100,5,0.7715229988098145,0.9560755
-0.61171013,0.14999999,-0.5,120,6,0.8420312404632568,0.9560461
-0.5690902,0.14999999,-0.5,140,7,0.9125316143035889,0.95610225
-0.53902954,0.14999999,-0.5,160,8,0.9511673450469971,0.9560958
-0.28868514,0.14999999,-0.5,180,9,0.9960610866546631,0.95608276
-0.605777,0.14999999,-0.5,200,10,1.05208158493042,0.95606554
-0.5288238,0.14999999,-0.5,220,11,1.1559176445007324,0.9560835
-0.52841794,0.14999999,-0.5,240,12,1.2431912422180176,0.9561076
-0.649933,0.14999999,-0.5,260,13,1.3142592906951904,0.95612407
-0.49835843,0.14999999,-0.5,280,14,1.4109983444213867,0.95613164
-0.39338943,0.14999999,-0.5,300,15,1.4563539028167725,0.9561311
-0.5826013,0.14999999,-0.5,320,16,1.4964444637298584,0.9561291
-0.5321426,0.14999999,-0.5,340,17,1.5587208271026611,0.9561275
-0.3323213,0.14999999,-0.5,360,18,1.6361384391784668,0.9561378
-0.28656068,0.14999999,-0.5,380,19,1.6839375495910645,0.9561427
-0.4798388,0.14999999,-0.5,400,20,1.7164928913116455,0.9561289
-0.38738713,0.14999999,-0.5,420,21,1.7466471195220947,0.95613337
-0.45955914,0.14999999,-0.5,440,22,1.7979729175567627,0.95613825
-0.44192612,0.14999999,-0.5,460,23,1.8793370723724365,0.95614904
-0.48370412,0.14999999,-0.5,480,24,1.9230434894561768,0.9561414
-0.54184365,0.14999999,-0.5,500,25,1.9708044528961182,0.9561353
-0.5869254,0.14999999,-0.5,520,26,1.9985272884368896,0.9561257
-0.41368768,0.14999999,-0.5,540,27,2.027376413345337,0.9561303
-0.5468107,0.14999999,-0.5,560,28,2.0550904273986816,0.9561368
-0.5396774,0.14999999,-0.5,580,29,2.082148313522339,0.95614445
-0.4401322,0.14999999,-0.5,600,30,2.110703229904175,0.95615155
-0.14812732,0.14999999,-0.5,620,31,2.140350580215454,0.95615
-0.2064127,0.14999999,-0.5,640,32,2.1695666313171387,0.9561553
-0.3106718,0.14999999,-0.5,660,33,2.2137248516082764,0.9561413
-0.3281597,0.14999999,-0.5,680,34,2.258141040802002,0.95613337
-0.6534906,0.14999999,-0.5,700,35,2.448927402496338,0.95612043
-0.44243124,0.14999999,-0.5,720,36,2.599663257598877,0.956125
-0.16720477,0.14999999,-0.5,740,37,2.657716751098633,0.95612746
