ReturnMean,LQGmu1_actor,TimeElapsed,Iteration,TimestepsSoFar,LQGmu1_higher,LQGsigma_higher
0.9559584,-0.512906,0.04889416694641113,1,20,-0.62,0.14999999
0.9559697,-0.5897506,0.13967680931091309,2,40,-0.62,0.14999999
0.9561052,-0.7466795,0.16185712814331055,3,60,-0.62,0.14999999
0.956152,-0.67965615,0.1802215576171875,4,80,-0.62,0.14999999
0.9561266,-0.5593232,0.19859957695007324,5,100,-0.62,0.14999999
0.95610493,-0.73171014,0.21646809577941895,6,120,-0.62,0.14999999
0.95614576,-0.6890902,0.23932433128356934,7,140,-0.62,0.14999999
0.9561372,-0.65902954,0.26128220558166504,8,160,-0.62,0.14999999
0.9561261,-0.40868515,0.281566858291626,9,180,-0.62,0.14999999
0.95611346,-0.72577703,0.30366945266723633,10,200,-0.62,0.14999999
0.95612645,-0.6488238,0.32440924644470215,11,220,-0.62,0.14999999
0.95614475,-0.64841795,0.34557294845581055,12,240,-0.62,0.14999999
0.9561559,-0.769933,0.37253546714782715,13,260,-0.62,0.14999999
0.95615274,-0.61835843,0.42014002799987793,14,280,-0.62,0.14999999
0.9561544,-0.51338947,0.45400142669677734,15,300,-0.62,0.14999999
0.95615625,-0.7026013,0.47258448600769043,16,320,-0.62,0.14999999
0.95615005,-0.6521426,0.4908113479614258,17,340,-0.62,0.14999999
0.95615876,-0.4523213,0.5080976486206055,18,360,-0.62,0.14999999
0.95616895,-0.4065607,0.5271697044372559,19,380,-0.62,0.14999999
0.9561564,-0.5998388,0.5452156066894531,20,400,-0.62,0.14999999
0.9561599,-0.50738716,0.5605840682983398,21,420,-0.62,0.14999999
0.9561641,-0.57955915,0.5793149471282959,22,440,-0.62,0.14999999
0.95617294,-0.5619261,0.5996842384338379,23,460,-0.62,0.14999999
0.9561661,-0.60370415,0.618915319442749,24,480,-0.62,0.14999999
0.9561589,-0.66184366,0.6381163597106934,25,500,-0.62,0.14999999
0.9561494,-0.7069254,0.65567946434021,26,520,-0.62,0.14999999
0.95614976,-0.5336877,0.6750764846801758,27,540,-0.62,0.14999999
0.95615524,-0.6668107,0.6942877769470215,28,560,-0.62,0.14999999
0.95616096,-0.6596774,0.7102270126342773,29,580,-0.62,0.14999999
0.9561662,-0.5601322,0.7279620170593262,30,600,-0.62,0.14999999
