TimestepsSoFar,LQGmu1_actor,Iteration,LQGsigma_higher,LQGmu1_higher,ReturnMean,TimeElapsed
20,-0.49290603,1,0.14999999,-0.6,0.95594066,0.05065321922302246
40,-0.5697506,2,0.14999999,-0.6,0.9559548,0.13579559326171875
60,-0.7266795,3,0.14999999,-0.6,0.9560979,0.15606069564819336
80,-0.65965617,4,0.14999999,-0.6,0.9561485,0.1775064468383789
100,-0.5393232,5,0.14999999,-0.6,0.956123,0.19636964797973633
120,-0.71171016,6,0.14999999,-0.6,0.95610064,0.22632622718811035
140,-0.6690902,7,0.14999999,-0.6,0.9561435,0.24896526336669922
160,-0.63902956,8,0.14999999,-0.6,0.9561353,0.26886463165283203
180,-0.38868517,9,0.14999999,-0.6,0.9561236,0.29340648651123047
200,-0.70577705,10,0.14999999,-0.6,0.9561102,0.3140099048614502
220,-0.6288238,11,0.14999999,-0.6,0.9561237,0.3306119441986084
240,-0.62841797,12,0.14999999,-0.6,0.9561427,0.350827693939209
260,-0.749933,13,0.14999999,-0.6,0.9561547,0.37398457527160645
280,-0.59835845,14,0.14999999,-0.6,0.9561532,0.3941662311553955
300,-0.49338946,15,0.14999999,-0.6,0.9561545,0.41423845291137695
320,-0.68260133,16,0.14999999,-0.6,0.9561558,0.435136079788208
340,-0.6321426,17,0.14999999,-0.6,0.9561503,0.4593312740325928
360,-0.4323213,18,0.14999999,-0.6,0.9561592,0.4800248146057129
380,-0.3865607,19,0.14999999,-0.6,0.95616853,0.5015110969543457
400,-0.5798388,20,0.14999999,-0.6,0.95615566,0.5219728946685791
420,-0.48738715,21,0.14999999,-0.6,0.95615923,0.5444540977478027
440,-0.55955917,22,0.14999999,-0.6,0.95616364,0.5647430419921875
460,-0.54192615,23,0.14999999,-0.6,0.95617276,0.5828299522399902
480,-0.5837042,24,0.14999999,-0.6,0.9561658,0.6019628047943115
500,-0.6418437,25,0.14999999,-0.6,0.9561587,0.6261870861053467
520,-0.6869254,26,0.14999999,-0.6,0.95614904,0.6462860107421875
540,-0.51368773,27,0.14999999,-0.6,0.9561501,0.670285701751709
560,-0.6468107,28,0.14999999,-0.6,0.9561557,0.6924371719360352
580,-0.6396774,29,0.14999999,-0.6,0.9561616,0.7122402191162109
600,-0.5401322,30,0.14999999,-0.6,0.9561672,0.7319166660308838
620,-0.24812734,31,0.14999999,-0.6,0.9561669,0.752241849899292
640,-0.30641273,32,0.14999999,-0.6,0.95617515,0.7720909118652344
660,-0.41067183,33,0.14999999,-0.6,0.9561677,0.7933783531188965
680,-0.4281597,34,0.14999999,-0.6,0.9561635,0.8206744194030762
700,-0.7534906,35,0.14999999,-0.6,0.9561523,0.8416895866394043
720,-0.5424313,36,0.14999999,-0.6,0.95615506,0.8627514839172363
740,-0.2672048,37,0.14999999,-0.6,0.95615613,0.885838508605957
760,-0.38347387,38,0.14999999,-0.6,0.95615697,0.9066579341888428
780,-0.55491424,39,0.14999999,-0.6,0.95615447,0.9261519908905029
800,-0.5521943,40,0.14999999,-0.6,0.95615816,0.9465563297271729
820,-0.57771754,41,0.14999999,-0.6,0.9561603,0.9662220478057861
840,-0.55993545,42,0.14999999,-0.6,0.9561633,0.9865343570709229
860,-0.5310442,43,0.14999999,-0.6,0.95615315,1.0078513622283936
880,-0.6123446,44,0.14999999,-0.6,0.9561577,1.025827169418335
900,-0.8063249,45,0.14999999,-0.6,0.95616204,1.047879695892334
920,-0.45500857,46,0.14999999,-0.6,0.9561621,1.0674688816070557
940,-0.46332708,47,0.14999999,-0.6,0.9561511,1.0871124267578125
960,-0.7289425,48,0.14999999,-0.6,0.9561405,1.113877534866333
980,-0.8734424,49,0.14999999,-0.6,0.9561404,1.143613576889038
1000,-0.7058614,50,0.14999999,-0.6,0.95614505,1.164726734161377
1020,-0.52454054,51,0.14999999,-0.6,0.95614684,1.1855390071868896
1040,-0.52599096,52,0.14999999,-0.6,0.9561482,1.205650806427002
1060,-0.59740454,53,0.14999999,-0.6,0.9561432,1.226980209350586
1080,-0.63485456,54,0.14999999,-0.6,0.9561488,1.2475605010986328
