TimestepsSoFar,LQGmu1_higher,TimeElapsed,LQGsigma_higher,LQGmu1_actor,Iteration,ReturnMean
20,-0.4,0.08458709716796875,0.14999999,-0.29290602,1,0.9555478
40,-0.4,0.24254560470581055,0.14999999,-0.36975062,2,0.9555938
60,-0.4,0.29012441635131836,0.14999999,-0.5266795,3,0.9558583
80,-0.4,0.32288551330566406,0.14999999,-0.45965618,4,0.9559784
100,-0.4,0.358109712600708,0.14999999,-0.33932316,5,0.9559531
120,-0.4,0.3870999813079834,0.14999999,-0.51171017,6,0.9559059
140,-0.4,0.42250633239746094,0.14999999,-0.46909016,7,0.955984
160,-0.4,0.4570279121398926,0.14999999,-0.43902957,8,0.9559817
180,-0.4,0.4942188262939453,0.14999999,-0.18868516,9,0.955971
200,-0.4,0.527571439743042,0.14999999,-0.505777,10,0.95595247
220,-0.4,0.5676605701446533,0.14999999,-0.4288238,11,0.9559786
240,-0.4,0.6251845359802246,0.14999999,-0.42841798,12,0.9560109
260,-0.4,0.6665558815002441,0.14999999,-0.54993296,13,0.9560353
280,-0.4,0.7060163021087646,0.14999999,-0.39835843,14,0.9560545
300,-0.4,0.7499232292175293,0.14999999,-0.29338944,15,0.95605
320,-0.4,0.7977504730224609,0.14999999,-0.48260134,16,0.95604455
340,-0.4,0.845893144607544,0.14999999,-0.4321426,17,0.9560486
360,-0.4,0.8815407752990723,0.14999999,-0.2323213,18,0.9560621
380,-0.4,0.936347246170044,0.14999999,-0.18656069,19,0.9560605
400,-0.4,0.9963018894195557,0.14999999,-0.3798388,20,0.9560464
420,-0.4,1.042400598526001,0.14999999,-0.28738713,21,0.95605266
440,-0.4,1.0963053703308105,0.14999999,-0.35955915,22,0.9560589
460,-0.4,1.1372261047363281,0.14999999,-0.3419261,23,0.95607275
480,-0.4,1.1836791038513184,0.14999999,-0.38370413,24,0.9560649
500,-0.4,1.2140476703643799,0.14999999,-0.4418437,25,0.9560604
520,-0.4,1.252241849899292,0.14999999,-0.4869254,26,0.9560522
540,-0.4,1.3036417961120605,0.14999999,-0.31368768,27,0.9560615
560,-0.4,1.3326785564422607,0.14999999,-0.4468107,28,0.9560692
580,-0.4,1.3610594272613525,0.14999999,-0.43967736,29,0.9560797
600,-0.4,1.3923168182373047,0.14999999,-0.3401322,30,0.956089
620,-0.4,1.4216454029083252,0.14999999,-0.048127323,31,0.9560863
640,-0.4,1.4496779441833496,0.14999999,-0.10641271,32,0.9560769
660,-0.4,1.4781134128570557,0.14999999,-0.21067181,33,0.9560447
680,-0.4,1.506967544555664,0.14999999,-0.22815971,34,0.95603144
700,-0.4,1.535487413406372,0.14999999,-0.55349064,35,0.9560152
720,-0.4,1.5643887519836426,0.14999999,-0.34243125,36,0.9560231
