LQGmu1_higher,TimestepsSoFar,ReturnMean,Iteration,LQGsigma_higher,TimeElapsed,LQGmu1_actor
-0.66,20,0.9559866,1,0.14999999,0.0698537826538086,-0.55290604
-0.66,40,0.95599294,2,0.14999999,0.18444156646728516,-0.6297506
-0.66,60,0.9561141,3,0.14999999,0.20595836639404297,-0.7866795
-0.66,80,0.95615435,4,0.14999999,0.23391413688659668,-0.71965617
-0.66,100,0.9561291,5,0.14999999,0.26550912857055664,-0.5993232
-0.66,120,0.95610833,6,0.14999999,0.2846190929412842,-0.77171016
-0.66,140,0.9561453,7,0.14999999,0.3318755626678467,-0.7290902
-0.66,160,0.95613635,8,0.14999999,0.3522791862487793,-0.69902956
-0.66,180,0.95612633,9,0.14999999,0.3759281635284424,-0.44868517
-0.66,200,0.9561154,10,0.14999999,0.40172362327575684,-0.765777
-0.66,220,0.9561275,11,0.14999999,0.42142724990844727,-0.6888238
-0.66,240,0.9561443,12,0.14999999,0.44817328453063965,-0.688418
-0.66,260,0.9561543,13,0.14999999,0.46934986114501953,-0.809933
-0.66,280,0.95614773,14,0.14999999,0.4912526607513428,-0.65835845
-0.66,300,0.9561498,15,0.14999999,0.5159997940063477,-0.55338943
-0.66,320,0.95615304,16,0.14999999,0.5355565547943115,-0.74260134
-0.66,340,0.9561456,17,0.14999999,0.5692596435546875,-0.6921426
-0.66,360,0.95615387,18,0.14999999,0.5983145236968994,-0.4923213
-0.66,380,0.9561655,19,0.14999999,0.6230893135070801,-0.4465607
-0.66,400,0.9561537,20,0.14999999,0.6469111442565918,-0.6398388
-0.66,420,0.95615697,21,0.14999999,0.6676647663116455,-0.5473872
-0.66,440,0.95616114,22,0.14999999,0.6864783763885498,-0.61955917
-0.66,460,0.9561696,23,0.14999999,0.7103145122528076,-0.60192615
-0.66,480,0.9561629,24,0.14999999,0.7307693958282471,-0.6437042
-0.66,500,0.95615554,25,0.14999999,0.747175931930542,-0.70184374
-0.66,520,0.9561462,26,0.14999999,0.7664880752563477,-0.7469254
-0.66,540,0.95614535,27,0.14999999,0.7835052013397217,-0.57368773
-0.66,560,0.9561504,28,0.14999999,0.8126246929168701,-0.7068107
-0.66,580,0.95615584,29,0.14999999,0.8435351848602295,-0.6996774
-0.66,600,0.9561606,30,0.14999999,0.859316349029541,-0.6001322
-0.66,620,0.95616096,31,0.14999999,0.8792464733123779,-0.30812734
-0.66,640,0.9561702,32,0.14999999,0.8991906642913818,-0.36641273
-0.66,660,0.95616496,33,0.14999999,0.9292616844177246,-0.47067183
-0.66,680,0.9561624,34,0.14999999,0.958920955657959,-0.48815972
-0.66,700,0.956152,35,0.14999999,0.985837459564209,-0.8134906
-0.66,720,0.95615363,36,0.14999999,1.0058043003082275,-0.6024313
-0.66,740,0.9561543,37,0.14999999,1.036006212234497,-0.3272048
-0.66,760,0.9561571,38,0.14999999,1.0588698387145996,-0.44347388
-0.66,780,0.9561565,39,0.14999999,1.090449571609497,-0.61491424
-0.66,800,0.95616037,40,0.14999999,1.1077759265899658,-0.6121943
-0.66,820,0.9561627,41,0.14999999,1.1302545070648193,-0.63771755
-0.66,840,0.9561657,42,0.14999999,1.150059461593628,-0.61993545
-0.66,860,0.95615745,43,0.14999999,1.174027442932129,-0.5910442
-0.66,880,0.95616204,44,0.14999999,1.1960816383361816,-0.6723446
-0.66,900,0.9561653,45,0.14999999,1.213301420211792,-0.8663249
-0.66,920,0.956164,46,0.14999999,1.233790397644043,-0.51500857
-0.66,940,0.9561555,47,0.14999999,1.2512743473052979,-0.5233271
-0.66,960,0.95614725,48,0.14999999,1.2761573791503906,-0.7889425
-0.66,980,0.9561472,49,0.14999999,1.3054070472717285,-0.9334425
