Iteration,ReturnMean,TimestepsSoFar,LQGmu1_higher,LQGsigma_higher,LQGmu1_actor,TimeElapsed
100,0.9561589,2000,-0.68,0.14999999,-0.8603109,1.7804622650146484
101,0.95615864,2020,-0.68,0.14999999,-0.8926268,1.7950356006622314
102,0.95615864,2040,-0.68,0.14999999,-0.43937916,1.8100652694702148
103,0.9561612,2060,-0.68,0.14999999,-0.66024184,1.824582576751709
104,0.95616055,2080,-0.68,0.14999999,-0.8671346,1.8397860527038574
105,0.95615906,2100,-0.68,0.14999999,-0.8833418,1.8560209274291992
106,0.95615554,2120,-0.68,0.14999999,-0.78451335,1.8710501194000244
107,0.9561572,2140,-0.68,0.14999999,-0.8723798,1.885176658630371
108,0.9561546,2160,-0.68,0.14999999,-0.71123946,1.8999500274658203
109,0.9561554,2180,-0.68,0.14999999,-0.79006094,1.9142866134643555
110,0.95615566,2200,-0.68,0.14999999,-0.7773776,1.929231882095337
111,0.9561564,2220,-0.68,0.14999999,-0.6711482,1.9463262557983398
112,0.95615846,2240,-0.68,0.14999999,-0.72244596,1.9618053436279297
113,0.9561571,2260,-0.68,0.14999999,-0.62140185,1.9762182235717773
114,0.9561587,2280,-0.68,0.14999999,-0.9974481,1.991220474243164
115,0.9561579,2300,-0.68,0.14999999,-0.85879344,2.0061392784118652
116,0.9561591,2320,-0.68,0.14999999,-0.61588514,2.021171808242798
117,0.95615965,2340,-0.68,0.14999999,-0.59390914,2.0396218299865723
118,0.95615935,2360,-0.68,0.14999999,-0.76931435,2.056391954421997
119,0.95615923,2380,-0.68,0.14999999,-0.21404889,2.0704598426818848
120,0.95615613,2400,-0.68,0.14999999,-0.5670086,2.0851917266845703
121,0.95615596,2420,-0.68,0.14999999,-0.55664235,2.1023848056793213
122,0.95615745,2440,-0.68,0.14999999,-0.53474104,2.117748260498047
123,0.9561574,2460,-0.68,0.14999999,-0.8296486,2.1319921016693115
124,0.9561559,2480,-0.68,0.14999999,-0.87388676,2.146946668624878
125,0.9561547,2500,-0.68,0.14999999,-0.7896939,2.1613929271698
126,0.95615304,2520,-0.68,0.14999999,-0.59276986,2.1778640747070312
127,0.956154,2540,-0.68,0.14999999,-0.8373446,2.193209409713745
128,0.9561535,2560,-0.68,0.14999999,-0.9064661,2.209398031234741
129,0.9561536,2580,-0.68,0.14999999,-0.6829876,2.2254409790039062
130,0.9561541,2600,-0.68,0.14999999,-0.57158893,2.2424631118774414
131,0.95615417,2620,-0.68,0.14999999,-0.84451973,2.257469415664673
132,0.95615286,2640,-0.68,0.14999999,-0.6821067,2.273139238357544
133,0.9561524,2660,-0.68,0.14999999,-0.93126494,2.2939565181732178
134,0.956151,2680,-0.68,0.14999999,-0.598758,2.3167951107025146
135,0.95615256,2700,-0.68,0.14999999,-0.77971894,2.3347158432006836
136,0.9561534,2720,-0.68,0.14999999,-0.6549753,2.351923942565918
137,0.9561534,2740,-0.68,0.14999999,-0.6358416,2.371324300765991
138,0.956154,2760,-0.68,0.14999999,-0.5991639,2.386977195739746
139,0.9561546,2780,-0.68,0.14999999,-0.4760228,2.40828800201416
140,0.9561552,2800,-0.68,0.14999999,-0.57038784,2.4261176586151123
141,0.95615554,2820,-0.68,0.14999999,-0.8359423,2.445218324661255
142,0.95615655,2840,-0.68,0.14999999,-0.4186223,2.4603939056396484
143,0.95615864,2860,-0.68,0.14999999,-0.620353,2.483307361602783
144,0.95615757,2880,-0.68,0.14999999,-0.55071,2.503660202026367
145,0.9561556,2900,-0.68,0.14999999,-0.68886006,2.5233514308929443
146,0.95615625,2920,-0.68,0.14999999,-0.7426084,2.549997091293335
147,0.9561577,2940,-0.68,0.14999999,-0.7340358,2.5723531246185303
148,0.9561582,2960,-0.68,0.14999999,-0.864218,2.5950663089752197
149,0.95615894,2980,-0.68,0.14999999,-0.625865,2.6136999130249023
150,0.95615846,3000,-0.68,0.14999999,-0.70404893,2.6342766284942627
151,0.95615935,3020,-0.68,0.14999999,-0.8849392,2.655416965484619
152,0.9561594,3040,-0.68,0.14999999,-0.7785009,2.6750924587249756
153,0.9561585,3060,-0.68,0.14999999,-0.780081,2.694957971572876
154,0.9561579,3080,-0.68,0.14999999,-0.75383073,2.719707727432251
155,0.9561565,3100,-0.68,0.14999999,-0.88874817,2.7415883541107178
156,0.9561537,3120,-0.68,0.14999999,-0.4429564,2.769595146179199
157,0.95615166,3140,-0.68,0.14999999,-0.47286597,2.7881059646606445
158,0.9561526,3160,-0.68,0.14999999,-0.35944378,2.8084163665771484
159,0.9561522,3180,-0.68,0.14999999,-0.9435934,2.829862594604492
160,0.95615005,3200,-0.68,0.14999999,-0.68706614,2.8473610877990723
161,0.9561493,3220,-0.68,0.14999999,-0.76851493,2.8750579357147217
162,0.9561484,3240,-0.68,0.14999999,-0.6355387,2.8931500911712646
163,0.95614904,3260,-0.68,0.14999999,-0.8107088,2.9116077423095703
164,0.95614773,3280,-0.68,0.14999999,-0.8057043,2.9275405406951904
165,0.95614755,3300,-0.68,0.14999999,-0.6323943,2.9472739696502686
166,0.95614743,3320,-0.68,0.14999999,-0.8131383,2.974001884460449
167,0.95614696,3340,-0.68,0.14999999,-0.6670931,2.996467351913452
168,0.95614725,3360,-0.68,0.14999999,-0.60190976,3.022923231124878
169,0.95614636,3380,-0.68,0.14999999,-0.7615769,3.04490065574646
170,0.95614606,3400,-0.68,0.14999999,-0.84563506,3.063025951385498
171,0.95614696,3420,-0.68,0.14999999,-0.56317943,3.0876524448394775
172,0.9561474,3440,-0.68,0.14999999,-0.87684953,3.107192039489746
173,0.95614463,3460,-0.68,0.14999999,-0.46273506,3.125115394592285
174,0.956145,3480,-0.68,0.14999999,-0.73876256,3.1451375484466553
175,0.9561455,3500,-0.68,0.14999999,-0.5493338,3.165076494216919
176,0.9561445,3520,-0.68,0.14999999,-0.5295085,3.1834113597869873
177,0.95614296,3540,-0.68,0.14999999,-0.908846,3.2106871604919434
178,0.9561433,3560,-0.68,0.14999999,-0.5930464,3.231886386871338
179,0.9561413,3580,-0.68,0.14999999,-0.6231249,3.2675981521606445
180,0.95614135,3600,-0.68,0.14999999,-0.5135164,3.297529935836792
181,0.956142,3620,-0.68,0.14999999,-0.82183516,3.3190999031066895
182,0.9561407,3640,-0.68,0.14999999,-0.3990507,3.343576669692993
183,0.95614123,3660,-0.68,0.14999999,-0.7838213,3.3697988986968994
184,0.9561401,3680,-0.68,0.14999999,-0.58831286,3.3880372047424316
185,0.95613873,3700,-0.68,0.14999999,-0.6833283,3.4072046279907227
186,0.95613825,3720,-0.68,0.14999999,-0.5653208,3.4268739223480225
187,0.9561391,3740,-0.68,0.14999999,-0.64010495,3.4517407417297363
188,0.95613843,3760,-0.68,0.14999999,-0.84783167,3.4709665775299072
189,0.95613843,3780,-0.68,0.14999999,-0.6266123,3.492879867553711
190,0.9561383,3800,-0.68,0.14999999,-0.6317637,3.513801097869873
191,0.95613873,3820,-0.68,0.14999999,-0.5665187,3.5390098094940186
192,0.9561394,3840,-0.68,0.14999999,-0.86806166,3.5588977336883545
193,0.95613784,3860,-0.68,0.14999999,-0.6730635,3.5754055976867676
194,0.95613647,3880,-0.68,0.14999999,-0.8400489,3.595200300216675
195,0.9561367,3900,-0.68,0.14999999,-0.5455067,3.6170454025268555
196,0.95613706,3920,-0.68,0.14999999,-0.6657086,3.6425211429595947
197,0.95613754,3940,-0.68,0.14999999,-0.5102991,3.6651785373687744
198,0.9561388,3960,-0.68,0.14999999,-0.5054133,3.690056324005127
199,0.95613927,3980,-0.68,0.14999999,-0.6558762,3.711888074874878
200,0.9561389,4000,-0.68,0.14999999,-0.50679743,3.7330055236816406
201,0.9561374,4020,-0.68,0.14999999,-0.51867604,3.756598711013794
202,0.9561373,4040,-0.68,0.14999999,-0.6396291,3.7775161266326904
203,0.9561385,4060,-0.68,0.14999999,-0.8945532,3.8039729595184326
204,0.95613855,4080,-0.68,0.14999999,-0.92571384,3.822693347930908
205,0.95613605,4100,-0.68,0.14999999,-0.6438664,3.8485751152038574
206,0.95613563,4120,-0.68,0.14999999,-0.7722585,3.882744312286377
207,0.95613617,4140,-0.68,0.14999999,-0.68590134,3.904585361480713
208,0.95613664,4160,-0.68,0.14999999,-0.5887062,3.928182601928711
209,0.9561372,4180,-0.68,0.14999999,-0.7886081,3.949108123779297
210,0.9561376,4200,-0.68,0.14999999,-0.71267396,3.9697265625
211,0.956137,4220,-0.68,0.14999999,-0.51378834,3.9898486137390137
212,0.9561376,4240,-0.68,0.14999999,-0.57288975,4.013914108276367
213,0.95613617,4260,-0.68,0.14999999,-0.51965594,4.033766031265259
214,0.9561367,4280,-0.68,0.14999999,-0.66389626,4.056793212890625
215,0.9561363,4300,-0.68,0.14999999,-0.43524534,4.077167749404907
216,0.9561371,4320,-0.68,0.14999999,-0.7385114,4.100367784500122
217,0.9561358,4340,-0.68,0.14999999,-0.92223364,4.122698545455933
218,0.95613587,4360,-0.68,0.14999999,-0.5025997,4.14581561088562
219,0.9561331,4380,-0.68,0.14999999,-0.7540125,4.168760299682617
220,0.9561322,4400,-0.68,0.14999999,-0.533991,4.194912433624268
221,0.9561325,4420,-0.68,0.14999999,-0.7126032,4.2195751667022705
222,0.9561332,4440,-0.68,0.14999999,-0.6832603,4.241844654083252
223,0.95613337,4460,-0.68,0.14999999,-0.64368063,4.264223575592041
224,0.9561314,4480,-0.68,0.14999999,-0.7769419,4.2873547077178955
225,0.95613104,4500,-0.68,0.14999999,-0.5966992,4.30784797668457
226,0.95613235,4520,-0.68,0.14999999,-0.68341804,4.330183982849121
227,0.9561326,4540,-0.68,0.14999999,-0.60186267,4.3532631397247314
228,0.9561331,4560,-0.68,0.14999999,-0.7504539,4.373953819274902
229,0.9561337,4580,-0.68,0.14999999,-0.8151704,4.398988485336304
230,0.9561331,4600,-0.68,0.14999999,-0.76978904,4.422314643859863
231,0.95613366,4620,-0.68,0.14999999,-0.5657215,4.4471635818481445
232,0.9561352,4640,-0.68,0.14999999,-0.8738116,4.468425035476685
233,0.9561351,4660,-0.68,0.14999999,-0.64420694,4.502569913864136
234,0.95613515,4680,-0.68,0.14999999,-0.57336324,4.533944368362427
235,0.95613545,4700,-0.68,0.14999999,-0.7021688,4.553175449371338
236,0.9561353,4720,-0.68,0.14999999,-0.37072018,4.575552940368652
237,0.9561331,4740,-0.68,0.14999999,-0.84431136,4.596858263015747
238,0.95613277,4760,-0.68,0.14999999,-0.728826,4.618636131286621
239,0.95613223,4780,-0.68,0.14999999,-0.919966,4.640117168426514
240,0.95613194,4800,-0.68,0.14999999,-0.7082544,4.663310527801514
241,0.9561329,4820,-0.68,0.14999999,-0.75384665,4.685210466384888
242,0.9561336,4840,-0.68,0.14999999,-0.8603462,4.707556962966919
243,0.95613307,4860,-0.68,0.14999999,-0.8070173,4.731754779815674
244,0.95613396,4880,-0.68,0.14999999,-0.5933066,4.756236553192139
245,0.95613414,4900,-0.68,0.14999999,-0.69061625,4.777998447418213
246,0.95613295,4920,-0.68,0.14999999,-0.44668913,4.7986907958984375
247,0.95613307,4940,-0.68,0.14999999,-0.6159056,4.818307399749756
248,0.9561323,4960,-0.68,0.14999999,-0.78177637,4.840044260025024
249,0.9561325,4980,-0.68,0.14999999,-0.66855574,4.866122722625732
250,0.95613253,5000,-0.68,0.14999999,-0.69644916,4.886412858963013
251,0.956132,5020,-0.68,0.14999999,-0.66610974,4.907193183898926
252,0.95613146,5040,-0.68,0.14999999,-0.6205146,4.9287004470825195
253,0.9561314,5060,-0.68,0.14999999,-0.5587369,4.948948860168457
254,0.9561323,5080,-0.68,0.14999999,-0.60210335,4.969739675521851
255,0.95613265,5100,-0.68,0.14999999,-0.723204,4.990558862686157
256,0.9561331,5120,-0.68,0.14999999,-0.81274915,5.010889768600464
257,0.9561329,5140,-0.68,0.14999999,-0.5710374,5.032034635543823
258,0.9561331,5160,-0.68,0.14999999,-0.649851,5.056941270828247
259,0.9561321,5180,-0.68,0.14999999,-0.70954275,5.077314615249634
260,0.9561318,5200,-0.68,0.14999999,-0.5901954,5.1050121784210205
261,0.95613253,5220,-0.68,0.14999999,-0.7935797,5.125816583633423
262,0.95613295,5240,-0.68,0.14999999,-0.65987104,5.144883155822754
263,0.95613354,5260,-0.68,0.14999999,-0.74866754,5.1650800704956055
264,0.95613295,5280,-0.68,0.14999999,-0.81583107,5.185976028442383
265,0.9561335,5300,-0.68,0.14999999,-0.8596437,5.205249071121216
266,0.956133,5320,-0.68,0.14999999,-0.78333646,5.227838754653931
267,0.9561329,5340,-0.68,0.14999999,-0.65295154,5.25493049621582
268,0.956133,5360,-0.68,0.14999999,-0.6824792,5.280043840408325
269,0.9561341,5380,-0.68,0.14999999,-0.5558456,5.3003716468811035
270,0.95613474,5400,-0.68,0.14999999,-0.6808941,5.326565980911255
271,0.9561351,5420,-0.68,0.14999999,-0.91531944,5.350988149642944
272,0.95613503,5440,-0.68,0.14999999,-0.57973963,5.38264536857605
273,0.95613384,5460,-0.68,0.14999999,-0.6782795,5.401457071304321
274,0.95613277,5480,-0.68,0.14999999,-0.4396852,5.439323425292969
275,0.9561325,5500,-0.68,0.14999999,-0.42393,5.476577520370483
276,0.9561332,5520,-0.68,0.14999999,-0.5197944,5.501155138015747
277,0.9561338,5540,-0.68,0.14999999,-0.73751616,5.523571491241455
278,0.95613307,5560,-0.68,0.14999999,-0.7069298,5.5504961013793945
279,0.95613396,5580,-0.68,0.14999999,-0.5989328,5.571450233459473
280,0.9561336,5600,-0.68,0.14999999,-0.5786712,5.591710567474365
281,0.9561341,5620,-0.68,0.14999999,-0.5649,5.613300085067749
282,0.9561339,5640,-0.68,0.14999999,-0.580077,5.63835334777832
283,0.9561336,5660,-0.68,0.14999999,-0.71907246,5.662951946258545
284,0.9561334,5680,-0.68,0.14999999,-0.49314678,5.6863226890563965
285,0.95613265,5700,-0.68,0.14999999,-0.5182169,5.708372592926025
286,0.9561334,5720,-0.68,0.14999999,-0.87089336,5.737058162689209
287,0.95613366,5740,-0.68,0.14999999,-0.60451865,5.767429828643799
288,0.9561332,5760,-0.68,0.14999999,-0.6985137,5.799956560134888
289,0.9561327,5780,-0.68,0.14999999,-0.7609533,5.833068370819092
290,0.9561334,5800,-0.68,0.14999999,-0.8073112,5.865948915481567
291,0.9561334,5820,-0.68,0.14999999,-0.7215657,5.9088521003723145
292,0.9561332,5840,-0.68,0.14999999,-0.8724477,5.950800657272339
293,0.9561327,5860,-0.68,0.14999999,-0.67687374,5.983292818069458
294,0.95613337,5880,-0.68,0.14999999,-0.52225137,6.0239458084106445
295,0.95613456,5900,-0.68,0.14999999,-0.86920416,6.0751588344573975
296,0.9561349,5920,-0.68,0.14999999,-0.8368099,6.1116673946380615
297,0.9561353,5940,-0.68,0.14999999,-0.7418627,6.146678686141968
298,0.95613515,5960,-0.68,0.14999999,-0.5613702,6.182135105133057
299,0.95613605,5980,-0.68,0.14999999,-0.87314194,6.216107368469238
300,0.9561357,6000,-0.68,0.14999999,-0.61640936,6.250741958618164
301,0.9561362,6020,-0.68,0.14999999,-0.6232351,6.275639057159424
302,0.9561368,6040,-0.68,0.14999999,-0.3980746,6.29703950881958
303,0.9561376,6060,-0.68,0.14999999,-0.6020622,6.320793867111206
304,0.9561386,6080,-0.68,0.14999999,-0.6352176,6.344426870346069
305,0.95613915,6100,-0.68,0.14999999,-0.5677105,6.367810964584351
306,0.9561391,6120,-0.68,0.14999999,-0.6500952,6.398613452911377
307,0.95613927,6140,-0.68,0.14999999,-0.5896396,6.432684421539307
308,0.9561389,6160,-0.68,0.14999999,-0.6332635,6.46847677230835
309,0.956139,6180,-0.68,0.14999999,-0.4707998,6.495330572128296
310,0.95613855,6200,-0.68,0.14999999,-0.8414403,6.529632091522217
311,0.9561388,6220,-0.68,0.14999999,-0.7826766,6.554697513580322
312,0.95613796,6240,-0.68,0.14999999,-0.47761673,6.580150365829468
313,0.9561372,6260,-0.68,0.14999999,-0.7908162,6.601900577545166
314,0.9561373,6280,-0.68,0.14999999,-0.74613875,6.6226630210876465
315,0.95613617,6300,-0.68,0.14999999,-0.4853292,6.643974781036377
316,0.9561359,6320,-0.68,0.14999999,-0.7809708,6.666675090789795
317,0.95613575,6340,-0.68,0.14999999,-0.6051911,6.689326047897339
318,0.95613605,6360,-0.68,0.14999999,-0.4435017,6.724132061004639
