TimestepsSoFar,LQGmu1_higher,LQGmu1_actor,LQGsigma_higher,Iteration,TimeElapsed,ReturnMean
20,-0.75,-0.642906,0.14999999,1,0.061551809310913086,0.95602006
40,-0.75,-0.7197506,0.14999999,2,0.17145729064941406,0.9560186
60,-0.75,-0.8766795,0.14999999,3,0.21628427505493164,0.9561114
80,-0.75,-0.80965614,0.14999999,4,0.24486541748046875,0.9561394
100,-0.75,-0.6893232,0.14999999,5,0.27410268783569336,0.9561149
120,-0.75,-0.86171013,0.14999999,6,0.3026161193847656,0.9560942
140,-0.75,-0.8190902,0.14999999,7,0.3310985565185547,0.95612377
160,-0.75,-0.78902954,0.14999999,8,0.3548569679260254,0.95611393
180,-0.75,-0.53868514,0.14999999,9,0.37912702560424805,0.95610726
200,-0.75,-0.855777,0.14999999,10,0.4150381088256836,0.9561003
220,-0.75,-0.7788238,0.14999999,11,0.4539155960083008,0.9561107
240,-0.75,-0.77841794,0.14999999,12,0.4818756580352783,0.9561246
260,-0.75,-0.899933,0.14999999,13,0.5079324245452881,0.9561326
280,-0.75,-0.7483584,0.14999999,14,0.5497801303863525,0.9561186
300,-0.75,-0.64338946,0.14999999,15,0.5826797485351562,0.9561213
320,-0.75,-0.8326013,0.14999999,16,0.623598575592041,0.9561277
340,-0.75,-0.7821426,0.14999999,17,0.6475796699523926,0.9561171
360,-0.75,-0.5823213,0.14999999,18,0.695720911026001,0.95612526
380,-0.75,-0.53656065,0.14999999,19,0.7351202964782715,0.95614004
400,-0.75,-0.7298388,0.14999999,20,0.7695479393005371,0.9561302
420,-0.75,-0.63738716,0.14999999,21,0.7990648746490479,0.9561332
440,-0.75,-0.70955914,0.14999999,22,0.8237600326538086,0.9561371
460,-0.75,-0.6919261,0.14999999,23,0.8447706699371338,0.9561448
480,-0.75,-0.73370415,0.14999999,24,0.8664324283599854,0.95613843
500,-0.75,-0.79184365,0.14999999,25,0.8917315006256104,0.9561307
520,-0.75,-0.8369254,0.14999999,26,0.9292998313903809,0.9561221
540,-0.75,-0.6636877,0.14999999,27,0.9621486663818359,0.9561187
560,-0.75,-0.7968107,0.14999999,28,0.984581470489502,0.95612293
580,-0.75,-0.7896774,0.14999999,29,1.0075209140777588,0.95612794
600,-0.75,-0.6901322,0.14999999,30,1.032304286956787,0.9561317
620,-0.75,-0.39812732,0.14999999,31,1.060682773590088,0.95613295
640,-0.75,-0.4564127,0.14999999,32,1.0931816101074219,0.9561434
660,-0.75,-0.5606718,0.14999999,33,1.1143898963928223,0.95614094
680,-0.75,-0.5781597,0.14999999,34,1.138075828552246,0.95614016
700,-0.75,-0.9034906,0.14999999,35,1.16237473487854,0.95613074
720,-0.75,-0.6924313,0.14999999,36,1.185988426208496,0.95613086
740,-0.75,-0.41720477,0.14999999,37,1.2065861225128174,0.956131
760,-0.75,-0.53347385,0.14999999,38,1.2252452373504639,0.9561357
780,-0.75,-0.7049142,0.14999999,39,1.2476396560668945,0.95613766
800,-0.75,-0.7021943,0.14999999,40,1.2678005695343018,0.9561418
820,-0.75,-0.7277175,0.14999999,41,1.2941668033599854,0.9561446
840,-0.75,-0.7099354,0.14999999,42,1.316516637802124,0.9561477
860,-0.75,-0.68104416,0.14999999,43,1.3469359874725342,0.9561417
880,-0.75,-0.7623446,0.14999999,44,1.377511978149414,0.9561464
900,-0.75,-0.9563249,0.14999999,45,1.3988633155822754,0.9561481
920,-0.75,-0.60500854,0.14999999,46,1.4203565120697021,0.95614475
940,-0.75,-0.613327,0.14999999,47,1.4413478374481201,0.95613885
960,-0.75,-0.8789425,0.14999999,48,1.4641811847686768,0.9561333
980,-0.75,-1.0234424,0.14999999,49,1.492100477218628,0.9561333
1000,-0.75,-0.85586137,0.14999999,50,1.5202562808990479,0.95613587
1020,-0.75,-0.6745405,0.14999999,51,1.5426111221313477,0.9561366
1040,-0.75,-0.67599094,0.14999999,52,1.5656523704528809,0.9561379
1060,-0.75,-0.7474045,0.14999999,53,1.5978925228118896,0.95613456
1080,-0.75,-0.78485453,0.14999999,54,1.6223039627075195,0.9561394
1100,-0.75,-0.57135713,0.14999999,55,1.6508967876434326,0.956141
1120,-0.75,-1.0081936,0.14999999,56,1.6771256923675537,0.9561389
1140,-0.75,-0.54611313,0.14999999,57,1.7108936309814453,0.95613855
1160,-0.75,-0.68975484,0.14999999,58,1.7316622734069824,0.95614296
1180,-0.75,-0.54713506,0.14999999,59,1.7540383338928223,0.9561418
1200,-0.75,-0.71318823,0.14999999,60,1.793508768081665,0.9561439
1220,-0.75,-0.4761203,0.14999999,61,1.8164072036743164,0.95614666
1240,-0.75,-0.8911237,0.14999999,62,1.8410260677337646,0.9561486
1260,-0.75,-0.6220373,0.14999999,63,1.863863468170166,0.95614725
1280,-0.75,-0.69618404,0.14999999,64,1.8867485523223877,0.95614636
1300,-0.75,-0.7066604,0.14999999,65,1.9114482402801514,0.9561489
1320,-0.75,-0.90153265,0.14999999,66,1.9405419826507568,0.9561528
1340,-0.75,-0.48475584,0.14999999,67,1.9660427570343018,0.95615375
1360,-0.75,-0.5570774,0.14999999,68,1.987494945526123,0.9561504
1380,-0.75,-0.55770236,0.14999999,69,2.0113329887390137,0.95615053
1400,-0.75,-0.7708291,0.14999999,70,2.0366997718811035,0.956151
1420,-0.75,-0.64563483,0.14999999,71,2.0574381351470947,0.95614463
1440,-0.75,-0.8055545,0.14999999,72,2.085317611694336,0.956146
1460,-0.75,-0.7291356,0.14999999,73,2.111194372177124,0.95614415
1480,-0.75,-0.54640377,0.14999999,74,2.137436866760254,0.9561486
1500,-0.75,-0.7018087,0.14999999,75,2.163017988204956,0.95614827
1520,-0.75,-0.71877265,0.14999999,76,2.1868419647216797,0.9561515
1540,-0.75,-0.86621034,0.14999999,77,2.2112789154052734,0.9561498
1560,-0.75,-0.7204219,0.14999999,78,2.236562490463257,0.9561516
1580,-0.75,-0.6797663,0.14999999,79,2.2628302574157715,0.9561532
1600,-0.75,-1.0653415,0.14999999,80,2.292935371398926,0.95615023
1620,-0.75,-0.8105852,0.14999999,81,2.315316915512085,0.95614547
1640,-0.75,-0.5448354,0.14999999,82,2.338533639907837,0.9561481
1660,-0.75,-0.99442315,0.14999999,83,2.3668904304504395,0.9561479
1680,-0.75,-0.63438994,0.14999999,84,2.3933334350585938,0.9561454
1700,-0.75,-0.8193727,0.14999999,85,2.41603946685791,0.95614374
1720,-0.75,-0.8327066,0.14999999,86,2.4523072242736816,0.95614445
1740,-0.75,-0.8659879,0.14999999,87,2.4873220920562744,0.9561429
1760,-0.75,-0.9101068,0.14999999,88,2.521942138671875,0.95613974
1780,-0.75,-0.8805824,0.14999999,89,2.5546302795410156,0.9561394
1800,-0.75,-0.5146016,0.14999999,90,2.5866355895996094,0.95613724
1820,-0.75,-0.6714711,0.14999999,91,2.6190176010131836,0.9561363
1840,-0.75,-0.71569645,0.14999999,92,2.6521048545837402,0.95613813
1860,-0.75,-0.48980188,0.14999999,93,2.6766817569732666,0.95614016
1880,-0.75,-0.6773687,0.14999999,94,2.7028908729553223,0.9561436
1900,-0.75,-0.8538386,0.14999999,95,2.7315032482147217,0.95614487
1920,-0.75,-0.59044254,0.14999999,96,2.76265287399292,0.9561453
1940,-0.75,-0.6879071,0.14999999,97,2.785552740097046,0.9561468
1960,-0.75,-0.85620713,0.14999999,98,2.8059866428375244,0.9561447
1980,-0.75,-0.6460574,0.14999999,99,2.8345205783843994,0.9561439
2000,-0.75,-0.93031096,0.14999999,100,2.8612303733825684,0.9561454
2020,-0.75,-0.9626268,0.14999999,101,2.881364583969116,0.95614445
2040,-0.75,-0.50937915,0.14999999,102,2.899069309234619,0.9561444
2060,-0.75,-0.73024184,0.14999999,103,2.919312000274658,0.95614713
2080,-0.75,-0.93713456,0.14999999,104,2.949946165084839,0.95614654
2100,-0.75,-0.9533418,0.14999999,105,2.967578649520874,0.95614445
2120,-0.75,-0.85451335,0.14999999,106,2.9849138259887695,0.95614076
2140,-0.75,-0.9423798,0.14999999,107,3.009323835372925,0.9561422
2160,-0.75,-0.78123945,0.14999999,108,3.0296194553375244,0.95613945
2180,-0.75,-0.86006093,0.14999999,109,3.052154064178467,0.95614
2200,-0.75,-0.8473776,0.14999999,110,3.0714166164398193,0.95613986
2220,-0.75,-0.7411482,0.14999999,111,3.1002514362335205,0.9561403
2240,-0.75,-0.79244596,0.14999999,112,3.123450756072998,0.95614207
2260,-0.75,-0.69140184,0.14999999,113,3.1456856727600098,0.9561408
2280,-0.75,-1.0674481,0.14999999,114,3.1694252490997314,0.95614237
2300,-0.75,-0.92879343,0.14999999,115,3.1938774585723877,0.9561412
2320,-0.75,-0.68588513,0.14999999,116,3.2180392742156982,0.9561422
2340,-0.75,-0.66390914,0.14999999,117,3.2501637935638428,0.9561427
2360,-0.75,-0.83931434,0.14999999,118,3.2741079330444336,0.9561425
2380,-0.75,-0.2840489,0.14999999,119,3.294215440750122,0.9561421
2400,-0.75,-0.63700867,0.14999999,120,3.3176960945129395,0.95614064
2420,-0.75,-0.62664235,0.14999999,121,3.3481428623199463,0.9561408
2440,-0.75,-0.604741,0.14999999,122,3.372098922729492,0.95614237
2460,-0.75,-0.8996486,0.14999999,123,3.393238067626953,0.95614266
2480,-0.75,-0.94388676,0.14999999,124,3.417066812515259,0.9561409
2500,-0.75,-0.8596939,0.14999999,125,3.4396212100982666,0.95613974
2520,-0.75,-0.66276985,0.14999999,126,3.4692022800445557,0.956138
2540,-0.75,-0.9073446,0.14999999,127,3.4950082302093506,0.9561392
2560,-0.75,-0.9764661,0.14999999,128,3.5188002586364746,0.9561387
2580,-0.75,-0.75298756,0.14999999,129,3.5454494953155518,0.9561383
2600,-0.75,-0.6415889,0.14999999,130,3.570326566696167,0.9561386
2620,-0.75,-0.91451967,0.14999999,131,3.6030688285827637,0.9561387
2640,-0.75,-0.75210667,0.14999999,132,3.6338284015655518,0.95613736
2660,-0.75,-1.0012649,0.14999999,133,3.65651798248291,0.956137
2680,-0.75,-0.668758,0.14999999,134,3.682114839553833,0.9561351
2700,-0.75,-0.8497189,0.14999999,135,3.7092020511627197,0.9561365
2720,-0.75,-0.7249753,0.14999999,136,3.7349438667297363,0.95613706
2740,-0.75,-0.7058416,0.14999999,137,3.7601990699768066,0.956137
2760,-0.75,-0.6691639,0.14999999,138,3.785618543624878,0.9561375
2780,-0.75,-0.5460228,0.14999999,139,3.8167340755462646,0.95613813
2800,-0.75,-0.64038783,0.14999999,140,3.8491249084472656,0.956139
2820,-0.75,-0.9059423,0.14999999,141,3.880197286605835,0.95613945
2840,-0.75,-0.48862228,0.14999999,142,3.908853769302368,0.9561402
2860,-0.75,-0.6903529,0.14999999,143,3.9372200965881348,0.9561424
