Iteration,TimestepsSoFar,ReturnMean,TimeElapsed,LQGsigma_higher,LQGmu1_actor,LQGmu1_higher
1,20,0.95602334,0.0680549144744873,0.14999999,-0.672906,-0.78
2,40,0.95602036,0.1798405647277832,0.14999999,-0.74975055,-0.78
3,60,0.9561043,0.2134227752685547,0.14999999,-0.90667945,-0.78
4,80,0.95612884,0.24250268936157227,0.14999999,-0.8396561,-0.78
5,100,0.95610464,0.2690694332122803,0.14999999,-0.71932316,-0.78
6,120,0.9560835,0.3062551021575928,0.14999999,-0.8917101,-0.78
7,140,0.95611084,0.34955334663391113,0.14999999,-0.84909016,-0.78
8,160,0.9561008,0.3840601444244385,0.14999999,-0.8190295,-0.78
9,180,0.9560954,0.4195675849914551,0.14999999,-0.5686851,-0.78
10,200,0.9560897,0.4609415531158447,0.14999999,-0.885777,-0.78
11,220,0.9560997,0.49810194969177246,0.14999999,-0.80882376,-0.78
12,240,0.9561128,0.5333781242370605,0.14999999,-0.8084179,-0.78
13,260,0.9561204,0.5724794864654541,0.14999999,-0.92993295,-0.78
14,280,0.95610374,0.6068978309631348,0.14999999,-0.7783584,-0.78
15,300,0.95610654,0.6525185108184814,0.14999999,-0.67338943,-0.78
16,320,0.9561142,0.6881759166717529,0.14999999,-0.8626013,-0.78
17,340,0.9561024,0.7298665046691895,0.14999999,-0.81214255,-0.78
18,360,0.95611066,0.7711260318756104,0.14999999,-0.61232126,-0.78
19,380,0.9561264,0.815443754196167,0.14999999,-0.5665606,-0.78
20,400,0.9561173,0.8550591468811035,0.14999999,-0.75983876,-0.78
21,420,0.9561202,0.8910918235778809,0.14999999,-0.6673871,-0.78
22,440,0.9561241,0.9222791194915771,0.14999999,-0.7395591,-0.78
23,460,0.95613164,0.959542989730835,0.14999999,-0.7219261,-0.78
24,480,0.95612526,0.9892797470092773,0.14999999,-0.7637041,-0.78
25,500,0.9561176,1.0249111652374268,0.14999999,-0.8218436,-0.78
26,520,0.95610917,1.0570170879364014,0.14999999,-0.86692536,-0.78
27,540,0.95610493,1.0857443809509277,0.14999999,-0.6936877,-0.78
28,560,0.95610875,1.1191480159759521,0.14999999,-0.82681066,-0.78
29,580,0.9561138,1.1581425666809082,0.14999999,-0.81967735,-0.78
30,600,0.9561173,1.215705394744873,0.14999999,-0.7201322,-0.78
31,620,0.9561189,1.2519984245300293,0.14999999,-0.4281273,-0.78
32,640,0.9561297,1.2808167934417725,0.14999999,-0.48641267,-0.78
33,660,0.956128,1.3124830722808838,0.14999999,-0.5906718,-0.78
34,680,0.95612794,1.3419017791748047,0.14999999,-0.60815966,-0.78
35,700,0.95611876,1.3714618682861328,0.14999999,-0.9334906,-0.78
36,720,0.95611835,1.3979980945587158,0.14999999,-0.72243124,-0.78
37,740,0.9561184,1.427110195159912,0.14999999,-0.44720474,-0.78
38,760,0.95612353,1.457789421081543,0.14999999,-0.5634738,-0.78
39,780,0.9561262,1.4851815700531006,0.14999999,-0.7349142,-0.78
40,800,0.9561306,1.5112800598144531,0.14999999,-0.73219424,-0.78
41,820,0.9561334,1.539621353149414,0.14999999,-0.7577175,-0.78
42,840,0.9561365,1.5663530826568604,0.14999999,-0.7399354,-0.78
43,860,0.95613116,1.5955755710601807,0.14999999,-0.71104413,-0.78
44,880,0.9561359,1.6293792724609375,0.14999999,-0.79234457,-0.78
45,900,0.9561372,1.6581449508666992,0.14999999,-0.98632485,-0.78
46,920,0.95613307,1.6868455410003662,0.14999999,-0.6350085,-0.78
47,940,0.956128,1.7133100032806396,0.14999999,-0.643327,-0.78
48,960,0.9561231,1.7456755638122559,0.14999999,-0.90894246,-0.78
49,980,0.9561232,1.7715916633605957,0.14999999,-1.0534424,-0.78
50,1000,0.9561253,1.7999777793884277,0.14999999,-0.88586134,-0.78
51,1020,0.9561259,1.834439754486084,0.14999999,-0.7045405,-0.78
52,1040,0.95612717,1.864335298538208,0.14999999,-0.7059909,-0.78
