DenMISELogLast,MISE,LQGmu1,IWNorm1,SqrtESSClassic,IWLastEpisode,IWMean,TimeElapsed,TimestepsSoFar,Iteration,target_sum_log_mean,ReturnAbsMax,LQGmu01,DenMISEMeanLog,ReturnMin,IWMax,Bound,ReturnMax,ReturnMean,IWFirstEpisode,ReturnLastEpisode,IWNorm2,ExplorationBonus,DenMISELogFirst,LQGsigma,IWMin,ReturnStepMax,URet
17.102016,,-0.7615942,1e-10,1.0,,,0.1509087085723877,20,1,-370.54578,15.644508,-0.09966799,17.102016,,,31.289017,15.644508,15.644508,,15.644508,1e-10,31.289017,17.102016,0.11,,0.99262077,17.332240856619556
-0.67166364,16.855427,-0.7615942,2.0,1.0,2.0,1.0,2.9124419689178467,40,2,-185.26215,16.855427,-0.09966799,7.8686028,,2.0,50.56628,16.855427,16.249968,,16.855427,2.0,33.710854,16.408869,0.11,,0.99991167,18.624585257813106
10.233627,17.007404,-0.7615942,3.0,1.4142137,1.5,1.0,3.048976182937622,60,3,-119.96173,17.159382,-0.09966799,8.617683,,1.5,41.274433,17.159382,16.553106,,17.159382,2.1213202,24.267029,16.003405,0.11,,0.9999575,18.93979465947812
