URet,IWMin,Bound,target_sum_log_mean,LQGmu01,DenMISEMeanLog,ReturnAbsMax,ReturnMin,LQGmu1,ReturnMean,IWMean,TimeElapsed,MISE,DenMISELogLast,IWNorm1,IWMax,DenMISELogFirst,Iteration,ReturnMax,IWLastEpisode,ExplorationBonus,TimestepsSoFar,IWNorm2,ReturnLastEpisode,IWFirstEpisode,LQGsigma,ReturnStepMax,SqrtESSClassic
18.308097041542947,,35.712067,-472.60464,-1.0,15.211179,16.619843,,-1.0,15.508158,1.0000004,3.4724555015563965,16.521128,16.11548,19.000008,6.333336,17.621208,19,16.619843,6.333336,19.19094,380,10.96966,16.593172,,0.11,0.9999798,1.7320508
18.30852359624506,,33.160923,-448.12622,-1.0,15.212725,16.619843,,-1.0,15.562798,1.0,3.562993288040161,16.54108,15.353657,20.0,5.0,17.569914,20,16.619843,5.0,16.619843,400,10.0,16.600954,,0.11,0.9999798,2.0
18.32038752072073,,31.419594,-425.97903,-1.0,15.223852,16.619843,,-1.0,15.612541,1.0000002,3.654733896255493,16.554354,15.5296335,21.000004,4.200003,17.521124,21,16.619843,4.1999993,14.865239,420,9.391487,16.607426,,0.11,0.9999798,2.236068
18.27670795038554,,30.126648,-406.00314,-1.0,15.083022,16.619843,,-1.0,15.655967,1.0,3.749190092086792,16.556602,12.190897,22.0,3.6666703,17.474604,22,16.619843,3.6666667,13.5700445,440,8.9814625,16.567871,,0.11,0.9999798,2.4494898
18.19648562173176,,29.111902,-388.00143,-1.0,14.722616,16.619843,,-1.0,15.692654,1.0,3.838060140609741,16.548481,6.846703,23.0,3.2857165,17.430153,23,16.619843,3.2857149,12.563421,460,8.693183,16.499748,,0.11,0.9999798,2.6457512
18.350533589760403,,28.325195,-371.0957,-1.0,14.800557,16.638826,,-1.0,15.732076,0.9999997,3.930675506591797,16.559769,16.637371,23.999992,3.0000014,17.387592,24,16.638826,2.9999986,11.765427,480,8.485279,16.638826,,0.11,0.9999798,2.828427
18.17470748577613,,27.642128,-355.5039,-1.0,14.914155,16.638826,,-1.0,15.761514,0.9999998,4.024810075759888,16.549578,17.677996,24.999996,2.7777805,17.346771,25,16.638826,2.7777753,11.092551,500,8.333332,16.468035,,0.11,0.9999798,3.0
18.22233717978793,,27.350271,-341.17398,-1.0,14.953386,16.638826,,-1.0,15.790476,1.0162733,4.12389063835144,16.814817,15.9664135,26.423103,3.0231128,17.30755,26,16.638826,3.0231128,10.535454,520,8.3653555,16.514511,,0.11,0.9999798,3.158635
18.285273761989014,,26.8098,-327.77945,-1.0,15.124274,16.638826,,-1.0,15.819556,1.0132531,4.258985757827759,16.767632,19.580847,27.357834,2.8123794,17.26981,27,16.638826,2.4545455,10.042169,540,8.25575,16.575645,,0.11,0.9999798,3.3137915
18.383082534288988,,26.368814,-315.49484,-1.0,15.131631,16.6663,,-1.0,15.849797,1.0110024,4.380551815032959,16.740255,15.342939,28.308067,2.6414065,17.233442,28,16.6663,2.3333328,9.628559,560,8.177156,16.6663,,0.11,0.9999798,3.4618473
18.190563272467813,,25.959599,-303.95837,-1.0,15.238959,16.6663,,-1.0,15.871721,1.0095184,4.500381231307983,16.710129,18.25614,29.276031,2.499913,17.19835,29,16.6663,2.2376487,9.24947,580,8.123812,16.485601,,0.11,0.9999798,3.603731
18.371446889965483,,25.606916,-293.461,-1.0,15.070685,16.6663,,-1.0,15.8979225,1.0081385,4.623859405517578,16.69483,10.201675,30.244158,2.3808746,17.16445,30,16.6663,2.1428576,8.9120865,600,8.086334,16.657751,,0.11,0.9999798,3.740157
18.27135988042317,,25.2858,-283.65286,-1.0,14.902462,16.6663,,-1.0,15.919276,1.0070353,4.749729156494141,16.676573,9.8659525,31.218094,2.2793422,17.13166,31,16.6663,2.066566,8.609227,620,8.063087,16.559906,,0.11,0.9999798,3.8717296
18.232300777858637,,24.995142,-274.31744,-1.0,14.88603,16.6663,,-1.0,15.938265,1.0061451,4.8753581047058105,16.659782,14.386214,32.196644,2.191721,17.09991,32,16.6663,2.000001,8.33536,640,8.051295,16.526918,,0.11,0.9999798,3.9989398
18.253270140599444,,24.73288,-265.47626,-1.0,14.943106,16.6663,,-1.0,15.956573,1.0054133,5.0198986530303955,16.646759,16.778465,33.17864,2.115329,17.06914,33,16.6663,1.9411757,8.08612,660,8.048771,16.542387,,0.11,0.9999798,4.1221995
18.254579508503806,,24.494297,-257.1209,-1.0,15.031854,16.6663,,-1.0,15.974011,1.0048051,5.140459775924683,16.63628,17.968918,34.163372,2.0481443,17.039286,34,16.6663,1.8888879,7.858017,680,8.053868,16.549501,,0.11,0.9999798,4.241859
18.262480185460138,,24.27598,-249.23767,-1.0,15.121645,16.6663,,-1.0,15.990625,1.0042939,5.266901254653931,16.627764,18.182348,35.150288,1.9885895,17.010298,35,16.6663,1.8421042,7.648216,700,8.065287,16.55551,,0.11,0.9999798,4.358219
18.358266268698603,,24.079521,-241.912,-1.0,15.08745,16.6663,,-1.0,16.008865,1.0038608,5.392162799835205,16.625132,13.8979025,36.13899,1.9354416,16.982128,36,16.6663,1.8,7.4543886,720,8.082,16.647272,,0.11,0.9999798,4.4715405
18.37626134128336,,23.89824,-235.00948,-1.0,15.028563,16.6663,,-1.0,16.02643,1.0034893,5.519294261932373,16.623634,12.915558,37.1291,1.8877174,16.95473,37,16.6663,1.7619052,7.274604,740,8.103163,16.658777,,0.11,0.9999798,4.5820503
18.225258049310582,,23.723873,-228.38564,-1.0,15.0578985,16.6663,,-1.0,16.039637,1.0031692,5.657698392868042,16.616632,16.149765,38.12043,1.8446251,16.92806,38,16.6663,1.7272717,7.10724,760,8.12811,16.528217,,0.11,0.9999798,4.68995
18.240875346718745,,23.561834,-222.0776,-1.0,15.110101,16.6663,,-1.0,16.052416,1.0028915,5.792585134506226,16.610905,17.099909,39.11277,1.8055205,16.902084,39,16.6663,1.6956508,6.950929,780,8.156282,16.538069,,0.11,0.9999798,4.7954164
