TimestepsSoFar,ReturnMean,target_sum_log_mean,IWLastEpisode,IWMin,DenMISELogLast,LQGsigma,TimeElapsed,ExplorationBonus,IWNorm2,IWMean,ReturnMin,MISE,IWFirstEpisode,DenMISELogFirst,IWMax,DenMISEMeanLog,Iteration,LQGmu01,ReturnAbsMax,ReturnLastEpisode,ReturnMax,LQGmu1,SqrtESSClassic,Bound,IWNorm1,URet,ReturnStepMax
360,11.242961,-91.45743,0.023947746,,10.013453,0.11,15.304291248321533,35.77948,2.987937,0.16732161,,1.514873,,11.064485,2.9878411,11.363224,18,0.011111111,15.378209,9.026381,15.378209,0.11111111,1.0079827,37.294353,3.0117888,9.914906230309958,0.99960953
380,11.125778,-49.00563,,,15.580088,0.11,16.125497817993164,20.910418,13.1372,1.1607349,,14.200916,1.0050396e-09,11.010417,9.278725,11.542096,19,-0.0030303032,15.378209,9.016499,15.378209,-0.030303031,1.6787415,35.111336,22.053963,9.90266941588957,0.99960953
400,11.239401,-172.47641,,,4.107176,0.11,17.002066612243652,34.101856,4.6951295e-15,2.355309e-16,,2.1324397e-15,,10.959124,4.6951036e-15,11.170382,20,0.015151516,15.378209,13.398236,15.378209,0.15151516,1.0032989,34.101856,4.7106183e-15,14.836398574195396,0.99960953
420,11.128671,-119.79004,86.86991,,-3.5670023,0.11,17.92154097557068,33.389782,86.86991,4.1366634,,36.874523,,10.910334,86.86991,10.422133,21,0.013131313,15.378209,8.914073,15.378209,0.13131313,1.0000002,70.264305,86.869934,9.789216368044189,0.99960953
440,11.027897,-113.92876,10.672074,,6.790896,0.11,18.780020475387573,23.766949,20.683023,1.2904166,,11.501685,,10.863813,17.717062,10.287054,22,0.013131313,15.378209,8.911635,15.378209,0.13131313,1.3725829,35.268635,28.389164,9.788187759421556,0.99960953
460,10.936538,-168.58846,,,15.068284,0.11,19.690041303634644,15.650274,12.673959,1.1233675,,16.7979,1.3432266e-37,10.819362,6.556675,10.495294,23,-0.0070707067,15.378209,8.92662,15.378209,-0.07070707,2.0386255,32.448174,25.837454,9.80501442284618,0.99960953
480,11.075893,-85.201324,6.960819,,-11.083866,0.11,20.566112279891968,14.025377,15.622943,1.449622,,18.766714,1.269525e-09,10.776802,7.951952,9.596821,24,-0.0030303032,15.378209,14.281077,15.378209,-0.030303031,2.2269125,32.79209,34.790928,15.843742432784211,0.99960953
500,11.124445,-39.188942,2.0239873e-32,,14.295608,0.11,21.532317876815796,17.62138,21.626564,1.5023148,,13.687094,3.645707e-19,10.73598,12.499304,9.796502,25,0.0070707067,15.378209,12.28969,15.378209,0.07070707,1.7366545,31.308474,37.55787,13.57176838862468,0.99960953
520,11.047255,-29.630577,39.336273,,1.6601074,0.11,22.43826961517334,27.16683,39.485634,1.6775036,,15.28779,3.7236937e-08,10.696759,39.336273,9.492746,26,0.005050505,15.378209,9.117506,15.378209,0.05050505,1.1045814,42.45462,43.615093,10.009188168385656,0.99960953
540,10.976777,-27.850906,25.478573,,15.18263,0.11,23.349411249160767,19.554806,30.387737,1.694816,,15.4718,3.8669064e-08,10.659019,25.478573,9.707066,27,0.005050505,15.378209,9.144384,15.378209,0.05050505,1.5058717,35.026604,45.760033,10.043857915773566,0.99960953
