ReturnMean,MISE,TimestepsSoFar,DenMISELogFirst,LQGsigma,target_sum_log_mean,DenMISELogLast,ExplorationBonus,ReturnAbsMax,IWMean,IWNorm2,LQGmu01,Bound,ReturnMin,LQGmu1,IWLastEpisode,ReturnMax,IWFirstEpisode,TimeElapsed,ReturnStepMax,Iteration,DenMISEMeanLog,URet,IWMin,IWNorm1,SqrtESSClassic,IWMax,ReturnLastEpisode
9.380901,9.420896,20,12.845262,0.11,12.849516,12.845262,18.761803,9.380901,1.0042634,1.0042634,0.001010101,28.182697,,0.01010101,1.0042634,9.380901,1.0042634,0.04822134971618652,0.55877954,1,12.845262,10.303278693899255,,1.0042634,1.0,1.0042634,9.380901
9.315305,123.44896,40,12.847391,0.11,13.243401,14.755722,18.753178,9.380901,13.346168,26.680063,0.0030303032,142.20213,,0.030303031,26.680061,9.380901,0.012274523,1.7193081378936768,0.55877954,2,13.801557,10.166394052361602,,26.692335,1.0004599,26.680061,9.249708
9.271588,17.828402,60,12.448045,0.11,15.828861,19.903095,13.233071,9.380901,1.9344424,4.0932016,0.0030303032,31.061474,,0.030303031,2.9942307,9.380901,0.018299472,2.391221761703491,0.55877954,3,16.454817,10.085677680633932,,5.803327,1.4177965,2.9942307,9.184156
9.266199,13.624658,80,12.166444,0.11,16.298954,17.038534,10.789099,9.380901,1.4764196,3.3960993,0.0030303032,24.413757,,0.030303031,1.9556059,9.380901,0.024251372,3.235934019088745,0.55877954,4,16.723965,10.15268805296383,,5.9056783,1.7389592,1.9980755,9.2500305
9.248004,5.0521975,100,11.949345,0.11,14.152601,17.106453,17.145267,9.380901,0.5394421,2.4648163,0.001010101,22.197464,,0.01010101,0.13515884,9.380901,2.4600244,4.283367872238159,0.55877954,5,16.862463,10.07552934482122,,2.6972106,1.0942847,2.4600244,9.175225
9.241142,14.787572,120,12.167144,0.11,15.588589,10.141308,8.372882,9.380901,1.604926,4.2974086,0.0030303032,23.160454,,0.030303031,1.8806412,9.380901,0.024234401,5.124021768569946,0.55877954,6,15.664851,10.111530156621239,,9.629556,2.240782,1.9980564,9.206833
9.23224,13.464686,140,12.017024,0.11,15.473485,14.240186,7.6401234,9.380901,1.4622754,4.168243,0.0030303032,21.104809,,0.030303031,1.7206001,9.380901,0.02815973,5.986070394515991,0.55979556,7,15.528163,10.090698711314747,,10.235928,2.4556937,1.7487226,9.178826
9.272421,2.6912688e-19,160,11.887507,0.11,-41.90102,18.9792,19.102915,9.553689,2.9303355e-20,2.343721e-19,0.00909091,19.102915,,0.09090909,7.180039e-32,9.553689,3.383761e-35,6.841094255447388,0.57715887,8,16.00637,10.522380419794905,,2.3442684e-19,1.0002337,2.343721e-19,9.553689
9.245237,9.02776,180,11.769725,0.11,-34.950203,18.459099,19.107378,9.553689,0.99999905,8.999991,0.00909091,28.135138,,0.09090909,8.999991,9.553689,3.8067294e-35,7.7263407707214355,0.57715887,9,16.1742,9.916071030933145,,8.999991,1.0,8.999991,9.027768
9.225966,32.630882,200,11.664364,0.11,-6.336602,14.108212,19.081758,9.553689,3.6046271,35.99794,0.0070707067,51.71264,,0.07070707,35.997906,9.553689,1.4407553e-19,8.588279962539673,0.57715887,10,15.94209,9.942488386284762,,36.046272,1.0013427,35.997906,9.052531
9.210813,16.180878,220,11.569054,0.11,-4.1243196,15.601313,13.573931,9.553689,1.7867112,13.962128,0.0070707067,29.754808,,0.07070707,10.992288,9.553689,1.5848248e-19,9.664085149765015,0.57715887,11,15.963632,9.950903706066939,,19.653824,1.4076525,10.992288,9.059275
9.198646,13.077675,240,11.482042,0.11,-2.2934577,16.054327,11.014891,9.553689,1.4436055,9.986399,0.0070707067,24.092566,,0.07070707,5.999634,9.553689,1.728903e-19,10.54456353187561,0.57715887,12,15.997737,9.955806686793586,,17.323267,1.7346861,5.999634,9.064808
9.187017,4.9062834,260,11.401999,0.11,-20.699413,13.971222,17.398258,9.553689,0.5433317,6.431512,0.00909091,22.304543,,0.09090909,0.10365014,9.553689,5.498591e-35,11.433521032333374,0.57715887,13,15.858697,9.937735677900877,,7.063312,1.0982351,6.4070377,9.047476
