DenMISEMeanLog,TimeElapsed,IWMean,Bound,IWFirstEpisode,LQGsigma,LQGmu01,MISE,SqrtESSClassic,ReturnMin,ReturnMean,DenMISELogLast,ExplorationBonus,ReturnLastEpisode,IWLastEpisode,DenMISELogFirst,ReturnMax,Iteration,ReturnAbsMax,ReturnStepMax,LQGmu1,IWNorm1,target_sum_log_mean,IWMin,URet,IWNorm2,TimestepsSoFar,IWMax
14.549136,17.595330715179443,0.64806277,54.345177,,0.11,-0.017171716,10.835096,1.0644486,,11.736624,12.395281,43.51008,16.751677,12.149485,12.248757,16.751677,20,16.751677,0.99989754,-0.17171717,12.961255,-258.3374,,18.511115954767416,12.1764965,400,12.149485
14.485759,18.57050371170044,1.0531725,49.128822,,0.11,-0.017171716,17.485567,1.4211926,,11.965212,13.679586,31.643257,16.53696,13.361388,12.199966,16.751677,21,16.751677,0.9999899,-0.17171717,22.116623,-245.26074,,18.29075702434477,15.5620165,420,13.361388
14.190399,19.45688009262085,1.4110163,45.143295,6.2708686e-22,0.11,-0.005050505,19.79944,1.7287693,,12.176543,8.1135025,25.343855,16.614498,1.6380877e-09,12.153447,16.751677,22,16.751677,0.9999899,-0.05050505,31.042358,-15.98099,,18.36716658171741,17.956333,440,10.888205
14.043423,20.223467350006104,1.3475766,44.0286,,0.11,-0.015151516,22.27214,1.9674063,,12.269291,10.632005,21.756458,14.309748,5.2940943e-22,12.108995,16.751677,23,16.751677,0.9999899,-0.15151516,30.994263,-173.60204,,15.833144323124458,15.75387,460,9.4286
13.788167,20.959675788879395,1.2637339,43.497887,,0.11,-0.011111111,20.276094,1.8049194,,12.424721,7.738456,23.221792,15.999617,9.480256,12.066436,16.751677,24,16.751677,0.9999899,-0.11111111,30.329613,-85.090294,,17.720568529473706,16.80386,480,10.000625
13.802307,21.84245753288269,1.5168817,40.611786,0.0053655314,0.11,-0.001010101,16.422285,1.6999723,,12.561331,14.052091,24.1895,15.839933,4.2869666e-12,12.025614,16.751677,25,16.751677,0.9999899,-0.01010101,37.922043,-1.2103099,,17.52526713145375,22.307447,500,15.83433
13.396116,22.727606296539307,2.2387414,68.43371,3.7864292e-10,0.11,-0.0030303032,30.703432,1.0710615,,12.605204,2.9982867,37.730274,13.702035,54.298252,11.986608,16.751677,26,16.751677,0.9999899,-0.030303031,58.207275,-3.5724638,,15.161819236102566,54.34541,520,54.298252
13.491475,23.634456157684326,1.3945539,44.55391,3.9320552e-10,0.11,-0.0030303032,19.128563,1.564208,,12.645406,15.677732,25.425348,13.690693,15.5294285,11.948867,16.751677,27,16.751677,0.9999899,-0.030303031,37.652954,-2.7579107,,15.177325920341167,24.071577,540,18.257593
13.536584,24.57302975654602,1.2324526,38.551617,,0.11,-0.011111111,19.713118,2.0802355,,12.6820965,14.625633,18.8385,13.672712,5.0032534e-15,11.912499,16.751677,28,16.751677,0.9999899,-0.11111111,34.508675,-74.83162,,15.148742995661005,16.58883,560,8.916125
13.275642,25.59645366668701,1.3402864,51.143707,,0.11,-0.00909091,20.93901,1.2798378,,12.780346,5.8665566,30.204699,15.531352,29.893347,11.877408,16.751677,29,16.751677,0.9999899,-0.09090909,38.868305,-45.035847,,17.226460487297103,30.36971,580,29.893347
13.288114,26.491183757781982,1.0901325,38.61647,,0.11,-0.00909091,17.15233,1.7782956,,12.884045,13.630635,21.464142,15.891293,9.090575,11.843507,16.751677,30,16.751677,0.9999899,-0.09090909,32.703976,-43.006725,,17.594033807207328,18.390629,600,15.22753
13.120807,27.454329013824463,1.2735454,36.67842,0.034611996,0.11,0.0030303032,11.771214,1.514436,,12.987891,8.142775,24.90721,16.103298,3.7008676e-22,11.810717,16.751677,31,16.751677,0.9999899,0.030303031,39.479908,-17.347301,,17.827539938502397,26.06905,620,21.767532
13.013163,28.43921732902527,1.2179496,36.070427,4.6550253e-10,0.11,-0.0030303032,16.700804,1.9259448,,12.875211,9.641213,19.369621,9.382107,1.3815525e-15,11.780084,16.751677,32,16.751677,0.9999899,-0.030303031,38.97439,-2.7139144,,10.294784057019166,20.236504,640,12.909277
13.009057,29.39557647705078,1.3359929,34.85234,9.393779e-22,0.11,-0.005050505,18.792685,2.2988682,,12.866619,12.806369,16.059654,12.591679,0.011289665,11.749312,16.751677,33,16.751677,0.9999899,-0.05050505,44.08777,-9.983783,,13.928614390476959,19.178032,660,9.678796
13.040538,30.334635734558105,0.9734025,34.447605,,0.11,-0.015151516,16.093058,1.9918598,,12.921551,13.871706,18.354548,14.734305,5.2366397e-18,11.71946,16.751677,34,16.751677,0.9999899,-0.15151516,33.095684,-138.83571,,16.347389196376096,16.615469,680,9.762581
12.799789,31.284281253814697,1.0091058,32.82682,,0.11,-0.015151516,16.641232,2.238038,,13.0196495,4.72888,16.18559,16.355038,7.917833,11.690472,16.751677,35,16.751677,0.9999899,-0.15151516,35.318703,-134.67474,,18.10333252096503,15.781099,700,7.917833
12.833027,32.27986216545105,1.182684,32.68187,,0.11,-0.011111111,18.91558,2.6085074,,13.103202,14.062698,13.766289,16.027515,0.87508917,11.662301,16.751677,36,16.751677,0.9999899,-0.11111111,42.576622,-64.28884,,17.746899876024532,16.322216,720,7.37428
12.739479,33.2273223400116,1.1816806,32.845116,,0.11,-0.015151516,19.407246,2.6502767,,13.193965,9.2670145,13.437868,16.46141,6.868637,11.634902,16.751677,37,16.751677,0.9999899,-0.15151516,43.72218,-126.66393,,18.202021276022307,16.497213,740,6.868637
12.773233,34.21649479866028,1.2829897,32.036453,1.0817083e-21,0.11,-0.005050505,18.178614,2.5498903,,13.261415,13.916539,13.857839,15.757078,1.0065073e-05,11.608233,16.751677,38,16.751677,0.9999899,-0.05050505,48.75361,-9.167487,,17.456890620644636,19.119884,760,8.617723
12.796132,35.21054005622864,4.4183585e-12,31.558327,1.5640384e-19,0.11,0.0070707067,4.0882648e-11,1.1113887,,13.289222,13.481433,31.558327,14.345857,4.961633e-36,11.582258,16.751677,39,16.751677,0.9999899,0.07070707,1.7231598e-10,-62.069363,,15.894302837439474,1.5504566e-10,780,1.5448572e-10
12.663275,36.19154238700867,0.9999995,43.899258,1.6041426e-19,0.11,0.0070707067,9.073783,1.0,,13.183835,8.469236,34.825474,9.073788,39.99998,11.55694,16.751677,40,16.751677,0.9999899,0.07070707,39.99998,-60.213673,,9.964271753088951,39.99998,800,39.99998
12.535758,37.21912932395935,0.4876167,37.44134,1.6148284e-08,0.11,0.005050505,4.419387,1.0474991,,13.083318,7.729609,33.021954,9.062584,19.063843,11.532248,16.751677,41,16.751677,0.9999899,0.05050505,19.992285,-36.506504,,9.952740775107308,19.085732,820,19.063843
12.620955,38.23125624656677,1.3065428,38.6306,1.6542144e-08,0.11,0.005050505,11.853521,1.2834649,,12.987895,16.697845,26.777077,9.075565,40.61362,11.50815,16.751677,42,16.751677,0.9999899,0.05050505,54.874794,-35.151543,,9.968078300820432,42.755196,840,40.61362
12.722846,39.32297492027283,2.2177882e-12,34.115475,,0.11,0.011111111,2.012371e-11,1.0011714,,12.897478,17.016518,34.115475,9.099955,7.2980346e-17,11.484619,16.751677,43,16.751677,0.9999899,0.11111111,9.536489e-11,-115.7354,,9.995412595843193,9.525331e-11,860,9.525325e-11
12.621466,40.3535635471344,2.9737074,60.737457,5.1802877e-35,0.11,0.00909091,26.786505,1.0000777,,12.809075,9.250654,33.950954,9.007776,130.83296,11.46163,16.751677,44,16.751677,0.9999899,0.09090909,130.84312,-80.078514,,9.893895257297057,130.83296,880,130.83296
12.566222,41.44018030166626,1.4798793,37.201447,5.298039e-35,0.11,0.00909091,13.330856,1.4143405,,12.724615,9.7444315,23.870588,9.00835,32.90927,11.4391575,16.751677,45,16.751677,0.9999899,0.09090909,66.59457,-78.00481,,9.892923829593007,47.085243,900,33.674915
12.589047,42.46030902862549,1.3404148,31.512184,5.415781e-35,0.11,0.00909091,12.084462,1.7283227,,12.644259,13.497439,19.427721,9.028293,22.528633,11.417178,16.751677,46,16.751677,0.9999899,0.09090909,61.65908,-75.947914,,9.915555383385184,35.675674,920,22.528633
12.670481,43.463799476623535,1.2202849,30.77195,1.8511416e-08,0.11,0.005050505,11.083041,1.6964716,,12.567257,16.2982,19.688908,9.025137,8.55616e-09,11.395672,16.751677,47,16.751677,0.9999899,0.05050505,57.35339,-31.783104,,9.912719913263723,33.807457,940,23.10566
12.720734,44.46013689041138,1.1810544,30.62349,,0.11,-0.011111111,18.850025,2.8227441,,12.494662,15.052359,11.773465,9.082734,,11.374619,16.751677,48,16.751677,0.9999899,-0.11111111,56.69061,-130.28584,,9.97648849359413,20.08351,960,8.293909
12.444067,45.61087465286255,1.1344181,32.687878,,0.11,-0.00909091,17.7096,2.2080157,,12.550066,-0.9479568,14.978276,15.209475,16.336275,11.353999,16.751677,49,16.751677,0.9999899,-0.09090909,55.586487,-92.57434,,16.871641723406825,25.17486,980,16.336275
12.3968315,46.61360478401184,1.1801738,31.52512,,0.11,-0.00909091,18.308586,2.490637,,12.600171,10.049106,13.216535,15.055294,12.579917,11.3337965,16.751677,50,16.751677,0.9999899,-0.09090909,59.00869,-90.47123,,16.69807532792923,23.692207,1000,12.579917
12.388952,47.70100808143616,1.3729249,30.733078,1.4517658e-21,0.11,-0.005050505,19.551548,2.9306378,,12.643906,11.903011,11.18153,14.830587,5.748163,11.313994,16.751677,51,16.751677,0.9999899,-0.05050505,70.01917,-40.140068,,16.43057389046922,23.892128,1020,9.469151
12.341954,48.6637909412384,0.7163077,29.88057,2.0853836e-19,0.11,0.0070707067,6.497528,1.3952913,,12.67746,9.661071,23.383041,14.388766,1.7465138e-36,11.294576,16.751677,52,16.751677,0.9999899,0.07070707,37.248,-51.01981,,15.92504527159673,26.695501,1040,24.3545
12.152657,49.66459536552429,1.2047772,29.680954,0.011359805,0.11,-0.001010101,13.422651,1.9982816,,12.609566,2.687095,16.258303,9.079033,3.8790954e-38,11.275528,16.751677,53,16.751677,0.9999899,-0.01010101,63.85319,-18.607162,,9.967815144278696,31.95405,1060,20.507488
