Iteration,ReturnMin,IWFirstEpisode,DenMISEMeanLog,ExplorationBonus,IWMin,URet,ReturnStepMax,IWNorm2,ReturnMean,SqrtESSClassic,LQGsigma,ReturnMax,ReturnAbsMax,IWMean,target_sum_log_mean,IWMax,MISE,LQGmu01,TimestepsSoFar,ReturnLastEpisode,DenMISELogFirst,DenMISELogLast,IWLastEpisode,TimeElapsed,IWNorm1,Bound,LQGmu1
1,,,18.60218,30.116884,,16.687925283112612,0.9625284,1e-10,15.058442,1.0,0.11,15.058442,15.058442,,-76.57809,,,0.004369636,20,15.058442,18.60218,18.60218,,0.05031180381774902,1e-10,30.116884,0.043668848
2,,2.5162354,13.344396,30.116884,,10.290801527853938,0.9625284,2.5162354,12.224554,1.0,0.11,15.058442,15.058442,1.2581177,-103.8704,2.5162354,18.945292,-0.010828753,40,9.390667,17.909033,8.779758,,1.1767539978027344,2.5162354,49.062176,-0.10787042
3,,,12.091643,17.679564,,16.991419045865758,0.998086,1.7320509e-10,13.253353,1.7320507,0.11,15.31095,15.31095,,-146.42383,,,0.013319503,60,15.31095,18.3181,9.582535,,1.3716802597045898,3e-10,17.679564,0.13242066
4,,,4.7229633,15.31095,,10.005358026243082,0.998086,2e-10,12.22019,2.0,0.11,15.31095,15.31095,,-675.7931,,,-0.040490456,80,9.1207,18.030416,-16.520027,,1.427013874053955,4e-10,15.31095,-0.3843265
5,,,-12.678742,14.73476,,18.235487417471727,0.999996,2.2360681e-10,13.070944,2.2360678,0.11,16.47396,16.47396,,-367.63657,,,0.030411271,100,16.47396,17.807274,-81.39299,,1.4900000095367432,5e-10,14.73476,0.2951574
6,,,-inf,nan,,9.83847458534976,0.999996,inf,12.388363,nan,0.11,16.47396,16.47396,inf,-327.03873,inf,inf,0.030411271,120,8.975456,17.624952,-inf,inf,1.7637288570404053,inf,nan,0.2951574
7,,,-inf,nan,,9.557579193936542,0.999996,inf,11.8617735,nan,0.11,16.47396,16.47396,inf,-277.5905,inf,inf,0.030411271,140,8.702241,17.470802,17.84599,3.5000026,1.838132619857788,inf,nan,0.2951574
8,,,-inf,nan,,9.576698576644956,0.999996,inf,11.468674,nan,0.11,16.47396,16.47396,inf,-241.13644,inf,inf,0.030411271,160,8.716972,17.33727,13.061274,2.6666665,1.9240200519561768,inf,nan,0.2951574
9,,,-inf,nan,,9.545792778580095,0.999996,inf,11.160046,nan,0.11,16.47396,16.47396,inf,-212.11716,inf,inf,0.030411271,180,8.691019,17.219486,19.226221,2.25,2.0217723846435547,inf,nan,0.2951574
10,,,-inf,nan,,9.571838946894655,0.999996,inf,10.915682,nan,0.11,16.47396,16.47396,inf,-189.51556,inf,inf,0.030411271,200,8.716397,17.114126,13.205614,2.000001,2.1234169006347656,inf,nan,0.2951574
11,,,-inf,nan,,9.554470925706148,0.999996,inf,10.713927,nan,0.11,16.47396,16.47396,inf,-170.72662,inf,inf,0.030411271,220,8.696384,17.018816,16.55667,1.8333343,2.2281556129455566,inf,nan,0.2951574
12,,,-inf,nan,,9.555868292904611,0.999996,inf,10.546123,nan,0.11,16.47396,16.47396,inf,-154.97887,inf,inf,0.030411271,240,8.700274,16.931805,17.7074,1.7142844,2.3379368782043457,inf,nan,0.2951574
13,,,-inf,nan,,9.582528650782583,0.999996,inf,10.406005,nan,0.11,16.47396,16.47396,inf,-142.19225,inf,inf,0.030411271,260,8.72459,16.851763,10.761641,1.6250002,2.4640345573425293,inf,nan,0.2951574
14,,,-inf,nan,,9.577610797432563,0.999996,inf,10.285506,nan,0.11,16.47396,16.47396,inf,-130.79178,inf,inf,0.030411271,280,8.719028,16.777655,16.972471,1.5555568,2.589831590652466,inf,nan,0.2951574
15,,,-inf,nan,,9.553035752536287,0.999996,inf,10.1798115,nan,0.11,16.47396,16.47396,inf,-120.85135,inf,inf,0.030411271,300,8.700097,16.708662,17.909124,1.5000014,2.7247426509857178,inf,nan,0.2951574
16,,,-inf,nan,,9.546201490787624,0.999996,inf,10.086744,nan,0.11,16.47396,16.47396,inf,-112.26114,inf,inf,0.030411271,320,8.690721,16.644123,16.217337,1.4545447,2.8594751358032227,inf,nan,0.2951574
17,,,-inf,nan,,9.576831178928881,0.999996,inf,10.006355,nan,0.11,16.47396,16.47396,inf,-104.597755,inf,inf,0.030411271,340,8.720136,16.583498,17.668203,1.4166666,3.0770750045776367,inf,nan,0.2951574
18,,,-inf,nan,,9.550435079393548,0.999996,inf,9.933598,nan,0.11,16.47396,16.47396,inf,-97.77276,inf,inf,0.030411271,360,8.696724,16.52634,17.926615,1.3846152,3.226970911026001,inf,nan,0.2951574
19,,,-inf,nan,,9.57892132464686,0.999996,inf,9.869845,nan,0.11,16.47396,16.47396,inf,-91.681496,inf,inf,0.030411271,380,8.722293,16.472273,17.655926,1.357143,3.379295587539673,inf,nan,0.2951574
20,,,-inf,nan,,9.55723265899307,0.999996,inf,9.811505,nan,0.11,16.47396,16.47396,inf,-86.24927,inf,inf,0.030411271,400,8.703048,16.420979,16.675413,1.3333327,3.546454429626465,inf,nan,0.2951574
21,,,-inf,nan,,9.577897851824032,0.999996,inf,9.759542,nan,0.11,16.47396,16.47396,inf,-81.33431,inf,inf,0.030411271,420,8.720297,16.372189,16.692787,1.3124986,3.717057704925537,inf,nan,0.2951574
