ReturnStepMax,TimestepsSoFar,ReturnAbsMax,IWMax,IWMin,ReturnMean,IWFirstEpisode,ReturnMin,DenMISEMeanLog,target_sum_log_mean,Bound,TimeElapsed,LQGmu1,ExplorationBonus,MISE,ReturnLastEpisode,IWNorm2,Iteration,IWMean,LQGmu01,ReturnMax,DenMISELogLast,IWLastEpisode,SqrtESSClassic,DenMISELogFirst,URet,LQGsigma,IWNorm1
0.9625284,20,15.058442,,,15.058442,,,18.60218,-394.9644,30.116884,0.05457615852355957,0.23102404,30.116884,,15.058442,1e-10,1,,0.023522757,15.058442,18.60218,,1.0,18.60218,16.687925283112612,0.11,1e-10
0.9625284,40,15.058442,,,11.962702,,,-5.651022,-1333.9349,21.295853,1.3852665424346924,-0.6672654,21.295853,,8.866962,1.4142136e-10,2,,-0.080405794,15.058442,-29.211077,,1.4142135,17.909033,9.732315128375257,0.11,2e-10
0.99995637,60,16.558352,1.14438965e-17,,13.494586,,,-22.824541,-821.8128,19.119938,1.6316239833831787,-0.4300712,19.119938,6.316402e-17,16.558352,1.7320509e-10,3,3.8146323e-18,-0.04596599,16.558352,-56.360653,1.14438965e-17,1.7320509,17.503569,18.326296547621897,0.11,3.0000002e-10
0.99995637,80,17.092545,20.91671,,14.394075,,,-13.02223,-226.27896,80.55201,1.8982985019683838,0.18098775,34.18509,46.36692,17.092545,20.91671,4,5.2291775,0.018298324,17.092545,17.24775,,1.0,17.215887,18.870231292275058,0.11,20.91671
0.99995637,100,17.092545,0.00016661618,,13.321637,,,-21.604746,-973.98303,34.185574,2.968397378921509,-0.74559265,34.185005,0.0005695789,9.031887,0.00016661629,5,3.332324e-05,-0.09599909,17.092545,-56.87148,,1.0000025,16.992743,9.905032555354888,0.11,0.0001666167
0.9999715,120,17.092545,6.974288,,13.869503,6.974288,,-27.66485,-331.4021,51.688744,3.4470620155334473,-0.103239104,34.18509,17.503653,16.60883,6.974288,6,1.1623813,-0.010360456,17.092545,-57.053802,5.4200714e-23,1.0,16.810421,18.378584064412255,0.11,6.974288
0.9999715,140,17.092545,5.5427513,,14.217989,8.098492e-09,,-22.500736,-408.4919,47.09883,4.128239870071411,-0.18720342,34.18509,12.913744,16.308907,5.5427513,7,0.7918216,-0.01894148,17.092545,8.637634,5.5427513,1.0,17.42748,18.037415235874448,0.11,5.5427513
0.9999715,160,17.092545,0.00017999293,,14.485529,,,-18.504736,-672.4779,34.18533,5.205475807189941,-0.7502498,34.184944,0.00038456733,16.358307,0.00017999303,8,2.2499125e-05,-0.09704623,17.092545,9.818771,,1.0000043,17.29395,18.09934384026604,0.11,0.0001799938
0.9999715,180,17.092545,1.9913148,,14.7714405,,,-15.148519,-581.177,37.3349,6.058856010437012,-0.67622393,33.480015,3.8548856,17.05873,1.991766,9,0.22596796,-0.0820276,17.092545,12.64346,1.9913148,1.0210595,17.176167,18.837269876577377,0.11,2.0337117
0.9999715,200,17.208038,2.176389,,15.0151005,,,-12.443022,-547.6424,36.315132,7.18157172203064,-0.81687754,32.35528,3.9598503,17.208038,2.1811252,10,0.23200469,-0.11423513,17.208038,12.650124,0.1436577,1.0636927,17.070805,18.988746946121022,0.11,2.320047
0.9999715,220,17.208038,2.9894943,,15.206116,,,-9.878427,-482.70322,32.62371,8.155861616134644,-0.73627895,20.02914,12.59457,17.116274,4.70925,11,0.7356278,-0.09395245,17.208038,16.50945,2.9894943,1.7183003,16.975494,18.89616386501058,0.11,8.091906
0.9999715,240,17.208038,9.10205e-38,,15.36774,,,-7.602234,-609.5047,9.935066,9.187081813812256,0.75336456,9.935066,6.725628e-38,17.145603,3.4641018e-10,12,,0.09775581,17.208038,17.736034,,3.4641013,16.888483,18.925593649087165,0.11,1.2e-09
0.9999715,260,17.208038,24.102781,,14.866528,,,-11.539562,-594.57587,66.08235,10.50044298171997,-0.49728498,34.02066,32.061687,8.85199,24.103838,13,1.8756917,-0.054515157,17.208038,-57.826992,,1.0116228,16.808441,9.69746223609,0.11,24.383991
0.9999715,280,17.208038,1.3611629e-20,,14.991181,,,-14.843471,-194.77364,9.198083,11.386476039886475,0.09349592,9.198083,8.781336e-21,16.611677,3.7416575e-10,14,9.722592e-22,0.009376705,17.208038,-57.9011,,3.7416573,16.734333,18.38167612627042,0.11,1.4e-09
0.9999715,300,17.208038,9.973719,,14.642117,,,-17.76096,-610.8069,45.419197,12.706795930862427,-0.48199108,33.868782,11.550417,9.755207,9.974604,15,0.6757191,-0.05250912,17.208038,-57.639915,,1.0161593,16.66534,10.662676049863064,0.11,10.135786
0.9999715,320,17.208038,3.9893217,,14.767175,,,-20.306036,-591.40436,32.047142,13.639859914779663,-0.5363524,26.262161,5.78498,16.64304,4.1281085,16,0.33811313,-0.059830524,17.208038,-58.03463,1.3014673e-08,1.3104815,16.600801,18.411501129040186,0.11,5.40981
0.9999715,340,17.208038,6.4336434e-09,,14.9038925,6.4336434e-09,,-18.195734,-198.3351,27.126413,14.998099327087402,-0.035156503,27.126413,5.8694347e-09,17.091383,6.5509984e-09,17,3.8890843e-10,-0.0035170852,17.208038,16.229815,,1.2687293,16.540176,18.87105678743074,0.11,8.311444e-09
0.9999715,360,17.208038,4.2274277e-29,,14.923102,,,-17.635012,-463.21594,8.111948,16.35174012184143,0.45484814,8.111948,2.082469e-29,15.2496805,4.2426407e-10,18,2.348571e-30,0.049040243,17.208038,-7.1310463,,4.2426405,16.483019,16.848957201305982,0.11,1.7999999e-09
0.9999715,380,17.208038,742.4608,,14.594729,,,-19.180805,-333.85458,373.7607,17.68073320388794,0.29790127,34.416077,339.34464,8.684025,742.4608,19,39.076885,0.030711828,17.208038,-46.031876,742.4608,1.0,16.428951,9.529126647886955,0.11,742.4608
