DenMISELogLast,IWMax,Bound,ReturnMax,LQGsigma,IWMin,Iteration,ExplorationBonus,ReturnStepMax,URet,IWLastEpisode,ReturnMean,SqrtESSClassic,TimestepsSoFar,IWMean,ReturnAbsMax,ReturnLastEpisode,TimeElapsed,ReturnMin,DenMISELogFirst,MISE,IWNorm2,IWNorm1,DenMISEMeanLog,LQGmu01,LQGmu1,target_sum_log_mean,IWFirstEpisode
12.845262,1.0042634,28.182697,9.380901,0.11,,1,18.761803,0.55877954,10.303278693899255,1.0042634,9.380901,1.0,20,1.0042634,9.380901,9.380901,0.03960609436035156,,12.845262,9.420896,1.0042634,1.0042634,12.845262,0.001010101,0.01010101,12.849516,1.0042634
14.755722,26.680061,142.20213,9.380901,0.11,,2,18.753178,0.55877954,10.166394052361602,26.680061,9.315305,1.0004599,40,13.346168,9.380901,9.249708,1.626258373260498,,12.847391,123.44896,26.680063,26.692335,13.801557,0.0030303032,0.030303031,13.243401,0.012274523
19.903095,2.9942307,31.061474,9.380901,0.11,,3,13.233071,0.55877954,10.085677680633932,2.9942307,9.271588,1.4177965,60,1.9344424,9.380901,9.184156,2.299800395965576,,12.448045,17.828402,4.0932016,5.803327,16.454817,0.0030303032,0.030303031,15.828861,0.018299472
17.038534,1.9980755,24.413757,9.380901,0.11,,4,10.789099,0.55877954,10.15268805296383,1.9556059,9.266199,1.7389592,80,1.4764196,9.380901,9.2500305,3.139352560043335,,12.166444,13.624658,3.3960993,5.9056783,16.723965,0.0030303032,0.030303031,16.298954,0.024251372
17.106453,2.4600244,22.197464,9.380901,0.11,,5,17.145267,0.55877954,10.07552934482122,0.13515884,9.248004,1.0942847,100,0.5394421,9.380901,9.175225,4.078613996505737,,11.949345,5.0521975,2.4648163,2.6972106,16.862463,0.001010101,0.01010101,14.152601,2.4600244
10.141308,1.9980564,23.160454,9.380901,0.11,,6,8.372882,0.55877954,10.111530156621239,1.8806412,9.241142,2.240782,120,1.604926,9.380901,9.206833,4.946583032608032,,12.167144,14.787572,4.2974086,9.629556,15.664851,0.0030303032,0.030303031,15.588589,0.024234401
14.240186,1.7487226,21.104809,9.380901,0.11,,7,7.6401234,0.55979556,10.090698711314747,1.7206001,9.23224,2.4556937,140,1.4622754,9.380901,9.178826,5.78877329826355,,12.017024,13.464686,4.168243,10.235928,15.528163,0.0030303032,0.030303031,15.473485,0.02815973
18.9792,2.343721e-19,19.102343,9.553689,0.11,,8,19.102343,0.57715887,10.522380419794905,7.180039e-32,9.272421,1.0002636,160,2.9303355e-20,9.553689,9.553689,6.6432929039001465,,11.887507,2.6912688e-19,2.343731e-19,2.3443488e-19,16.00637,0.00909091,0.09090909,-41.90102,3.383761e-35
18.459099,8.999991,28.135138,9.553689,0.11,,9,19.107378,0.57715887,9.916071030933145,8.999991,9.245237,1.0,180,0.99999905,9.553689,9.027768,7.526758909225464,,11.769725,9.02776,8.999991,8.999991,16.1742,0.00909091,0.09090909,-34.950203,3.8067294e-35
14.108212,35.997906,51.71264,9.553689,0.11,,10,19.081758,0.57715887,9.942488386284762,35.997906,9.225966,1.0013427,200,3.6046271,9.553689,9.052531,8.408447265625,,11.664364,32.630882,35.99794,36.046272,15.94209,0.0070707067,0.07070707,-6.336602,1.4407553e-19
