ReturnMean,IWMin,IWNorm1,ReturnStepMax,ReturnMax,LQGsigma,IWMean,LQGmu1,URet,Iteration,DenMISELogFirst,Bound,ExplorationBonus,ReturnLastEpisode,target_sum_log_mean,SqrtESSClassic,ReturnMin,TimeElapsed,DenMISEMeanLog,IWNorm2,IWMax,ReturnAbsMax,MISE,TimestepsSoFar,IWFirstEpisode,LQGmu01,DenMISELogLast,IWLastEpisode
9.815094,,24.004795,0.77039135,12.483996,0.11,1.2002398,-0.01010101,13.77737072194672,20,12.251416,23.82846,10.318217,12.483996,-8.762263,2.2051804,,16.576597213745117,14.834101,10.885638,6.1835394,12.483996,13.510243,400,0.0042810272,-0.001010101,13.30914,6.1835394
9.885712,,25.480942,0.77039135,12.483996,0.11,1.2133782,-0.01010101,12.47888054753197,21,12.20284,22.659016,9.015431,11.29805,-7.534492,2.439447,,17.364527463912964,14.864382,10.445376,5.2017517,12.483996,13.643583,420,0.0044941176,-0.001010101,15.371938,5.2017517
9.924462,,21.999998,0.77039135,12.483996,0.11,0.99999994,0.09090909,11.836841345684896,22,12.156534,21.346348,12.317195,10.738246,-54.566128,1.7320508,,18.25618314743042,14.613614,12.701705,7.3333373,12.483996,9.029154,440,2.5856063e-35,0.00909091,9.219463,
9.885147,,0.17954144,0.77039135,12.483996,0.11,0.0078061493,0.05050505,9.906937484383539,23,12.1120825,20.215242,20.143494,9.0202,-6.2008357,1.0304521,,19.101780652999878,14.537987,0.1742356,0.17418227,12.483996,0.07174843,460,9.042882e-09,0.005050505,12.989058,7.152427e-10
9.8522,,72.30645,0.77039135,12.483996,0.11,3.0127687,0.07070707,9.988878532093548,24,12.069523,47.566692,20.16813,9.094401,-22.368988,1.0038655,,19.971373796463013,14.313202,72.02803,72.027855,12.483996,27.398561,480,9.607976e-20,0.0070707067,10.114293,72.027855
9.8207445,,32.78574,0.77039135,12.483996,0.11,1.3114296,0.07070707,9.956026272347053,25,12.028701,25.94442,14.034233,9.065814,-20.793224,1.4101205,,20.894864082336426,14.3335905,23.25031,18.751816,12.483996,11.910188,500,1.0008299e-19,0.0070707067,14.404427,13.744802
9.79164,,32.042503,0.77039135,12.483996,0.11,1.232404,0.07070707,9.955143058656969,26,11.98948,22.314396,11.130606,9.064037,-19.298758,1.7411042,,21.94223642349243,14.384614,18.403553,11.375895,12.483996,11.183791,520,1.0408612e-19,0.0070707067,15.631421,11.375895
9.765725,,32.55124,0.77039135,12.483996,0.11,1.2056015,0.07070707,9.986033471524848,27,11.951739,20.389462,9.443527,9.091942,-17.91926,2.012786,,22.82363796234131,14.437794,16.172232,8.852976,12.483996,10.945933,540,1.0808968e-19,0.0070707067,15.766983,8.852976
9.741251,,30.271107,0.77039135,12.483996,0.11,1.081111,-0.01010101,9.971234276029229,28,11.915372,19.284235,7.180577,9.080452,-21.013224,2.599943,,23.713666677474976,14.455292,11.642989,5.558754,12.483996,12.103659,560,0.005990874,-0.001010101,14.85392,2.1073088e-36
9.784861,,34.186226,0.78208655,12.483996,0.11,1.1788354,0.07070707,12.177704338158701,29,11.880495,18.850603,8.147652,11.005925,-17.930443,2.25327,,24.742781162261963,14.147749,15.171828,7.216251,12.483996,10.702951,580,1.1607129e-19,0.0070707067,5.515711,4.0289092e-26
9.762636,,29.957829,0.78208655,12.483996,0.11,0.9985943,0.030303031,10.01281431088641,30,11.846593,18.445223,9.232129,9.118144,0.55469507,1.9576604,,25.646822690963745,13.997508,15.302873,9.890271,12.483996,9.213094,600,0.033392258,0.0030303032,9.563373,1.0036877e-08
9.749163,,33.29997,0.78208655,12.483996,0.11,1.0741925,-0.01010101,10.264296685819781,31,11.814916,18.318882,6.333602,9.34493,-21.296991,2.8119152,,26.568264722824097,13.809059,11.842451,5.1349115,12.483996,11.985279,620,0.006623961,-0.001010101,8.250391,2.805089e-07
9.768337,,34.675716,0.78208655,12.483996,0.11,1.0836161,-0.01010101,11.455492248450515,32,11.7833805,17.823822,5.8528957,10.362755,-20.064981,3.0010462,,27.501847505569458,13.898544,11.554543,4.5473275,12.483996,11.970925,640,0.0068361773,-0.001010101,16.64925,4.384481
9.797542,,33.729485,0.78208655,12.483996,0.11,1.0221056,0.09090909,11.816617558545982,33,11.752823,17.609608,8.381718,10.732098,-43.570217,2.068428,,28.556843757629395,13.981233,16.30682,8.224697,12.483996,9.22789,660,3.8716063e-35,0.00909091,16.588509,
9.775897,,41.9188,0.78208655,12.483996,0.11,1.2329059,0.07070707,9.949541698116725,34,11.72297,17.777363,6.5772295,9.061627,-18.13447,2.6035604,,29.5438871383667,13.649123,16.100567,6.770951,12.483996,11.200133,680,1.358741e-19,0.0070707067,2.7577357,2.8813722
9.755744,,37.815567,0.78208655,12.483996,0.11,1.0804448,-0.01010101,9.962268945796282,35,11.693982,17.21688,5.323321,9.070533,-22.603346,3.1793942,,30.484706163406372,13.6202,11.893953,4.354802,12.483996,11.893559,700,0.0074754707,-0.001010101,12.489301,4.802882e-33
