SqrtESSClassic,IWNorm1,ReturnAbsMax,Bound,ReturnMin,ReturnStepMax,LQGmu01,IWMax,IWMean,ExplorationBonus,LQGmu1,URet,IWMin,ReturnLastEpisode,IWLastEpisode,Iteration,LQGsigma,target_sum_log_mean,MISE,IWNorm2,ReturnMean,DenMISELogLast,IWFirstEpisode,DenMISELogFirst,DenMISEMeanLog,TimestepsSoFar,TimeElapsed,ReturnMax
1.0,1e-10,15.058442,30.116884,,0.9625284,-0.09966799,,,30.116884,-0.7615942,16.687925283112612,,15.058442,,1,0.11,-404.23984,,1e-10,15.058442,18.60218,,18.60218,18.60218,20,0.16658854484558105,15.058442
1.0,2.0,16.964043,50.892128,,0.9998483,-0.09966799,2.0,1.0,33.928085,-0.7615942,18.74084447733709,,16.964043,2.0,2,0.11,-199.8337,16.964043,2.0,16.011242,3.8793092,,17.909033,10.894171,40,2.784865617752075,16.964043
1.4142135,2.9999986,17.223606,41.451675,,0.99995756,-0.09966799,1.5,0.9999995,24.357857,-0.7615942,19.006922892126155,,17.223606,1.4999986,3,0.11,-126.16625,17.093817,2.1213193,16.415363,20.763163,,17.503569,14.144574,60,2.9378716945648193,17.223606
1.7320509,3.9999986,17.223606,37.01368,,0.99995756,-0.09966799,1.3333333,0.99999964,19.888107,-0.7615942,18.97020634551885,,17.189089,1.3333327,4,0.11,-89.936646,17.125574,2.3094,16.608795,18.464476,,17.215887,15.211521,80,3.1075599193573,17.223606
2.0,4.9999976,17.223606,34.353355,,0.99995756,-0.09966799,1.25,0.9999995,17.223606,-0.7615942,18.922565823776246,,17.142303,1.25,5,0.11,-69.18952,17.129751,2.4999988,16.715496,13.575823,,16.992743,14.878476,100,3.2647483348846436,17.223606
2.236068,6.0,17.223606,32.53336,,0.9999636,-0.09966799,1.2,1.0,15.405261,-0.7615942,18.901532102460255,,17.121447,1.2,6,0.11,-54.845703,17.128098,2.6832817,16.783155,16.691051,,16.810421,15.177399,120,3.4230403900146484,17.223606
