ReturnMean,IWMean,IWMax,ReturnMax,target_sum_log_mean,ReturnAbsMax,IWNorm1,ReturnLastEpisode,MISE,Bound,TimeElapsed,ReturnMin,URet,DenMISELogLast,IWLastEpisode,LQGsigma,LQGmu1,LQGmu01,Iteration,SqrtESSClassic,IWMin,TimestepsSoFar,ReturnStepMax,IWFirstEpisode,IWNorm2,DenMISELogFirst,ExplorationBonus,DenMISEMeanLog
9.380901,1.0042634,1.0042634,9.380901,12.849516,9.380901,1.0042634,9.380901,9.420896,10.363709,0.0408782958984375,,10.303278693899255,12.845262,1.0042634,0.11,0.01010101,0.001010101,1,1.0,,20,0.55877954,1.0042634,1.0042634,12.845262,0.94281375,12.845262
9.315305,13.346168,26.680061,9.380901,13.243401,9.380901,26.692335,9.249708,123.44896,124.39134,1.622756004333496,,10.166394052361602,14.755722,26.680061,0.11,0.030303031,0.0030303032,2,1.0004599,,40,0.55877954,0.012274523,26.680063,12.847391,0.94238037,13.801557
9.271588,1.9344424,2.9942307,9.380901,15.828861,9.380901,5.803327,9.184156,17.828402,18.493387,2.4581363201141357,,10.085677680633932,19.903095,2.9942307,0.11,0.030303031,0.0030303032,3,1.4177965,,60,0.55877954,0.018299472,4.0932016,12.448045,0.66498524,16.454817
9.266199,1.4764196,1.9980755,9.380901,16.298954,9.380901,5.9056783,9.2500305,13.624658,14.166829,3.308030843734741,,10.15268805296383,17.038534,1.9556059,0.11,0.030303031,0.0030303032,4,1.7389592,,80,0.55877954,0.024251372,3.3960993,12.166444,0.5421713,16.723965
9.248004,1.3083745,1.6655965,9.380901,16.551722,9.380901,6.5418725,9.175225,12.057631,12.526977,4.328922748565674,,10.07552934482122,17.106453,1.5782912,0.11,0.030303031,0.0030303032,5,2.0087821,,100,0.55877954,0.030131536,3.2566361,11.949345,0.46934596,16.862463
9.22487,2.1417274,12.812909,9.380901,8.821383,9.380901,12.850365,9.1092005,19.509918,20.449987,5.149791479110718,,10.004649478962499,8.675859,12.812909,0.11,0.05050505,0.005050505,6,1.0029196,,120,0.55877954,1.2692739e-08,12.812956,11.773031,0.9400692,15.534992
9.209422,1.6055405,6.427828,9.380901,9.673024,9.380901,11.238784,9.116734,14.632601,15.303965,6.00406551361084,,10.017345586290983,12.922222,6.427828,0.11,0.05050505,0.005050505,7,1.4043266,,140,0.55877954,1.4808186e-08,8.002971,11.61888,0.6713636,15.193755
9.200697,1.2854661,1.9765192,9.380901,15.325153,9.380901,10.283729,9.139617,11.822259,12.224517,6.829145193099976,,10.039694295695988,19.12273,1.9366196,0.11,0.030303031,0.0030303032,8,2.3438067,,160,0.55877954,0.047921646,4.387618,11.48535,0.40225747,15.715168
9.200198,1.2417326,1.785323,9.380901,15.555922,9.380901,11.175593,9.196207,11.419278,11.786775,7.649941921234131,,10.105563883957709,16.82247,1.785323,0.11,0.030303031,0.0030303032,9,2.5655048,,180,0.55877954,0.05359083,4.356099,11.373539,0.3674964,15.861912
9.23099,1.0899451,1.6553257,9.508127,15.572095,9.508127,10.899451,9.508127,10.036737,10.393982,8.467082262039185,,10.428445145795427,16.533073,0.44245255,0.11,0.030303031,0.0030303032,10,2.6749187,,200,0.599013,0.059192944,4.074685,11.274115,0.35724464,15.947995
9.234028,1.0855851,1.5622528,9.508127,15.866794,9.508127,11.941437,9.264402,10.005215,10.337403,9.431314706802368,,10.183736690499424,18.39181,1.5249721,0.11,0.030303031,0.0030303032,11,2.8766775,,220,0.599013,0.064729065,4.151121,11.184707,0.3321889,16.17578
9.23319,1.0739334,1.4923307,9.508127,16.03173,9.508127,12.8872,9.223966,9.899333,10.211244,10.259621143341064,,10.134081234544105,17.537146,1.3618987,0.11,0.030303031,0.0030303032,12,3.0636997,,240,0.599013,0.07020044,4.2064176,11.103562,0.3119106,16.294493
9.226477,1.0746716,1.4378757,9.508127,15.984788,9.508127,13.970732,9.14593,9.8987255,10.193904,11.076157093048096,,10.047848193964988,15.059633,1.4359846,0.11,0.030303031,0.0030303032,13,3.2373629,,260,0.599013,0.0756082,4.315467,11.029352,0.29517865,16.203848
