IWFirstEpisode,IWLastEpisode,IWNorm1,ReturnMean,SqrtESSClassic,Bound,IWMax,ReturnStepMax,IWMin,ReturnMin,DenMISELogLast,ReturnLastEpisode,IWMean,TimestepsSoFar,ExplorationBonus,Iteration,LQGsigma,URet,target_sum_log_mean,DenMISEMeanLog,LQGmu1,MISE,IWNorm2,ReturnMax,LQGmu01,DenMISELogFirst,ReturnAbsMax,TimeElapsed
1.0925229,1.0925229,1.0925229,14.212496,1.0,77.47831,1.0925229,0.99494565,,,-31.300238,14.212496,1.0925229,20,61.950836,1,1.0,15.593418754668832,-31.211748,-31.300238,-0.030303031,15.527476,1.0925229,14.212496,-0.0030303032,-31.300238,14.212496,0.04529738426208496
0.2366088,10.0250225,10.261631,11.878802,1.0233169,110.06561,10.0250225,0.99494565,,,-28.269274,9.545109,5.1308155,40,60.53925,2,1.0,10.518186844368902,-29.330276,-29.762144,0.13131313,49.526367,10.027814,14.212496,0.013131313,-31.255014,14.212496,1.606903076171875
1.2683619,0.0012493366,1.281764,11.034656,1.0105195,67.357346,1.2683619,0.99494565,,,-24.226154,9.346362,0.42725468,60,61.305927,3,1.0,10.274466212000098,-31.171112,-27.551905,-0.07070707,6.0514216,1.2684208,14.212496,-0.0070707067,-31.548666,14.212496,2.259791851043701
0.121801585,4.607745,4.7295465,12.168352,1.0260757,84.50874,4.607745,0.99494565,,,-27.172316,15.569443,1.1823866,80,66.14096,4,1.0,17.210194304378973,-37.220192,-27.5835,-0.23232323,18.367783,4.6093545,15.569443,-0.023232324,-31.48373,15.569443,3.0541627407073975
0.0001242741,8.936036,9.480036,12.968264,1.0589176,97.14244,8.936036,0.99494565,,,-28.070211,16.167906,1.8960072,100,66.55312,5,1.0,17.849963510766464,-47.79624,-27.700085,-0.43434343,30.58932,8.952572,16.167906,-0.043434344,-31.676878,16.167906,3.864729642868042
1.7486087e-08,0.051625013,1.9702771,13.208697,1.0374401,73.22301,1.8983617,0.99953234,,,-36.641373,14.4108715,0.3283795,120,67.93094,6,1.0,15.9267783832614,-58.856716,-29.15418,-0.5959596,5.2920675,1.899172,16.167906,-0.05959596,-31.859175,16.167906,4.661440849304199
7.415926e-26,3.492831e-24,1.1996469e-19,13.584062,1.0013158,70.38166,1.1980605e-19,0.99953234,,,-30.729471,15.8362465,1.7136812e-20,140,70.38166,7,1.0,17.42469187717105,-97.28221,-29.470373,0.97979796,2.7705352e-19,1.1980704e-19,16.167906,0.0979798,-32.013325,16.167906,5.461333274841309
8.2199725e-16,16156.886,16156.886,12.44088,1.0,9034.731,16156.886,0.99953234,,,-51.674152,4.4386063,2019.6107,160,70.47427,8,1.0,4.743488372870013,-67.34518,-32.362686,0.75757575,8964.257,16156.886,16.167906,0.07575758,-32.14686,16.167906,6.299229145050049
8.070011e-13,,3.896534,11.442303,1.1178601,69.91621,3.458151,0.99953234,,,-29.347752,3.4536836,0.43294823,180,63.043915,9,1.0,3.8594072912136728,-136.9367,-31.286709,-0.7373737,6.8722897,3.485708,16.167906,-0.073737375,-32.26464,16.167906,7.129731178283691
8.277049e-24,1.2415865e-05,0.10951702,11.833301,1.0194933,69.30026,0.10740242,0.99953234,,,-37.78275,15.352282,0.0109517025,200,69.12676,10,1.0,17.006399861212003,-175.78091,-31.993862,-1.0,0.17350297,0.10742299,16.167906,-0.1,-32.37,16.167906,7.9301674365997314
4.6672477e-07,1.0516179e-10,0.00079157803,12.239511,1.0279835,69.12306,0.0007697615,0.99953234,,,-27.03257,16.301601,7.196164e-05,220,69.12274,11,1.0,17.989955120698994,-48.65893,-31.62849,0.4949495,0.0003185709,0.00077002984,16.301601,0.04949495,-32.46531,16.301601,8.737147808074951
