TimestepsSoFar,DenMISELogLast,IWLastEpisode,ExplorationBonus,URet,ReturnMean,IWNorm1,ReturnMax,IWMin,Iteration,DenMISELogFirst,SqrtESSClassic,IWFirstEpisode,ReturnMin,ReturnLastEpisode,LQGmu1,ReturnAbsMax,Bound,MISE,IWNorm2,IWMean,LQGmu01,IWMax,DenMISEMeanLog,ReturnStepMax,target_sum_log_mean,LQGsigma,TimeElapsed
20,12.845262,1.0042634,18.761803,10.303278693899255,9.380901,1.0042634,9.380901,,1,12.845262,1.0,1.0042634,,9.380901,0.01010101,9.380901,28.182697,9.420896,1.0042634,1.0042634,0.001010101,1.0042634,12.845262,0.55877954,12.849516,0.11,0.04613161087036133
40,14.755722,26.680061,18.753178,10.166394052361602,9.315305,26.692335,9.380901,,2,12.847391,1.0004599,0.012274523,,9.249708,0.030303031,9.380901,142.20213,123.44896,26.680063,13.346168,0.0030303032,26.680061,13.801557,0.55877954,13.243401,0.11,1.8169159889221191
60,19.903095,2.9942307,13.233071,10.085677680633932,9.271588,5.803327,9.380901,,3,12.448045,1.4177965,0.018299472,,9.184156,0.030303031,9.380901,31.061474,17.828402,4.0932016,1.9344424,0.0030303032,2.9942307,16.454817,0.55877954,15.828861,0.11,2.5170812606811523
80,17.038534,1.9556059,10.789099,10.15268805296383,9.266199,5.9056783,9.380901,,4,12.166444,1.7389592,0.024251372,,9.2500305,0.030303031,9.380901,24.413757,13.624658,3.3960993,1.4764196,0.0030303032,1.9980755,16.723965,0.55877954,16.298954,0.11,3.366093397140503
100,17.106453,0.13515884,17.145267,10.07552934482122,9.248004,2.6972106,9.380901,,5,11.949345,1.0942847,2.4600244,,9.175225,0.01010101,9.380901,22.197464,5.0521975,2.4648163,0.5394421,0.001010101,2.4600244,16.862463,0.55877954,14.152601,0.11,4.255662441253662
120,10.141308,1.8806412,8.372882,10.111530156621239,9.241142,9.629556,9.380901,,6,12.167144,2.240782,0.024234401,,9.206833,0.030303031,9.380901,23.160454,14.787572,4.2974086,1.604926,0.0030303032,1.9980564,15.664851,0.55877954,15.588589,0.11,5.132448434829712
140,14.240186,1.7206001,7.6401234,10.090698711314747,9.23224,10.235928,9.380901,,7,12.017024,2.4556937,0.02815973,,9.178826,0.030303031,9.380901,21.104809,13.464686,4.168243,1.4622754,0.0030303032,1.7487226,15.528163,0.55979556,15.473485,0.11,6.240186452865601
160,18.9792,2.4333546,12.626873,10.522380419794905,9.272421,5.4144764,9.553689,,8,11.887507,1.5132312,2.6169472,,9.553689,0.01010101,9.553689,19.020462,6.393588,3.5780895,0.67680955,0.001010101,2.6169472,16.00637,0.57715887,13.709574,0.11,7.1180291175842285
180,16.619677,1.6124811e-18,19.028593,10.531545182766319,9.304881,2.1967194e-08,9.564552,,9,12.052734,1.0052822,9.770604e-20,,9.564552,0.07070707,9.564552,19.028593,2.2417161e-08,2.185177e-08,2.4407993e-09,0.0070707067,2.1851669e-08,16.0358,0.5836317,-13.491632,0.11,8.064110279083252
200,9.212082,324.33484,19.126009,10.051260323522369,9.290056,324.38736,9.564552,,10,11.947374,1.0001619,1.066201e-08,,9.156642,0.05050505,9.564552,316.1561,297.0301,324.33484,32.438736,0.005050505,324.33484,15.258606,0.5836317,7.122229,0.11,8.950002670288086
