LQGmu01,IWFirstEpisode,DenMISEMeanLog,LQGsigma,ReturnMean,target_sum_log_mean,ReturnMin,TimestepsSoFar,ReturnLastEpisode,LQGmu1,MISE,URet,IWLastEpisode,DenMISELogLast,IWMin,DenMISELogFirst,TimeElapsed,Iteration,ReturnAbsMax,Bound,ReturnStepMax,IWMean,ReturnMax,IWMax
-0.0100343395,1.000664,18.60218,0.11,15.058442,18.602844,,20,15.058442,-0.10001129,15.06844,16.687925283112612,1.000664,18.60218,,18.60218,0.04549264907836914,1,15.058442,15.06844,0.9625284,1.000664,15.058442,1.000664
-0.010035718,1.0011317,19.957512,0.11,15.429346,19.958435,,40,15.800251,-0.10002495,15.44352,17.495124170623658,1.0007155,21.31251,,18.602512,1.113307237625122,2,15.800251,15.44352,0.995347,1.0009236,15.800251,1.0011317
-0.010044268,1.0056924,20.361765,0.11,15.562325,20.362572,,60,15.8282795,-0.1001096,15.573853,17.529829659611288,0.9931817,21.169657,,18.60289,1.1999988555908203,3,15.8282795,15.573853,0.99640083,1.0008227,15.8282795,1.0056924
-0.0100479135,1.0063583,19.958706,0.11,15.7051735,19.960669,,80,16.13372,-0.10014571,15.735659,17.85926609488042,1.0052015,18.748919,,18.604311,1.2877001762390137,4,16.13372,15.735659,0.9995676,1.00198,16.13372,1.0063583
-0.010053187,1.0080969,18.727024,0.11,15.637774,18.728764,,100,15.368179,-0.100197904,15.664942,17.01858044864036,0.99878955,13.798702,,18.605583,1.3767924308776855,5,16.13372,15.664942,0.9995676,1.0017643,16.13372,1.0080969
-0.01005513,1.0078431,18.415907,0.11,15.654101,18.420368,,120,15.735735,-0.10021716,15.724574,17.428515224498014,1.0185647,16.85886,,18.606932,1.4693429470062256,6,16.13372,15.724574,0.9995676,1.0045091,16.13372,1.0185647
-0.010057231,1.0079085,18.513622,0.11,15.642959,18.517809,,140,15.576099,-0.10023795,15.709063,17.257443354350322,1.0023679,19.09605,,18.608051,1.5655128955841064,7,16.13372,15.709063,0.9995676,1.0042307,16.13372,1.0187337
-0.01005966,1.0082892,17.95517,0.11,15.612007,17.95899,,160,15.395352,-0.10026199,15.672326,17.06739257042136,0.99986744,14.042309,,18.60904,1.6620821952819824,8,16.13372,15.672326,0.9995676,1.0038601,16.13372,1.0196688
-0.010062808,1.0091376,18.187246,0.11,15.583842,18.190498,,180,15.358521,-0.10029316,15.635503,17.021929157233103,0.9956949,20.040426,,18.60996,1.7667186260223389,9,16.13372,15.635503,0.9995676,1.0032979,16.13372,1.0217363
-0.010065117,1.0095168,17.757553,0.11,15.664358,17.762096,,200,16.388998,-0.100316025,15.737475,18.12976271776989,1.0151424,13.88737,,18.610872,1.8751699924468994,10,16.388998,15.737475,0.9995676,1.0045974,16.388998,1.0226741
-0.010068306,1.0104358,17.704548,0.11,15.63028,17.70812,,220,15.289491,-0.10034759,15.688715,16.948519269700547,0.9896701,17.170313,,18.611738,1.9816868305206299,11,16.388998,15.688715,0.9995676,1.0036377,16.388998,1.0249237
-0.010071783,1.0115001,17.74991,0.11,15.653328,17.75354,,240,15.906859,-0.100382,15.712804,17.62084297170877,1.0004426,18.245577,,18.612608,2.091578960418701,12,16.388998,15.712804,0.9995676,1.003702,16.388998,1.0275505
-0.01007452,1.0121351,17.248838,0.11,15.684065,17.253706,,260,16.052904,-0.10040908,15.763672,17.775439710995567,1.0177093,11.232547,,18.613491,2.201421022415161,13,16.388998,15.763672,0.9997001,1.0049555,16.388998,1.0291157
-0.010077185,1.0127395,17.260452,0.11,15.708045,17.265718,,280,16.019785,-0.10043549,15.79407,17.73748284943849,1.0074779,17.406849,,18.614357,2.3109092712402344,14,16.388998,15.79407,0.9997019,1.005356,16.388998,1.0306321
-0.010079652,1.0132438,17.330286,0.11,15.699404,17.336254,,300,15.578437,-0.1004599,15.796431,17.24284838344069,1.0131491,18.302942,,18.615208,2.42158842086792,15,16.388998,15.796431,0.9997019,1.0060668,16.388998,1.0319067
-0.010082515,1.0139921,17.284832,0.11,15.695261,17.290268,,320,15.633132,-0.10048825,15.7840395,17.325801758927817,0.99266654,16.597378,,18.616034,2.549215793609619,16,16.388998,15.7840395,0.9997019,1.0055401,16.388998,1.0337743
-0.010085074,1.0145665,17.32725,0.11,15.715201,17.333588,,340,16.034248,-0.100513615,15.818668,17.75437181075238,1.0176364,18.000668,,18.616858,2.669029951095581,17,16.388998,15.818668,0.9999893,1.0064555,16.388998,1.0352305
-0.01008763,1.0151473,17.378548,0.11,15.723718,17.385181,,360,15.86849,-0.1005389,15.831913,17.581767778977262,1.0076066,18.244558,,18.617666,2.790299415588379,18,16.388998,15.831913,0.9999893,1.0067542,16.388998,1.0367066
-0.010089838,1.0155482,17.408268,0.11,15.730196,17.416153,,380,15.846794,-0.100560755,15.85853,17.551310279296338,1.0278935,17.936821,,18.618464,2.911236524581909,19,16.388998,15.85853,0.9999893,1.0080268,16.388998,1.0377352
-0.010092028,1.015957,17.385914,0.11,15.757861,17.394093,,400,16.283524,-0.100582436,15.891063,18.021498619616782,1.0100504,16.953596,,18.61924,3.0488290786743164,20,16.388998,15.891063,0.9999893,1.0083214,16.388998,1.0387789
-0.010094114,1.0163213,17.365444,0.11,15.7679,17.37424,,420,15.968662,-0.100603096,15.911092,17.680364374506425,1.0178015,16.948092,,18.619999,3.173823833465576,21,16.388998,15.911092,0.9999893,1.0089471,16.388998,1.0397243
-0.010096759,1.0170078,17.191185,0.11,15.752433,17.19832,,440,15.427635,-0.10062927,15.870508,17.081678845951267,0.9654251,13.523217,,18.62074,3.303377628326416,22,16.388998,15.870508,0.9999893,1.0073206,16.388998,1.041477
-0.0100997565,1.0178791,16.793953,0.11,15.74672,16.800568,,460,15.6210165,-0.10065895,15.856894,17.301527138700685,0.98759025,8.047879,,18.62148,3.4313554763793945,23,16.388998,15.856894,0.9999893,1.006813,16.388998,1.0437142
-0.010102498,1.0186017,16.832582,0.11,15.760741,16.840126,,480,16.083218,-0.10068609,15.886169,17.806998090284342,1.0235405,17.714542,,18.622225,3.583521842956543,24,16.388998,15.886169,0.9999893,1.007761,16.388998,1.0455772
