URet,ReturnMin,LQGmu01,IWMin,ReturnStepMax,target_sum_log_mean,TimestepsSoFar,ReturnMean,IWNorm2,IWFirstEpisode,ExplorationBonus,IWNorm1,DenMISELogLast,IWLastEpisode,TimeElapsed,ReturnAbsMax,Bound,LQGmu1,IWMean,ReturnLastEpisode,DenMISELogFirst,DenMISEMeanLog,MISE,LQGsigma,ReturnMax,IWMax,Iteration,SqrtESSClassic
16.687925283112612,,-0.0109104775,,0.9625284,18.829416,20,15.058442,1.2551258,1.2551258,30.116884,1.2551258,18.60218,1.2551258,0.06204819679260254,15.058442,49.01712,-0.108678184,1.2551258,15.058442,18.60218,18.60218,18.900238,0.11,15.058442,1.2551258,1,1.0
17.62443757124685,,-0.011110653,,0.99734735,20.039198,40,15.4885845,1.6686683,1.0846702,22.580761,2.3527176,21.037403,1.2680475,3.8896021842956543,15.918728,40.840332,-0.110656105,1.1763588,15.918728,18.722239,19.879822,18.259571,0.11,15.918728,1.2680475,2,1.4099373
17.710786971628483,,-0.010710301,,0.9980736,20.472124,60,15.657649,1.8172928,1.0797039,18.475073,3.1468358,21.400732,1.0218279,7.221369504928589,15.995777,34.889572,-0.10669941,1.0489453,15.995777,18.75007,20.424597,16.4145,0.11,15.995777,1.0797039,3,1.7316064
17.96570509517042,,-0.011110653,,0.9998867,20.038877,80,15.801532,2.1143563,1.0342891,16.406145,4.184131,18.712069,1.1972337,10.697996377944946,16.233181,32.94477,-0.110656105,1.0460328,16.233181,18.7698,20.005573,16.538626,0.11,16.233181,1.1972337,4,1.9789149
17.253714102609212,,-0.0027026958,,0.9998867,-1.8071182,100,15.757706,1.5411981e-06,3.8757964e-12,32.377254,1.5454398e-06,13.642377,2.3250755e-10,14.113089323043823,16.233181,32.37726,-0.027020447,3.0898795e-07,15.582396,18.776636,18.739891,4.942618e-06,0.11,16.233181,1.5410947e-06,5,1.0027522
14.910814749429354,,-0.0053052553,,0.9998867,10.367629,120,15.378532,450.42447,9.162921e-06,32.465744,450.43307,8.938163,450.42447,17.444464206695557,16.233181,1044.6427,-0.05300333,75.07218,13.48267,18.594315,16.954336,1012.17694,0.11,16.233181,450.42447,6,1.0000191
15.453369894476285,,-0.0053052553,,0.9998867,11.404521,140,15.172579,9.701401,1.0690066e-05,22.941069,13.72949,15.707257,6.811527,20.857664108276367,16.233181,49.830917,-0.05300333,1.9613558,13.936853,18.440165,17.263065,26.889849,0.11,16.233181,6.90798,7,1.415207
15.289884901754132,,-0.0053052553,,0.9998867,11.734219,160,14.997482,6.875374,1.2217198e-05,18.726763,11.919751,12.658461,3.9894054,24.373343229293823,16.233181,39.18728,-0.05300333,1.4899689,13.771812,18.306635,16.741596,20.460516,0.11,16.233181,3.9894054,8,1.7336878
15.107825817626336,,-0.0053052553,,0.9998867,12.656767,180,14.844731,5.9562416,1.3744315e-05,16.215967,11.925129,18.952536,2.9583082,27.70779848098755,16.233181,34.37653,-0.05300333,1.3250144,13.622731,18.188854,17.017021,18.160563,0.11,16.233181,2.9946961,9,2.002123
17.197095289032653,,-0.0071069873,,0.9998867,14.644339,200,14.913475,5.4107237,0.011070943,23.411446,7.503445,13.011894,5.296052,31.61362385749817,16.233181,34.78333,-0.07095164,0.7503445,15.53216,18.083494,16.63617,11.371884,0.11,16.233181,5.296052,10,1.386773
