ReturnMean,TimeElapsed,LQGmu01,IWFirstEpisode,ReturnStepMax,IWNorm1,DenMISELogFirst,IWMean,SqrtESSClassic,ReturnMin,ExplorationBonus,target_sum_log_mean,URet,TimestepsSoFar,IWMax,LQGsigma,IWNorm2,IWLastEpisode,LQGmu1,DenMISEMeanLog,IWMin,ReturnLastEpisode,Bound,DenMISELogLast,MISE,ReturnAbsMax,Iteration,ReturnMax
15.058442,0.0734250545501709,0.023522757,,0.9625284,1e-10,18.60218,,1.0,,30.116884,-394.9644,16.687925283112612,20,,0.11,1e-10,,0.23102404,18.60218,,15.058442,30.116884,18.60218,,15.058442,1,15.058442
11.962702,1.6769797801971436,-0.080405794,,0.9625284,2e-10,17.909033,,1.4142135,,21.295853,-1333.9349,9.732315128375257,40,,0.11,1.4142136e-10,,-0.6672654,-5.651022,,8.866962,21.295853,-29.211077,,15.058442,2,15.058442
13.494586,1.9564356803894043,-0.044018533,,0.99995637,6.205711,17.503569,2.0685704,1.0,,33.116703,-810.2163,18.326296547621897,60,6.205711,0.11,6.205711,6.205711,-0.41403395,-36.317516,,16.558352,67.36882,-96.83958,34.252113,16.558352,3,16.558352
14.392195,2.953299045562744,0.018298324,,0.99996084,20.91671,17.215887,5.2291775,1.0,,34.170048,-225.70496,18.86237230046971,80,20.91671,0.11,20.91671,,0.18098775,-22.873217,,17.085024,80.53697,17.201303,46.36692,17.085024,4,17.085024
13.319432,4.353792667388916,0.013370364,,0.99996084,6.8750725,16.992743,1.3750145,1.0,,34.170048,-164.44632,9.901462713441942,100,6.8750725,0.11,6.8750725,6.8750725,0.1329204,-33.449696,,9.02838,46.5842,-76.69245,12.414154,17.085024,5,17.085024
12.597262,5.037153005599976,-0.010202429,6.5498753,0.99996084,9.002062,16.810421,1.5003437,1.2871377,,26.547314,-402.55313,9.870556948077269,120,6.5498753,0.11,6.9938607,,-0.101675265,-25.336,,8.986418,49.753162,15.278904,23.205849,17.085024,6,17.085024
13.007926,6.308014154434204,-0.0207708,1.218232e-12,0.99996084,3360.9019,17.394222,480.12885,1.0,,34.170048,-578.4721,17.158788955866004,140,3360.9019,0.11,3360.9019,3.7685993e-20,-0.20480022,-24.938608,,15.471909,7984.312,-22.709658,7950.142,17.085024,7,17.085024
13.437005,7.536420822143555,-0.13123976,,0.99996084,2.1875537e-06,17.26069,2.733442e-07,1.000324,,34.15898,-917.7119,18.18727515195436,160,2.1867452e-06,0.11,2.1868452e-06,,-0.86678684,-20.060637,,16.44056,34.158985,8.843772,4.5261295e-06,17.085024,8,17.085024
13.840922,8.517006874084473,-0.061905447,,0.99996084,4.4590993,17.142908,0.49545547,1.0003293,,34.158802,-743.81586,18.85038984379906,180,4.457631,0.11,4.4576316,0.00027214357,-0.55102164,-16.495651,,17.072258,42.6236,12.966492,8.464799,17.085024,9,17.085024
14.177106,9.90433645248413,-0.10138411,,0.99996084,1.6762767,17.037546,0.16762766,1.0241452,,33.594357,-714.4838,18.983383901470642,200,1.6362699,0.11,1.6367568,0.039917454,-0.7687794,-13.72836,,17.202751,36.456657,11.723019,2.8622992,17.202751,10,17.202751
14.444172,11.095597505569458,0.015251864,,0.9999866,208.85048,16.942236,18.986406,1.0000811,,34.402714,-186.72337,18.894917298190617,220,208.83354,0.11,208.83354,,0.15135846,-11.14056,,17.114834,205.81915,15.535014,171.41644,17.202751,11,17.202751
14.015956,12.332957744598389,0.09775581,,0.9999866,1.2e-09,16.855225,,3.4641013,,9.9320135,-550.8823,10.189966809158085,240,9.1019806e-38,0.11,3.4641018e-10,,0.75336456,-16.037127,,9.30558,9.9320135,-71.93879,6.725576e-38,17.202751,12,17.202751
13.597987,13.805026769638062,-0.043589484,,0.9999866,7.9856358,16.775183,0.6142797,1.0119367,,33.99966,-823.4647,9.424325902022657,260,7.8910193,0.11,7.891438,,-0.41046578,-15.0837345,,8.582357,44.494797,-2.682488,10.495138,17.202751,13,17.202751
13.810817,15.407788276672363,-0.043589484,,0.9999866,inf,16.701075,inf,nan,,nan,-775.7957,18.34612013064176,280,inf,0.11,inf,inf,-0.41046578,-inf,,16.57762,nan,-inf,inf,17.202751,14,17.202751
14.031358,15.936244487762451,-0.043589484,,0.9999934,inf,16.632082,inf,nan,,nan,-722.8549,18.899483964305812,300,inf,0.11,inf,1.0646589,-0.41046578,-inf,,17.11892,nan,18.251936,inf,17.202751,15,17.202751
