ReturnMax,URet,LQGmu1,IWFirstEpisode,ReturnStepMax,TimeElapsed,target_sum_log_mean,Iteration,IWNorm1,ReturnAbsMax,TimestepsSoFar,LQGsigma,IWMax,Bound,IWMin,LQGmu01,ReturnMean,SqrtESSClassic,ReturnMin,MISE,DenMISELogLast,IWNorm2,IWLastEpisode,ExplorationBonus,IWMean,DenMISEMeanLog,DenMISELogFirst,ReturnLastEpisode
9.380901,10.303278693899255,0.01010101,1.0042634,0.55877954,0.04356098175048828,12.849516,1,1.0042634,9.380901,20,0.11,1.0042634,947.4642,,0.001010101,9.380901,1.0,,9.420896,12.845262,1.0042634,1.0042634,938.0433,1.0042634,12.845262,12.845262,9.380901
9.380901,10.166394052361602,0.030303031,0.012274523,0.55877954,1.5947678089141846,13.243401,2,26.692335,9.380901,40,0.11,26.680061,786.44086,,0.0030303032,9.315305,1.0004599,,123.44896,14.755722,26.680063,26.680061,662.9919,13.346168,13.801557,12.847391,9.249708
9.380901,10.085677680633932,-0.030303031,2.386878e-10,0.55877954,2.2538976669311523,-21.685629,3,2.386878e-10,9.380901,60,0.11,2.386878e-10,541.5795,,-0.0030303032,9.271588,1.0,,7.463689e-10,19.903095,2.386878e-10,3.5119248e-23,541.5795,7.95626e-11,16.454817,12.448045,9.184156
13.52775,14.985164189805598,-0.030303031,3.1825023e-10,0.9075055,3.0701162815093994,-12.239338,4,3.9998245,13.52775,80,0.11,3.9998245,689.88086,,-0.0030303032,10.3356285,1.0,,13.527157,14.713283,3.9998245,3.9998245,676.3537,0.99995613,15.803672,12.160362,13.52775
13.52775,13.203362568616729,0.09090909,3.2196564e-35,0.9075055,3.9770989418029785,-67.130035,5,7.3145793e-19,13.52775,100,0.11,7.314331e-19,604.92944,,0.00909091,10.657661,1.0000325,,1.3435559e-18,16.646503,7.314341e-19,,604.92944,1.4629059e-19,15.932348,11.937219,11.94579
13.52775,9.918853086395348,0.09090909,3.8635802e-35,0.9075055,4.869946002960205,-55.26465,6,6.0,13.52775,120,0.11,6.0,561.27466,,0.00909091,10.387076,1.0,,9.034152,2.2705312,6.0,6.0,552.2405,1.0,13.503444,11.754897,9.034152
13.52775,9.915357975557766,0.15151516,,0.9075055,5.821370840072632,-165.13441,7,1.2721343e-15,13.52775,140,0.11,1.2721342e-15,511.2753,,0.015151516,10.1928,1.0000001,,1.641808e-15,13.816469,1.2721342e-15,1.4286633e-22,511.2753,1.8173347e-16,13.515054,11.600746,9.027135
13.52775,9.816581035797492,0.13131313,,0.9075055,6.6615307331085205,-99.0096,8,619.04254,13.52775,160,0.11,619.04254,1169.8754,,0.013131313,10.035942,1.0,,691.62103,11.620999,619.04254,619.04254,478.2543,77.38032,13.161457,11.467216,8.937945
13.52775,9.814358939239249,-0.11111111,,0.9075055,7.697653770446777,-373.0106,9,7.209819e-19,13.52775,180,0.11,7.176007e-19,448.78848,,-0.011111111,9.913478,1.0047104,,1.0830896e-18,15.223064,7.1760167e-19,,448.78848,8.01081e-20,13.770448,11.349432,8.933762
16.02071,17.751028039868356,-0.09090909,,0.99734586,8.59263014793396,-267.33356,10,92.84624,16.02071,200,0.11,92.84624,655.3403,,-0.00909091,10.5242,1.0,,148.74626,-17.740349,92.84624,92.84624,506.59402,9.284624,10.524544,11.244072,16.02071
16.02071,17.094118413875755,0.07070707,2.4127558e-19,0.99734586,9.436941862106323,-36.983944,11,0.06810835,16.02071,220,0.11,0.06775976,480.60852,,0.0070707067,10.968845,1.0051312,,0.055893254,17.143187,0.067760654,,480.5526,0.006191668,11.251471,11.148762,15.415296
16.02071,10.245067699906347,0.05050505,2.5850008e-08,0.99734586,10.311686277389526,-30.137476,12,330.80124,16.02071,240,0.11,330.518,719.7577,,0.005050505,10.8338,1.0008565,,257.69846,-5.463471,330.51813,330.518,462.0592,27.56677,9.779312,11.06175,9.348294
16.02071,9.96390319750427,0.11111111,,0.99734586,11.064115762710571,-64.94103,13,2.226922,16.02071,260,0.11,2.1814675,436.82425,,0.011111111,10.698218,1.0207578,,1.5472987,11.967991,2.181636,7.978255e-18,435.27695,0.1713017,10.133384,10.981708,9.071239
16.02071,9.854910118482596,-0.07070707,1.2297773e-37,0.99734586,11.787445783615112,-206.37608,14,11.671278,16.02071,280,0.11,10.968726,416.52612,,-0.0070707067,10.575058,1.0618781,,13.32536,8.728052,10.991166,,403.20078,0.8336627,9.975518,10.907599,8.973964
16.02071,14.867144671648232,-0.05050505,2.335365e-21,0.99734586,12.758747816085815,-143.54495,15,46.210712,16.02071,300,0.11,42.884434,425.5721,,-0.005050505,10.762249,1.0758636,,41.10674,3.3010466,42.952206,42.884434,384.46536,3.0807142,9.507996,10.838607,13.382921
16.02071,15.951463940868729,-0.15151516,,0.99734586,13.612449645996094,-447.65048,16,0.00017170465,16.02071,320,0.11,0.00016417232,383.3317,,-0.015151516,10.988989,1.0447816,,0.00016571488,13.121841,0.00016434502,2.0886276e-23,383.33154,1.0731541e-05,9.770876,10.774068,14.390089
16.14583,17.880578826651337,-0.13131313,,0.99997157,14.48351001739502,-345.5849,17,21.541277,16.14583,340,0.11,21.381474,409.13156,,-0.013131313,11.292332,1.0074487,,20.452375,9.434744,21.38201,21.381474,388.6792,1.267134,9.694046,10.713444,16.14583
16.385092,18.125198883795456,-0.25252524,,0.99997157,15.304380893707275,-867.4859,18,1.9250442e-14,16.385092,360,0.11,1.9249429e-14,386.1607,,-0.025252525,11.575263,1.0000526,,1.7523333e-14,10.319461,1.9249429e-14,1.9249429e-14,386.1607,1.069469e-15,9.720571,10.656285,16.385092
16.855408,18.626887670351692,-0.23232323,,0.99997157,16.17465376853943,-717.50256,19,33.242035,16.855408,380,0.11,33.242035,416.16013,,-0.023232324,11.853166,1.0,,29.489897,5.2419753,33.242035,33.242035,386.67023,1.7495807,9.433634,10.602218,16.855408
17.198141,18.97753509209266,-0.2929293,,0.99997157,17.01212763786316,-998.03125,20,18.036312,17.198141,400,0.11,17.999786,399.27386,,-0.02929293,12.120415,1.0020272,,15.5089245,12.898815,17.999825,17.999786,383.76495,0.9018156,9.608736,10.550924,17.198141
17.198141,18.790314785846917,-0.45454547,,0.9999884,17.865207195281982,-2054.4268,21,2.7024558e-17,17.198141,420,0.11,2.7024189e-17,375.27032,,-0.045454547,12.353485,1.0000136,,2.2131988e-17,11.358515,2.702419e-17,3.479244e-22,375.27032,1.2868827e-18,9.676244,10.502134,17.014898
17.252413,19.033657182681026,-0.33333334,,0.99999255,18.744619369506836,-1131.0858,22,236.96542,17.252413,440,0.11,236.74876,553.2958,,-0.033333335,12.576163,1.0009148,,185.82767,-0.049253646,236.74884,236.74876,367.4681,10.771155,9.18977,10.455614,17.252413
17.261066,19.04354793156433,-0.3939394,,0.99999255,19.675264835357666,-1450.2562,23,347.69177,17.261066,460,0.11,346.94324,620.062,,-0.039393943,12.779856,1.0021552,,260.93585,9.527606,346.94406,346.94324,359.12613,15.117034,9.269532,10.411162,17.261066
17.261066,18.9705881518393,-0.41414142,,0.99999255,20.54014778137207,-1519.3754,24,9.694983,17.261066,480,0.11,9.61592,356.4278,,-0.04141414,12.96376,1.0082049,,6.972614,11.614998,9.616083,0.03959035,349.45517,0.4039576,9.443552,10.368603,17.193583
17.304766,19.08806907391235,-0.1919192,,0.99999255,21.3965802192688,-406.81747,25,0.7610313,17.304766,500,0.11,0.7471555,340.30038,,-0.019191919,13.1374,1.0185138,,0.5131052,15.161179,0.74719787,1.3255626e-16,339.7873,0.030441253,9.646677,10.327781,17.304766
