ReturnAbsMax,IWMin,ReturnMin,ReturnMean,LQGsigma,LQGmu1,DenMISELogFirst,ReturnStepMax,Iteration,MISE,IWFirstEpisode,ReturnMax,IWMean,TimeElapsed,ExplorationBonus,IWNorm2,IWLastEpisode,Bound,URet,DenMISELogLast,TimestepsSoFar,IWNorm1,target_sum_log_mean,DenMISEMeanLog,ReturnLastEpisode,LQGmu01,SqrtESSClassic,IWMax
9.380901,,,9.380901,0.11,0.01010101,12.845262,0.55877954,1,9.420896,1.0042634,9.380901,1.0042634,0.057434797286987305,18.761803,1.0042634,1.0042634,28.182697,10.303278693899255,12.845262,20,1.0042634,12.849516,12.845262,9.380901,0.001010101,1.0,1.0042634
9.380901,,,9.315305,0.11,0.030303031,12.847391,0.55877954,2,123.44896,0.012274523,9.380901,13.346168,1.5963616371154785,18.753178,26.680063,26.680061,142.20213,10.166394052361602,14.755722,40,26.692335,13.243401,13.801557,9.249708,0.0030303032,1.0004599,26.680061
9.380901,,,9.271588,0.11,0.030303031,12.448045,0.55877954,3,17.828402,0.018299472,9.380901,1.9344424,2.4541709423065186,13.233071,4.0932016,2.9942307,31.061474,10.085677680633932,19.903095,60,5.803327,15.828861,16.454817,9.184156,0.0030303032,1.4177965,2.9942307
9.380901,,,9.266199,0.11,0.030303031,12.166444,0.55877954,4,13.624658,0.024251372,9.380901,1.4764196,3.267106533050537,10.789099,3.3960993,1.9556059,24.413757,10.15268805296383,17.038534,80,5.9056783,16.298954,16.723965,9.2500305,0.0030303032,1.7389592,1.9980755
9.380901,,,9.248004,0.11,0.01010101,11.949345,0.55877954,5,5.0521975,2.4600244,9.380901,0.5394421,4.1003992557525635,17.145267,2.4648163,0.13515884,22.197464,10.07552934482122,17.106453,100,2.6972106,14.152601,16.862463,9.175225,0.001010101,1.0942847,2.4600244
9.380901,,,9.241142,0.11,0.030303031,12.167144,0.55877954,6,14.787572,0.024234401,9.380901,1.604926,4.9369797706604,8.372882,4.2974086,1.8806412,23.160454,10.111530156621239,10.141308,120,9.629556,15.588589,15.664851,9.206833,0.0030303032,2.240782,1.9980564
9.380901,,,9.23224,0.11,0.030303031,12.017024,0.55979556,7,13.464686,0.02815973,9.380901,1.4622754,5.836820602416992,7.6401234,4.168243,1.7206001,21.104809,10.090698711314747,14.240186,140,10.235928,15.473485,15.528163,9.178826,0.0030303032,2.4556937,1.7487226
9.553689,,,9.272421,0.11,0.09090909,11.887507,0.57715887,8,2.6912688e-19,3.383761e-35,9.553689,2.9303355e-20,6.676408052444458,19.102915,2.343721e-19,7.180039e-32,19.102915,10.522380419794905,18.9792,160,2.3442684e-19,-41.90102,16.00637,9.553689,0.00909091,1.0002337,2.343721e-19
9.553689,,,9.245237,0.11,0.09090909,11.769725,0.57715887,9,9.02776,3.8067294e-35,9.553689,0.99999905,7.742664098739624,19.107378,8.999991,8.999991,28.135138,9.916071030933145,18.459099,180,8.999991,-34.950203,16.1742,9.027768,0.00909091,1.0,8.999991
9.553689,,,9.225966,0.11,0.07070707,11.664364,0.57715887,10,32.630882,1.4407553e-19,9.553689,3.6046271,8.55913257598877,19.081758,35.99794,35.997906,51.71264,9.942488386284762,14.108212,200,36.046272,-6.336602,15.94209,9.052531,0.0070707067,1.0013427,35.997906
9.553689,,,9.210813,0.11,0.07070707,11.569054,0.57715887,11,16.180878,1.5848248e-19,9.553689,1.7867112,9.42830777168274,13.573931,13.962128,10.992288,29.754808,9.950903706066939,15.601313,220,19.653824,-4.1243196,15.963632,9.059275,0.0070707067,1.4076525,10.992288
9.553689,,,9.198646,0.11,0.07070707,11.482042,0.57715887,12,13.077675,1.728903e-19,9.553689,1.4436055,10.30703616142273,11.014891,9.986399,5.999634,24.092566,9.955806686793586,16.054327,240,17.323267,-2.2934577,15.997737,9.064808,0.0070707067,1.7346861,5.999634
9.553689,,,9.187017,0.11,0.09090909,11.401999,0.57715887,13,4.9062834,5.498591e-35,9.553689,0.5433317,11.176609516143799,17.398258,6.431512,0.10365014,22.304543,9.937735677900877,13.971222,260,7.063312,-20.699413,15.858697,9.047476,0.00909091,1.0982351,6.4070377
9.553689,,,9.174388,0.11,0.07070707,11.327891,0.57715887,14,11.663076,2.017056e-19,9.553689,1.2878677,12.101171255111694,9.54278,9.00478,0.00054868474,21.205856,9.8952397040062,11.415019,280,18.030148,-0.5852125,15.504639,9.0102215,0.0070707067,2.0022864,4.666401
9.553689,,,9.165849,0.11,0.07070707,11.258899,0.57715887,15,10.916688,2.161131e-19,9.553689,1.2057067,13.197182655334473,8.5297575,8.073624,3.4593387,19.446445,9.935901863629896,17.103563,300,18.0856,0.6767777,15.621304,9.04628,0.0070707067,2.2400846,3.7498374
9.553689,,,9.1586685,0.11,0.11111111,11.194361,0.57715887,16,0.53072137,,9.553689,0.05890079,14.112342357635498,18.882757,0.9313339,5.9103216e-09,19.413479,9.941274582137519,15.659279,320,0.9424126,-40.84713,15.630711,9.050968,0.011111111,1.0118955,0.93126726
9.553689,,,9.149111,0.11,0.11111111,11.133736,0.57715887,17,8.162367,,9.553689,0.907225,15.001507759094238,17.971664,14.506116,14.475944,26.134031,9.88119824567813,15.216897,340,15.422825,-37.39204,15.552681,8.996196,0.011111111,1.0631946,14.475944
9.553689,,,9.140098,0.11,0.11111111,11.076577,0.57715887,18,9.020043,,9.553689,1.0030751,15.889833450317383,12.844369,12.137176,8.826101,21.864412,9.871077238190848,10.50813,360,18.055351,-34.609936,15.25568,8.986876,0.011111111,1.4876074,8.826101
9.553689,,,9.133501,0.11,0.09090909,11.022511,0.57715887,19,8.933122,8.036374e-35,9.553689,0.99045956,16.706035614013672,10.229188,10.07466,5.763489,19.16231,9.900921849635916,16.141314,380,18.818731,-9.817347,15.294696,9.0147505,0.00909091,1.8679271,6.2198477
9.553689,,,9.128068,0.11,0.01010101,10.971217,0.57715887,20,6.393585,6.542365,9.553689,0.6768093,17.469724655151367,12.626872,8.94522,3.5215473e-36,19.020458,9.912120638838479,13.742959,400,13.536186,-30.209082,15.212039,9.024832,0.001010101,1.5132313,6.542365
9.688149,,,9.154738,0.11,0.11111111,11.205437,0.61800236,21,6.290992,,9.688149,0.6995231,18.590790271759033,12.542584,9.509059,,18.833576,10.647141173893225,9.139693,420,14.689984,-33.89277,14.904692,9.688149,0.011111111,1.544841,6.879513
9.688149,,,9.147819,0.11,0.17171717,11.158916,0.61800236,22,1.5112209e-18,,9.688149,1.6786639e-19,19.51955509185791,19.375347,3.692879e-18,3.692879e-18,19.375347,9.884116043360915,2.4340093,440,3.6930608e-18,-159.585,14.321369,9.002522,0.017171716,1.0000491,3.692879e-18
9.688149,,,9.133603,0.11,0.17171717,11.114465,0.61800236,23,8.820846,,9.688149,1.0,20.430588722229004,19.376299,23.0,23.0,28.197144,9.687974211086196,14.306591,460,23.0,-151.88818,14.278206,8.820846,0.017171716,1.0,23.0
9.688149,,,9.119632,0.11,0.1919192,11.071905,0.61800236,24,4.5242486,,9.688149,0.51418704,21.35520052909851,18.919292,12.049428,12.045824,23.44354,9.662553043072368,12.882797,480,12.340489,-203.58752,14.208159,8.7983,0.019191919,1.0241556,12.045824
9.688149,,,9.104387,0.11,0.1919192,11.031083,0.61800236,25,11.783965,,9.688149,1.3461084,22.283867359161377,15.175053,26.355997,24.994972,26.959019,9.59770736788452,13.806415,500,33.65271,-194.763,14.169659,8.738514,0.019191919,1.2768521,24.994972
9.688149,,,9.092367,0.11,0.1919192,10.991862,0.61800236,26,10.098612,,9.688149,1.151442,23.366944551467896,11.46492,17.713959,10.114843,21.563532,9.655603542965455,15.748914,520,29.937492,-186.57741,14.230896,8.791871,0.019191919,1.690051,12.998694
9.688149,,,9.080768,0.11,0.17171717,10.954123,0.61800236,27,6.8476257,,9.688149,0.7771461,24.37766122817993,13.169322,14.261297,0.4169793,20.016949,9.642684120616488,15.781886,540,20.982944,-127.35272,14.287903,8.779177,0.017171716,1.4713209,13.020418
9.688149,,,9.071918,0.11,0.21212122,10.917754,0.61800236,28,0.5956336,,9.688149,0.06816112,25.28615117073059,19.331203,1.9040697,4.1797494e-09,19.926838,9.698864795406575,15.525256,560,1.9085114,-232.86783,14.320872,8.832966,0.021212121,1.0023328,1.9040657
9.688149,,,9.05916,0.11,0.21212122,10.882663,0.61800236,29,8.56982,,9.688149,0.9845469,26.222863912582397,18.163351,26.764526,26.700754,26.733171,9.559743096740585,15.922484,580,28.55186,-224.1756,14.344493,8.701952,0.021212121,1.06678,26.700754
9.688149,,,9.046472,0.11,0.21212122,10.848762,0.61800236,30,9.028906,,9.688149,1.0386659,27.16416311264038,12.960264,20.842035,14.978565,21.98917,9.530477688083336,13.547427,600,31.159977,-216.16129,14.308972,8.678488,0.021212121,1.4950544,14.978565
9.688149,,,9.035506,0.11,0.21212122,10.815971,0.61800236,31,8.851095,,9.688149,1.0176369,28.08719301223755,10.626433,17.301003,9.422457,19.477528,9.562032415144143,7.2414193,620,31.546745,-208.88237,14.076833,8.706569,0.021212121,1.8234056,10.3234825
9.688149,,,9.024757,0.11,0.27272728,10.784224,0.61800236,32,1.8803649e-19,,9.688149,2.1666854e-20,29.20072841644287,19.312107,6.9104235e-19,2.2715664e-21,19.312107,9.54825164892118,17.684385,640,6.933393e-19,-423.69177,14.186581,8.691519,0.02727273,1.0033239,6.9104235e-19
9.688149,,,9.006363,0.11,0.27272728,10.753451,0.61800236,33,8.417722,,9.688149,1.0000001,30.176666259765625,19.376299,33.000004,33.000004,27.794022,9.243657008039602,12.710228,660,33.000004,-410.3615,14.112004,8.417721,0.02727273,1.0,33.000004
9.688149,,,8.9897995,0.11,0.27272728,10.7235985,0.61800236,34,8.43049,,9.688149,1.0,31.115936994552612,13.701112,24.04163,17.000008,22.131601,9.272345057693716,12.409569,680,34.0,-397.84375,14.053345,8.443258,0.02727273,1.4142137,17.000008
9.688149,,,8.974399,0.11,0.27272728,10.694611,0.61800236,35,8.43724,,9.688149,0.99999976,32.10392498970032,11.186911,20.207254,11.666664,19.62415,9.279049266992386,12.29864,700,34.999992,-386.05518,13.9982195,8.450744,0.02727273,1.7320509,11.666664
9.688149,,,8.958576,0.11,0.1919192,10.66644,0.61800236,36,9.1877,,9.688149,1.0472274,33.05900549888611,9.533971,18.550112,,18.721672,9.2334476296618,13.659614,720,37.700188,-140.09958,13.985399,8.404756,0.019191919,2.032343,11.446228
9.688149,,,8.953475,0.11,0.030303031,10.639041,0.61800236,37,10.904426,0.11170662,9.688149,1.1835904,34.17495632171631,7.7871914,17.600021,,18.691616,9.633082496147725,11.068369,740,43.792847,-188.91153,13.905158,8.769869,0.0030303032,2.488227,7.394216
9.688149,,,8.958247,0.11,0.05050505,10.615388,0.61800236,38,167.3544,4.0393644e-08,9.688149,18.321177,35.12607145309448,19.27629,692.6114,692.60486,186.63069,10.034307084964846,-5.5118504,760,696.2047,-140.91495,13.396724,9.134816,0.005050505,1.0051881,692.60486
9.688149,,,8.961399,0.11,0.05050505,10.589412,0.61800236,39,14.845506,4.1456666e-08,9.688149,1.6292657,36.160882234573364,13.322582,43.689198,23.101166,28.168087,9.974633419696579,18.26741,780,63.54136,-136.75284,13.574458,9.081171,0.005050505,1.4543952,36.971542
9.688149,,,8.964633,0.11,0.05050505,10.564095,0.61800236,40,12.975504,4.2519588e-08,9.688149,1.4255514,37.34876322746277,10.643526,31.322582,19.319904,23.61903,9.984404738247354,16.251556,800,57.022057,-132.85371,13.647161,9.090753,0.005050505,1.8204775,19.465996
9.688149,,,8.967612,0.11,0.05050505,10.539402,0.61800236,41,10.192454,4.3582574e-08,9.688149,1.1201146,38.335941314697266,9.544606,22.622131,4.7740874,19.73706,9.979243407947362,9.186814,820,45.924698,-129.35118,13.543269,9.086826,0.005050505,2.0300784,13.421214
9.688149,,,8.970284,0.11,0.05050505,10.515304,0.61800236,42,10.293434,4.4645645e-08,9.688149,1.1318328,39.5091552734375,8.420007,20.657282,10.346151,18.71344,9.972367425143121,17.445663,840,47.53698,-125.80038,13.636294,9.079817,0.005050505,2.3012214,10.357927
9.688149,,,8.973301,0.11,0.13131313,10.491774,0.61800236,43,0.09683059,,9.688149,0.01075667,40.46682000160217,18.544285,0.44267556,2.0225363e-32,18.641115,9.995412595843193,17.932863,860,0.46253678,-74.45354,13.737109,9.099955,0.013131313,1.0448663,0.44235003
