MISE,DenMISELogFirst,ReturnAbsMax,LQGsigma,IWLastEpisode,target_sum_log_mean,ReturnMean,URet,DenMISEMeanLog,Bound,ReturnMin,IWFirstEpisode,ExplorationBonus,IWMean,Iteration,LQGmu01,DenMISELogLast,IWNorm2,ReturnMax,LQGmu1,IWNorm1,IWMin,TimestepsSoFar,ReturnLastEpisode,IWMax,TimeElapsed,SqrtESSClassic,ReturnStepMax
,13.511501,15.80704,0.11,,-389.05444,15.80704,17.497854397219367,13.511501,1.5886673,,,1.5886673,,1,-0.09966799,13.511501,1e-10,15.80704,-0.7615942,1e-10,,20,15.80704,,0.1143646240234375,1.0,0.99233466
16.90584,12.818355,16.905838,0.11,2.0000002,-193.80035,16.35644,18.681580437519845,6.789464,18.60494,,,1.6991006,1.0000001,2,-0.09966799,0.7605733,2.0000002,16.905838,-0.7615942,2.0000002,,40,16.905838,2.0000002,2.3933141231536865,1.0,0.9999077
17.040224,12.4128895,17.174612,0.11,1.5,-124.43536,16.629164,18.95463708257485,9.11677,18.26077,,,1.2205465,1.0,3,-0.09966799,13.889164,2.1213202,17.174612,-0.7615942,3.0,,60,17.174612,1.5,2.511927366256714,1.4142137,0.9999077
17.068584,12.125207,17.174612,0.11,1.333334,-89.294,16.753193,18.903975888974326,10.785152,18.065157,,,0.9965721,1.0000004,4,-0.09966799,15.842418,2.309402,17.174612,-0.7615942,4.0000014,,80,17.125286,1.333334,2.6449947357177734,1.7320508,0.99997383
17.092314,11.902063,17.174612,0.11,1.25,-69.39101,16.83526,18.942632295001143,10.6217785,17.95537,,,0.8630567,1.0,5,-0.09966799,9.997809,2.5,17.174612,-0.7615942,5.0,,100,17.163519,1.25,2.852449655532837,2.0,0.99997383
