Iteration,IWMax,SqrtESSClassic,LQGsigma,IWMin,DenMISELogLast,MISE,ReturnLastEpisode,URet,ReturnMax,TimestepsSoFar,Bound,IWFirstEpisode,DenMISEMeanLog,LQGmu01,DenMISELogFirst,IWNorm1,TimeElapsed,ReturnMean,IWNorm2,ReturnStepMax,target_sum_log_mean,ReturnMin,IWMean,ExplorationBonus,LQGmu1,ReturnAbsMax,IWLastEpisode
1,1.0,1.0,0.11,,18.60218,17.249561,17.249561,19.033735465171606,17.249561,20,51.748684,1.0,18.60218,-0.08911374,18.60218,1.0,0.05872964859008789,17.249561,1.0,0.9999922,18.60218,,1.0,34.499123,-0.79999995,17.249561,1.0
2,1.0,1.4142135,0.11,,21.312778,17.299145,17.34873,19.134162615286268,17.34873,40,41.833954,1.0,19.95748,-0.08911374,18.60218,2.0,0.7743375301361084,17.299145,1.4142135,0.9999922,19.95748,,1.0,24.53481,-0.79999995,17.34873,1.0
3,1.0,1.7320509,0.11,,21.168627,17.317102,17.35302,19.139528422069258,17.35302,60,37.354645,1.0,20.361195,-0.08911374,18.60218,3.0,0.8005964756011963,17.317102,1.7320508,0.9999922,20.361195,,1.0,20.03754,-0.79999995,17.35302,1.0
4,1.0,2.0,0.11,,18.752157,17.317734,17.319622,19.1040932950772,17.35302,80,34.670753,1.0,19.958935,-0.08911374,18.60218,4.0,0.8359389305114746,17.317734,2.0,0.9999922,19.958935,,1.0,17.35302,-0.79999995,17.35302,1.0
5,1.0,2.236068,0.11,,13.798965,17.313612,17.297132,19.081196839977643,17.35302,100,32.834625,1.0,18.72694,-0.08911374,18.60218,5.0,0.8747022151947021,17.313612,2.236068,0.9999922,18.72694,,1.0,15.521012,-0.79999995,17.35302,1.0
6,1.0,2.4494896,0.11,,16.873373,17.30713,17.274723,19.05885058411983,17.35302,120,31.475813,1.0,18.418013,-0.08911374,18.60218,6.0,0.9131758213043213,17.30713,2.4494898,0.9999922,18.418013,,1.0,14.168682,-0.79999995,17.35302,1.0
7,1.0,2.6457515,0.11,,19.098753,17.303333,17.28055,19.065484226898413,17.35302,140,30.420982,1.0,18.515263,-0.08911374,18.60218,7.0,0.9504718780517578,17.303333,2.6457512,0.9999922,18.515263,,1.0,13.117649,-0.79999995,17.35302,1.0
8,1.0,2.828427,0.11,,14.042102,17.306736,17.330566,19.115097155092826,17.35302,160,29.577173,1.0,17.956116,-0.08911374,18.60218,8.0,0.988239049911499,17.306736,2.828427,0.9999922,17.956116,,1.0,12.270437,-0.79999995,17.35302,1.0
9,1.0,3.0,0.11,,20.037153,17.304068,17.282703,19.06649826680489,17.35302,180,28.872747,1.0,18.187344,-0.08911374,18.60218,9.0,1.0273997783660889,17.304068,3.0,0.9999922,18.187344,,1.0,11.56868,-0.79999995,17.35302,1.0
10,1.0,3.1622777,0.11,,13.898762,17.307846,17.341852,19.1267701090927,17.35302,200,28.28286,1.0,17.758486,-0.08911374,18.60218,10.0,1.0787696838378906,17.307846,3.1622777,0.9999922,17.758486,,1.0,10.975013,-0.79999995,17.35302,1.0
11,1.0,3.3166246,0.11,,17.162806,17.305574,17.28287,19.067039367695585,17.35302,220,27.76984,1.0,17.704332,-0.08911374,18.60218,11.0,1.1362881660461426,17.305574,3.3166249,0.9999922,17.704332,,1.0,10.464265,-0.79999995,17.35302,1.0
12,1.0,3.4641018,0.11,,18.246395,17.307526,17.328981,19.114514981198074,17.35302,240,27.326296,1.0,17.749504,-0.08911374,18.60218,12.0,1.1863317489624023,17.307526,3.4641016,0.9999922,17.749504,,1.0,10.01877,-0.79999995,17.35302,1.0
13,1.0,3.6055512,0.11,,11.24715,17.307081,17.301765,19.08470234003341,17.35302,260,26.932804,1.0,17.249323,-0.08911374,18.60218,13.0,1.2297875881195068,17.307081,3.6055512,0.9999922,17.249323,,1.0,9.625724,-0.79999995,17.35302,1.0
14,1.0,3.7416573,0.11,,17.414305,17.306917,17.30478,19.087641110320412,17.35302,280,26.582497,1.0,17.261106,-0.08911374,18.60218,14.0,1.2772319316864014,17.306917,3.7416575,0.9999922,17.261106,,1.0,9.275579,-0.79999995,17.35302,1.0
