IWMax,ReturnStepMax,LQGsigma,MISE,ReturnLastEpisode,DenMISEMeanLog,IWLastEpisode,ReturnMean,IWMin,LQGmu1,ReturnAbsMax,ReturnMax,ReturnMin,IWFirstEpisode,DenMISELogLast,LQGmu01,Bound,TimeElapsed,DenMISELogFirst,URet,TimestepsSoFar,target_sum_log_mean,IWMean,Iteration
2.549644e-10,0.99494565,1.0,3.6236807e-09,14.212496,-9.2103405,2.549644e-10,14.212496,,0.01,14.212496,14.212496,,2.549644e-10,-9.2103405,0.001,3.6236807e-09,0.04547524452209473,-9.2103405,15.593418754668832,20,-31.300238,2.549644e-10,1
3.525682e-09,0.99494565,1.0,1.9681563e-08,9.109096,-9.903487,3.525682e-09,11.660795,,0.01,14.212496,14.212496,,5.099281e-10,-9.903487,0.001,1.9681563e-08,0.9788267612457275,-9.903487,10.0238642864365,40,-30.333458,2.017805e-09,2
1.6805882e-06,0.99494565,1.0,7.582102e-06,13.499597,-10.308952,1.6805882e-06,12.27373,,0.01,14.212496,14.212496,,7.6489287e-10,-10.308951,0.001,7.582102e-06,1.0077190399169922,-10.308952,15.015132329977508,60,-28.090744,5.6221387e-07,3
2.2407833e-06,0.99494565,1.0,8.057282e-06,14.387457,-10.596634,1.3211023e-07,12.802161,,0.01,14.387457,14.387457,,1.0198586e-09,-10.596635,0.001,8.057282e-06,1.0341672897338867,-10.596635,15.84123010160815,80,-27.677124,5.9524115e-07,4
2.8009763e-06,0.99494565,1.0,8.40686e-06,12.253919,-10.8197775,1.4264225e-07,12.6925125,,0.01,14.387457,14.387457,,1.274822e-09,-10.819778,0.001,8.40686e-06,1.0630669593811035,-10.819778,13.545473914711895,100,-27.45824,6.237691e-07,5
3.3611684e-06,0.99494565,1.0,8.40691e-06,9.670804,-11.002099,3.5479196e-11,12.188895,,0.01,14.387457,14.387457,,1.5297865e-09,-11.0021,0.001,8.40691e-06,1.093604564666748,-11.0021,10.635293469573131,120,-28.725897,6.237745e-07,6
3.9213605e-06,0.99494565,1.0,8.434678e-06,11.784708,-11.15625,1.6498156e-08,12.131154,,0.01,14.387457,14.387457,,1.7847531e-09,-11.156251,0.001,8.434678e-06,1.1294724941253662,-11.156251,13.030717354830307,140,-28.77595,6.261309e-07,7
4.4815556e-06,0.99494565,1.0,8.652444e-06,12.717458,-11.289782,1.3698553e-07,12.204442,,0.01,14.387457,14.387457,,2.0397144e-09,-11.289782,0.001,8.652444e-06,1.1642024517059326,-11.289782,13.921750443504749,160,-28.565601,6.432542e-07,8
5.041748e-06,0.99494565,1.0,1.0060973e-05,11.439434,-11.407564,1.1081653e-06,12.119441,,0.01,14.387457,14.387457,,2.2946776e-09,-11.407564,0.001,1.0060973e-05,1.2014927864074707,-11.407565,12.735457078712699,180,-28.1828,7.6638355e-07,9
5.6019344e-06,0.99494565,1.0,1.0123496e-05,13.873312,-11.512924,4.507578e-08,12.294828,,0.01,14.387457,14.387457,,2.5496454e-09,-11.512925,0.001,1.0123496e-05,1.2460875511169434,-11.512925,15.18742952949956,200,-28.207306,7.7089015e-07,10
6.1621276e-06,0.99494565,1.0,1.1393743e-05,12.744191,-11.608234,1.0964002e-06,12.335679,,0.01,14.387457,14.387457,,2.8046099e-09,-11.608234,0.001,1.1393743e-05,1.2941298484802246,-11.608235,14.175280732318155,220,-27.945885,8.705629e-07,11
6.7223145e-06,0.9979914,1.0,1.19907045e-05,15.763994,-11.695247,4.5442812e-07,12.621371,,0.01,15.763994,15.763994,,3.0595686e-09,-11.695247,0.001,1.19907045e-05,1.3436424732208252,-11.695247,17.329145624716976,240,-27.808685,9.0843133e-07,12
7.2825082e-06,0.9979914,1.0,1.2031372e-05,12.131697,-11.775289,4.3577504e-08,12.583705,,0.01,15.763994,15.763994,,3.3145362e-09,-11.77529,0.001,1.2031372e-05,1.3975906372070312,-11.77529,13.539792530475795,260,-27.879097,9.1178356e-07,13
7.842695e-06,0.9979914,1.0,1.2034531e-05,10.970573,-11.849398,4.0401793e-09,12.468481,,0.01,15.763994,15.763994,,3.5695011e-09,-11.849398,0.001,1.2034531e-05,1.4536778926849365,-11.849398,12.080379036090454,280,-28.114614,9.1207164e-07,14
8.402885e-06,0.9979914,1.0,1.2414466e-05,10.624855,-11.91839,5.363891e-07,12.345572,,0.01,15.763994,15.763994,,3.8244643e-09,-11.91839,0.001,1.2414466e-05,1.5124902725219727,-11.91839,11.717805433887055,300,-27.997427,9.478307e-07,15
8.963065e-06,0.9995132,1.0,1.2581037e-05,12.312882,-11.982928,2.1646672e-07,12.343529,,0.01,15.763994,15.763994,,4.0794306e-09,-11.982929,0.001,1.2581037e-05,1.5847845077514648,-11.982929,13.685924891301982,320,-27.955635,9.61359e-07,16
9.523252e-06,0.9995132,1.0,1.3644008e-05,13.676218,-12.043552,1.321311e-06,12.421923,,0.01,15.763994,15.763994,,4.334397e-09,-12.043552,0.001,1.3644008e-05,1.680133581161499,-12.043553,15.21144632581845,340,-27.815918,1.0390829e-06,17
1.0083443e-05,0.9995132,1.0,1.3646705e-05,12.415565,-12.100711,3.9130685e-09,12.42157,,0.01,15.763994,15.763994,,4.5893573e-09,-12.100712,0.001,1.3646705e-05,1.74257230758667,-12.100712,13.834957919352007,360,-28.018349,1.0393003e-06,18
1.0643628e-05,0.9995132,1.0,1.3699198e-05,13.426414,-12.1547785,7.428848e-08,12.474457,,0.01,15.763994,15.763994,,4.8443236e-09,-12.154779,0.001,1.3699198e-05,1.812631607055664,-12.154779,14.649905136431528,380,-28.047388,1.0432099e-06,19
1.120381e-05,0.9995132,1.0,1.3731755e-05,14.712248,-12.206072,4.427059e-08,12.586347,,0.01,15.763994,15.763994,,5.0992837e-09,-12.206073,0.001,1.3731755e-05,1.8854777812957764,-12.206073,16.171543943271875,400,-28.101969,1.0454229e-06,20
