ReturnLastEpisode,MISE,DenMISELogFirst,TimeElapsed,TimestepsSoFar,DenMISELogLast,Bound,ReturnAbsMax,IWMin,Iteration,ReturnStepMax,LQGsigma,URet,SqrtESSClassic,IWNorm2,LQGmu01,target_sum_log_mean,IWMean,ReturnMin,IWMax,IWFirstEpisode,ReturnMax,IWNorm1,ExplorationBonus,IWLastEpisode,DenMISEMeanLog,ReturnMean,LQGmu1
15.644508,,17.102016,0.21393918991088867,20,17.102016,46.933525,15.644508,,1,0.99262077,0.11,17.332240856619556,1.0,1e-10,-0.036880136,-100.85334,,,,,15.644508,1e-10,46.933525,,17.102016,15.644508,-0.35308933
16.6707,92.10445,16.408869,7.009954214096069,40,3.122829,142.11655,16.6707,,2,0.9998706,0.11,18.43659655076273,1.0,11.049859,-0.029014014,-24.347954,5.5249295,,11.049859,2.1172492e-31,16.6707,11.049859,50.0121,11.049859,9.765849,16.157604,-0.28233874
16.952309,,16.003405,8.09731674194336,60,11.861182,29.362263,16.952309,,3,0.9999121,0.11,18.72535667016158,1.7320507,1.7320509e-10,0.09270108,-706.2552,,,,,16.952309,3e-10,29.362263,,10.819194,16.422506,0.7304448
8.733326,inf,15.715722,9.065975189208984,80,-inf,nan,16.952309,,4,0.9999121,0.11,9.575960339732529,nan,inf,0.09270108,-562.88336,inf,,inf,,16.952309,inf,nan,inf,-inf,14.500211,0.7304448
8.5452585,inf,15.4925785,9.397738695144653,100,19.271969,nan,16.952309,,5,0.9999121,0.11,9.387109809857389,nan,inf,0.09270108,-446.26904,inf,,inf,,16.952309,inf,nan,2.4999988,-inf,13.309219,0.7304448
