ReturnAbsMax,URet,ReturnLastEpisode,target_sum_log_mean,IWNorm1,TimestepsSoFar,DenMISELogFirst,IWLastEpisode,ReturnMax,LQGmu01,LQGmu1,ReturnMean,DenMISEMeanLog,LQGsigma,ReturnMin,IWMax,Iteration,MISE,TimeElapsed,IWMin,Bound,SqrtESSClassic,IWNorm2,IWMean,ReturnStepMax,IWFirstEpisode,ExplorationBonus,DenMISELogLast
9.380901,10.303278693899255,9.380901,12.849516,1.0042634,20,12.845262,1.0042634,9.380901,0.001010101,0.01010101,9.380901,12.845262,0.11,,1.0042634,1,9.420896,0.0494840145111084,,28.182697,1.0,1.0042634,1.0042634,0.55877954,1.0042634,18.761803,12.845262
9.380901,10.166394052361602,9.249708,13.243401,26.692335,40,12.847391,26.680061,9.380901,0.0030303032,0.030303031,9.315305,13.801557,0.11,,26.680061,2,123.44896,1.717238426208496,,142.20213,1.0004599,26.680063,13.346168,0.55877954,0.012274523,18.753178,14.755722
9.380901,10.085677680633932,9.184156,15.828861,5.803327,60,12.448045,2.9942307,9.380901,0.0030303032,0.030303031,9.271588,16.454817,0.11,,2.9942307,3,17.828402,2.4035465717315674,,31.061474,1.4177965,4.0932016,1.9344424,0.55877954,0.018299472,13.233071,19.903095
9.380901,10.15268805296383,9.2500305,16.298954,5.9056783,80,12.166444,1.9556059,9.380901,0.0030303032,0.030303031,9.266199,16.723965,0.11,,1.9980755,4,13.624658,3.3414957523345947,,24.413757,1.7389592,3.3960993,1.4764196,0.55877954,0.024251372,10.789099,17.038534
