DenMISELogFirst,SqrtESSClassic,Iteration,LQGmu01,ReturnLastEpisode,IWLastEpisode,Bound,IWNorm2,LQGmu1,ExplorationBonus,DenMISELogLast,URet,TimestepsSoFar,ReturnMin,LQGsigma,MISE,IWFirstEpisode,IWNorm1,ReturnAbsMax,target_sum_log_mean,ReturnStepMax,IWMin,ReturnMax,TimeElapsed,IWMean,DenMISEMeanLog,ReturnMean,IWMax
17.102016,1.0,1,-0.09966799,15.644508,,31.289017,1e-10,-0.7615942,31.289017,17.102016,17.332240856619556,20,,0.11,,,1e-10,15.644508,-370.54578,0.99262077,,15.644508,0.1920909881591797,,17.102016,15.644508,
16.408869,1.0,2,-0.09966799,16.855427,2.0,50.56628,2.0,-0.7615942,33.710854,-0.67166364,18.624585257813106,40,,0.11,16.855427,,2.0,16.855427,-185.26215,0.99991167,,16.855427,2.7670540809631348,1.0,7.8686028,16.249968,2.0
16.003405,1.4142137,3,-0.09966799,17.159382,1.5,41.274433,2.1213202,-0.7615942,24.267029,10.233627,18.93979465947812,60,,0.11,17.007404,,3.0,17.159382,-119.96173,0.9999575,,17.159382,2.8674404621124268,1.0,8.617683,16.553106,1.5
15.715722,1.7320508,4,-0.09966799,17.1546,1.3333327,36.870415,2.3094003,-0.7615942,19.813948,16.295954,18.93529851012041,80,,0.11,17.056465,,3.9999986,17.159382,-85.825386,0.9999575,,17.159382,2.953483819961548,0.99999964,10.524221,16.70348,1.3333334
15.4925785,2.0,5,-0.09966799,17.14655,1.2499988,34.238365,2.4999988,-0.7615942,17.159382,19.965118,18.927686758684484,100,,0.11,17.078981,,4.9999976,17.159382,-64.62266,0.9999575,,17.159382,3.0333428382873535,0.9999995,12.406495,16.792093,1.25
15.310257,2.236068,6,-0.09966799,17.172216,1.2,32.456932,2.6832814,-0.7615942,15.359297,17.323593,18.95199218560604,120,,0.11,17.097635,,6.0,17.172216,-50.934566,0.9999914,,17.172216,3.1076743602752686,1.0,13.222839,16.855448,1.2
15.156106,2.4494898,7,-0.09966799,17.064856,1.166667,31.113222,2.8577373,-0.7615942,14.021055,13.889039,18.843295057270414,140,,0.11,17.092167,,6.9999986,17.172216,-41.65203,0.9999914,,17.172216,3.174288511276245,0.9999998,13.316112,16.885363,1.166667
15.022575,2.6457515,8,-0.09966799,17.21307,1.1428573,30.1213,3.023716,-0.7615942,13.011857,15.21299,18.99449071037878,160,,0.11,17.109444,,8.000001,17.21307,-34.52721,0.9999924,,17.21307,3.2551372051239014,1.0000001,13.551994,16.926325,1.1428573
14.904792,2.8284268,9,-0.09966799,17.184448,1.1249995,29.29029,3.1819794,-0.7615942,12.171479,20.393066,18.966175554302836,180,,0.11,17.118813,,8.999996,17.21307,-28.41187,0.99999696,,17.21307,3.355498790740967,0.9999996,14.3112755,16.955006,1.125
14.799432,3.0,10,-0.09966799,17.166546,1.1111116,28.599495,3.333332,-0.7615942,11.47538,9.337938,18.946074909585093,200,,0.11,17.124115,,9.999996,17.21307,-24.626352,0.99999696,,17.21307,3.494875431060791,0.99999964,13.813344,16.97616,1.1111116
14.704122,3.1622777,11,-0.09966799,17.179245,1.1,28.016134,3.4785054,-0.7615942,10.886501,15.980732,18.9597534262223,220,,0.11,17.129633,,11.0,17.21307,-20.926134,0.9999999,,17.21307,3.6677358150482178,1.0,14.009936,16.994621,1.1
14.61711,3.3166249,12,-0.09966799,16.992271,1.090909,27.497017,3.6181357,-0.7615942,10.379871,14.424727,18.76854757362736,240,,0.11,17.117146,,11.999999,17.21307,-17.972977,0.9999999,,17.21307,3.845642328262329,0.99999994,14.0441675,16.994427,1.090909
