TimestepsSoFar,ReturnMin,ReturnMax,MISE,ReturnStepMax,DenMISELogFirst,ExplorationBonus,Bound,URet,Iteration,IWFirstEpisode,ReturnAbsMax,LQGmu01,DenMISEMeanLog,IWMean,IWMin,IWMax,SqrtESSClassic,IWNorm2,ReturnMean,ReturnLastEpisode,LQGmu1,LQGsigma,DenMISELogLast,TimeElapsed,IWLastEpisode,IWNorm1,target_sum_log_mean
20,,15.058442,18.074266,0.9625284,18.60218,30.116884,48.19115,16.687925283112612,1,1.2002747,15.058442,-0.011192638,18.60218,1.2002747,,1.2002747,1.0,1.2002747,15.058442,15.058442,-0.11146593,0.11,18.60218,0.06213545799255371,1.2002747,1.2002747,18.78473
40,,15.953459,18.55632,0.9978268,18.697615,22.706305,41.262627,17.662259126015382,2,1.0575026,15.953459,-0.011298417,19.81343,1.1928172,,1.3281319,1.4052007,1.6977179,15.505951,15.953459,-0.112510584,0.11,20.929247,1.2921321392059326,1.3281319,2.3856344,19.983273
60,,16.026308,15.376882,0.99828637,18.716602,18.880007,34.25689,17.743552998914094,3,0.98256236,16.026308,-0.011441223,20.37692,0.9811108,,1.2233179,1.6977016,1.733716,15.679402,16.026308,-0.11392054,0.11,21.381115,1.3918437957763672,0.7374522,2.9433324,20.33673
80,,16.301775,2.6938866e-05,0.9999798,18.712233,32.556213,32.55624,18.03957483168424,4,1.01925135e-10,16.301775,-0.0031957282,19.911022,1.680895e-06,,6.7141136e-06,1.001454,6.7142173e-06,15.834996,16.301775,-0.03194652,0.11,18.53126,1.509768009185791,5.9548704e-09,6.72398e-06,1.5725671
100,,16.301775,14.330477,0.9999798,18.48909,32.60341,46.933884,14.165672543346064,5,7.1832973e-10,16.301775,-0.0034766118,17.922796,1.1169288,,5.5846205,1.0000043,5.5846205,15.234044,12.830236,-0.034752257,0.11,10.862465,1.5720760822296143,5.5846205,5.5846443,4.83731
120,,16.301775,24.005096,0.9999798,18.306768,25.11601,49.12111,14.690373117940048,6,5.483488e-09,16.301775,-0.0037905248,17.500944,1.8270702,,7.850681,1.2981182,8.444856,14.905162,13.260754,-0.037887283,0.11,15.553316,1.6905720233917236,7.850681,10.962421,7.9126725
140,,16.301775,23.535984,0.9999798,18.152617,22.87396,46.409943,14.572532386920464,7,8.0039314e-08,16.301775,-0.004245405,17.61604,1.786075,,8.216747,1.4253565,8.771507,14.654782,13.152498,-0.042428818,0.11,17.977133,1.8072311878204346,2.4907796,12.502525,10.656695
160,,16.301775,16.557793,0.9999798,18.019085,16.564064,33.121857,14.55434535433015,8,1.9493867,16.301775,-0.011469361,17.064743,1.0437626,,2.5307808,1.9683304,4.242225,14.461357,13.1073885,-0.1141983,0.11,12.831223,1.9311821460723877,1.6441263e-12,8.3501005,1.67429
180,,16.301775,8.740428,0.9999798,18.119371,19.124651,27.865078,17.022329511237636,9,0.48785028,16.301775,-0.008861586,16.984936,0.5581935,,2.0643618,1.7047918,2.946836,14.559937,15.348577,-0.08838693,0.11,16.364103,2.061199903488159,2.0643618,5.0237417,11.144092
200,,16.3244,18.245077,0.9999798,18.0668,13.350028,31.595104,18.057998953754275,10,2.1341534,16.3244,-0.0109681515,16.553211,1.1532772,,2.1341534,2.445598,4.715727,14.736383,16.3244,-0.10924814,0.11,13.104604,2.1944961547851562,1.947809,11.532772,6.095289
