IWMean,LQGmu01,DenMISEMeanLog,Iteration,SqrtESSClassic,URet,Bound,LQGmu1,TimeElapsed,IWNorm1,DenMISELogLast,ExplorationBonus,target_sum_log_mean,LQGsigma,ReturnMean,DenMISELogFirst,IWNorm2,IWLastEpisode,ReturnMin,ReturnAbsMax,IWMin,IWMax,ReturnLastEpisode,MISE,ReturnStepMax,ReturnMax,TimestepsSoFar,IWFirstEpisode
3.442249,0.00909091,14.862679,19,1.0180123,9.900921849635916,49.82061,0.09090909,17.51347804069519,65.40273,13.730288,18.790642,-21.401321,0.11,9.187282,11.308535,64.24552,64.236336,,9.564552,,64.236336,9.0147505,31.029968,0.5836317,9.564552,380,6.0373166e-35
1.8141701,0.00909091,14.765613,20,1.4492347,9.912120638838479,29.562668,0.09090909,18.43044114112854,36.2834,12.358841,13.199452,-19.564327,0.11,9.179159,11.257241,25.03625,19.682814,,9.564552,,19.682814,9.024832,16.363216,0.5836317,9.564552,400,6.3550645e-35
1.4787204,0.00909091,14.777948,21,1.7931093,9.917412358412122,24.009695,0.09090909,19.364814281463623,31.05313,14.686461,10.668119,-17.822172,0.11,9.17203,11.208451,17.318035,10.324004,,9.564552,,10.416077,9.029459,13.341576,0.5836317,9.564552,420,6.6728165e-35
1.2234833,0.00909091,14.488122,22,2.052267,9.888451177824084,20.355265,0.09090909,20.274393796920776,26.916634,8.160202,9.320963,-16.572485,0.11,9.164356,11.161931,13.1155615,4.5302215,,9.564552,,7.2941523,9.003212,11.034302,0.5836317,9.564552,440,6.9905444e-35
1.6525763e-11,0.015151516,14.548961,23,1.0048969,9.899805760778962,19.035889,0.15151516,21.454208612442017,3.8009257e-10,15.790074,19.035889,-121.97045,0.11,9.157779,11.117479,3.7824036e-10,8.6783747e-17,,9.564552,,3.7823583e-10,9.013067,1.4851592e-10,0.5836317,9.564552,460,
1.0,0.015151516,14.370984,24,1.0,9.740413526907215,27.998966,0.15151516,22.367527961730957,24.0,11.256391,19.129105,-116.28692,0.11,9.1457815,11.07492,24.0,24.0,,9.564552,,24.0,8.869862,8.869862,0.5836317,9.564552,480,
0.9999995,0.015151516,14.379009,25,1.4142135,9.739437453493764,22.394886,0.15151516,23.305171489715576,24.999989,14.85816,13.5263195,-110.94009,0.11,9.134642,11.034098,17.677662,12.499994,,9.564552,,12.499994,8.86728,8.8685665,0.5836317,9.564552,500,
0.9999994,0.015151516,14.431117,26,1.7320509,9.788099766118474,19.927341,0.15151516,24.25029158592224,25.999985,15.903435,11.044193,-105.97843,0.11,9.126091,10.994877,15.011098,8.666656,,9.564552,,8.666664,8.91232,8.883148,0.5836317,9.564552,520,
1.1798812,0.00909091,14.48626,27,2.3082428,9.77788188055721,18.926567,0.09090909,25.270274877548218,31.856792,16.038193,8.287302,-17.721653,0.11,9.117803,10.957137,13.801317,6.3883705e-18,,9.564552,,6.7229185,8.902286,10.639264,0.5836317,9.564552,540,8.579317e-35
0.9999998,0.015151516,14.555446,28,2.0,9.9144702628934,18.452488,0.15151516,26.306695222854614,27.999994,16.33901,9.564552,-98.73716,0.11,9.114596,10.920769,13.999997,1.2983261e-19,,9.564552,,7.000002,9.028058,8.887935,0.5836317,9.564552,560,
1.1657789,0.00909091,14.657605,29,2.53136,9.779121757365411,18.07079,0.09090909,27.333553552627563,33.807587,17.608028,7.556849,-16.637192,0.11,9.1072855,10.885677,13.355504,5.9974507e-18,,9.564552,,5.781369,8.902524,10.513941,0.5836317,9.564552,580,9.214873e-35
1.2229798,0.0030303032,14.595547,30,2.8245547,9.906770504666115,18.032429,0.030303031,28.30179262161255,36.689392,12.707621,6.772432,-35.218277,0.11,9.104345,10.851776,12.989443,3.0169741e-25,,9.564552,,4.9253235,9.019129,11.259997,0.5836317,9.564552,600,0.09030031
1.1038384,0.005050505,14.396735,31,2.4414852,10.263343990427654,17.883366,0.05050505,29.26945924758911,34.21899,8.277903,7.835028,-17.297657,0.11,9.112075,10.821992,14.015646,0.0055272533,,9.564552,,6.1626463,9.343977,10.048338,0.5836317,9.564552,620,3.2853833e-08
0.70680547,0.011111111,14.513498,32,1.6929467,9.977749774239017,17.657059,0.11111111,30.250813484191895,22.617775,18.104458,11.299295,-32.051594,0.11,9.111196,10.790243,13.360004,3.0980822e-22,,9.564552,,10.393611,9.0839205,6.3577633,0.5836317,9.564552,640,
0.74784863,0.001010101,14.490337,33,1.8168344,9.86714949529067,17.621695,0.01010101,31.214781999588013,24.679005,14.100553,10.52881,-60.919266,0.11,9.107353,10.759472,13.583519,,,9.564552,,8.085271,8.984416,7.092885,0.5836317,9.564552,660,8.085271
