target_sum_log_mean,IWMean,DenMISELogFirst,ExplorationBonus,IWLastEpisode,Bound,IWMax,TimestepsSoFar,MISE,LQGsigma,ReturnLastEpisode,DenMISELogLast,TimeElapsed,IWNorm1,ReturnMin,ReturnMean,LQGmu01,IWMin,Iteration,URet,IWNorm2,ReturnMax,IWFirstEpisode,DenMISEMeanLog,SqrtESSClassic,ReturnAbsMax,LQGmu1,ReturnStepMax
12.849516,1.0042634,12.845262,18.761803,1.0042634,28.182697,1.0042634,20,9.420896,0.11,9.380901,12.845262,0.046423912048339844,1.0042634,,9.380901,0.001010101,,1,10.303278693899255,1.0042634,9.380901,1.0042634,12.845262,1.0,9.380901,0.01010101,0.55877954
13.243401,13.346168,12.847391,18.753178,26.680061,142.20213,26.680061,40,123.44896,0.11,9.249708,14.755722,1.6106462478637695,26.692335,,9.315305,0.0030303032,,2,10.166394052361602,26.680063,9.380901,0.012274523,13.801557,1.0004599,9.380901,0.030303031,0.55877954
15.828861,1.9344424,12.448045,13.233071,2.9942307,31.061474,2.9942307,60,17.828402,0.11,9.184156,19.903095,2.288145065307617,5.803327,,9.271588,0.0030303032,,3,10.085677680633932,4.0932016,9.380901,0.018299472,16.454817,1.4177965,9.380901,0.030303031,0.55877954
16.298954,1.4764196,12.166444,10.789099,1.9556059,24.413757,1.9980755,80,13.624658,0.11,9.2500305,17.038534,3.290144681930542,5.9056783,,9.266199,0.0030303032,,4,10.15268805296383,3.3960993,9.380901,0.024251372,16.723965,1.7389592,9.380901,0.030303031,0.55877954
14.152601,0.5394421,11.949345,17.145267,0.13515884,22.197464,2.4600244,100,5.0521975,0.11,9.175225,17.106453,4.116220951080322,2.6972106,,9.248004,0.001010101,,5,10.07552934482122,2.4648163,9.380901,2.4600244,16.862463,1.0942847,9.380901,0.01010101,0.55877954
15.588589,1.604926,12.167144,8.372882,1.8806412,23.160454,1.9980564,120,14.787572,0.11,9.206833,10.141308,4.948192119598389,9.629556,,9.241142,0.0030303032,,6,10.111530156621239,4.2974086,9.380901,0.024234401,15.664851,2.240782,9.380901,0.030303031,0.55877954
15.473485,1.4622754,12.017024,7.6401234,1.7206001,21.104809,1.7487226,140,13.464686,0.11,9.178826,14.240186,5.799085855484009,10.235928,,9.23224,0.0030303032,,7,10.090698711314747,4.168243,9.380901,0.02815973,15.528163,2.4556937,9.380901,0.030303031,0.55979556
-41.90102,2.9303355e-20,11.887507,19.102343,7.180039e-32,19.102343,2.343721e-19,160,2.6912688e-19,0.11,9.553689,18.9792,6.633834362030029,2.3443488e-19,,9.272421,0.00909091,,8,10.522380419794905,2.343731e-19,9.553689,3.383761e-35,16.00637,1.0002636,9.553689,0.09090909,0.57715887
-34.950203,0.99999905,11.769725,19.107378,8.999991,28.135138,8.999991,180,9.02776,0.11,9.027768,18.459099,7.4797680377960205,8.999991,,9.245237,0.00909091,,9,9.916071030933145,8.999991,9.553689,3.8067294e-35,16.1742,1.0,9.553689,0.09090909,0.57715887
-6.336602,3.6046271,11.664364,19.081758,35.997906,51.71264,35.997906,200,32.630882,0.11,9.052531,14.108212,8.541873455047607,36.046272,,9.225966,0.0070707067,,10,9.942488386284762,35.99794,9.553689,1.4407553e-19,15.94209,1.0013427,9.553689,0.07070707,0.57715887
-4.1243196,1.7867112,11.569054,13.573931,10.992288,29.754808,10.992288,220,16.180878,0.11,9.059275,15.601313,9.443129539489746,19.653824,,9.210813,0.0070707067,,11,9.950903706066939,13.962128,9.553689,1.5848248e-19,15.963632,1.4076525,9.553689,0.07070707,0.57715887
-2.2934577,1.4436055,11.482042,11.014891,5.999634,24.092566,5.999634,240,13.077675,0.11,9.064808,16.054327,10.306478261947632,17.323267,,9.198646,0.0070707067,,12,9.955806686793586,9.986399,9.553689,1.728903e-19,15.997737,1.7346861,9.553689,0.07070707,0.57715887
-20.699413,0.5433317,11.401999,17.398258,0.10365014,22.304543,6.4070377,260,4.9062834,0.11,9.047476,13.971222,11.173979997634888,7.063312,,9.187017,0.00909091,,13,9.937735677900877,6.431512,9.553689,5.498591e-35,15.858697,1.0982351,9.553689,0.09090909,0.57715887
